player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Julian Weigl,de GER,MF,M'Gladbach,28-109,1995,14.9,1,7,1,14.3,0.47,0.07,0.00,0.00,25.3,1,1,1,1.2,0.4,0.05,-0.2,-0.4,Matches
Nelson Weiper,de GER,"FW,MF",Mainz 05,18-284,2005,1.2,0,1,0,0.0,0.87,0.00,0.00,,11.5,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Mitchell Weiser,de GER,"DF,FW",Werder Bremen,29-249,1994,15.4,1,17,3,17.6,1.11,0.20,0.06,0.33,16.4,0,0,0,1.0,1.0,0.06,0.0,0.0,Matches
Noah Weißhaupt,de GER,"DF,MF",Freiburg,22-097,2001,5.0,1,3,1,33.3,0.60,0.20,0.33,1.00,13.9,0,0,0,0.4,0.4,0.14,+0.6,+0.6,Matches
Timo Werner,de GER,"FW,MF",RB Leipzig,27-295,1996,2.3,2,8,5,62.5,3.48,2.17,0.13,0.20,17.8,0,1,1,2.4,1.6,0.20,-0.4,-0.6,Matches
Silvan Widmer,ch SUI,DF,Mainz 05,30-296,1993,3.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Patrick Wimmer,at AUT,FW,Wolfsburg,22-210,2001,3.1,0,2,0,0.0,0.64,0.00,0.00,,16.2,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Jonas Wind,dk DEN,FW,Wolfsburg,24-322,1999,15.6,9,37,19,51.4,2.38,1.22,0.24,0.47,15.3,0,0,1,6.3,5.4,0.15,+2.7,+3.6,Matches
Florian Wirtz,de GER,MF,Leverkusen,20-237,2003,14.0,5,32,17,53.1,2.28,1.21,0.16,0.29,18.2,0,0,0,3.9,3.9,0.12,+1.1,+1.1,Matches
Maximilian Wittek,de GER,"DF,MF",Bochum,28-127,1995,5.5,0,14,3,21.4,2.54,0.54,0.00,0.00,30.7,1,0,0,0.3,0.3,0.02,-0.3,-0.3,Matches
Maximilian Wöber,at AUT,DF,M'Gladbach,25-325,1998,14.7,1,9,2,22.2,0.61,0.14,0.11,0.50,12.3,0,0,0,0.8,0.8,0.09,+0.2,+0.2,Matches
Marius Wolf,de GER,DF,Dortmund,28-213,1995,7.0,0,3,0,0.0,0.43,0.00,0.00,,11.3,0,0,0,0.2,0.2,0.08,-0.2,-0.2,Matches
Nick Woltemade,de GER,"FW,MF",Werder Bremen,21-315,2002,2.9,0,2,1,50.0,0.70,0.35,0.00,0.00,15.7,0,0,0,0.6,0.6,0.31,-0.6,-0.6,Matches
Jeong Woo-yeong,kr KOR,MF,Stuttgart,24-097,1999,4.2,0,7,3,42.9,1.66,0.71,0.00,0.00,17.6,0,0,0,0.8,0.8,0.12,-0.8,-0.8,Matches
Granit Xhaka,ch SUI,MF,Leverkusen,31-090,1992,15.7,0,18,4,22.2,1.14,0.25,0.00,0.00,26.1,0,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Dan-Axel Zagadou,fr FRA,DF,Stuttgart,24-206,1999,13.1,1,9,2,22.2,0.68,0.15,0.11,0.50,9.0,0,0,0,0.9,0.9,0.10,+0.1,+0.1,Matches
Robin Zentner,de GER,GK,Mainz 05,29-059,1994,12.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Cedric Zesiger,ch SUI,DF,Wolfsburg,25-185,1998,10.4,0,8,1,12.5,0.77,0.10,0.00,0.00,19.2,0,0,0,0.9,0.9,0.11,-0.9,-0.9,Matches
Michael Zetterer,de GER,GK,Werder Bremen,28-167,1995,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christoph Zimmermann,de GER,DF,Darmstadt 98,30-348,1993,4.9,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Simon Zoller,de GER,"FW,MF",Bochum,32-183,1991,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
