player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-155,1987,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-132,2004,0.2,1,5.29,0,0,0,0,1,0,1,5.29,0,0,0,0,1,0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-195,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-018,1995,1.5,4,2.63,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-154,1996,5.5,26,4.75,11,12,2,1,0,0,3,0.55,2,1,0,0,0,0,Matches
Tim Breithaupt,de GER,MF,Augsburg,21-238,2002,1.5,3,2.00,3,0,0,0,0,0,1,0.67,1,0,0,0,0,0,Matches
John Brooks,us USA,DF,Hoffenheim,30-248,1993,5.5,4,0.73,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,23-010,2000,0.8,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marius Bülter,de GER,"DF,MF",Hoffenheim,30-188,1993,2.8,10,3.59,7,0,0,1,2,0,1,0.36,1,0,0,0,0,0,Matches
Oliver Burke,sct SCO,FW,Werder Bremen,26-179,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marnon Busch,de GER,DF,Heidenheim,28-299,1994,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aurélio Buta,pt POR,DF,Eint Frankfurt,26-235,1997,3.5,4,1.13,3,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jamie Bynoe-Gittens,eng ENG,"DF,FW",Dortmund,19-056,2004,0.8,6,7.50,4,0,2,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Anthony Caci,fr FRA,DF,Mainz 05,26-094,1997,6.0,12,2.00,8,2,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Emre Can,de GER,MF,Dortmund,29-264,1994,3.9,10,2.56,8,0,0,1,0,1,1,0.26,1,0,0,0,0,0,Matches
Irvin Cardona,fr FRA,MF,Augsburg,26-056,1997,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rasmus Carstensen,dk DEN,"FW,DF",Köln,22-357,2000,3.9,10,2.56,8,1,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fabio Carvalho,pt POR,MF,RB Leipzig,21-034,2002,1.2,1,0.83,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-100,1992,6.0,1,0.17,1,0,0,0,0,0,1,0.17,1,0,0,0,0,0,Matches
Václav Černý,cz CZE,FW,Wolfsburg,25-351,1997,3.3,11,3.34,10,0,1,0,0,0,1,0.30,1,0,0,0,0,0,Matches
Julian Chabot,de GER,DF,Köln,25-233,1998,5.9,6,1.02,5,0,0,1,0,0,1,0.17,0,0,0,1,0,0,Matches
Fares Chaïbi,dz ALG,MF,Eint Frankfurt,20-309,2002,2.1,8,3.77,3,4,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-112,1996,3.9,21,5.37,17,0,3,1,0,0,4,1.02,3,0,0,1,0,0,Matches
Danny da Costa,de GER,DF,Mainz 05,30-082,1993,2.3,5,2.22,5,0,0,0,0,0,1,0.44,1,0,0,0,0,0,Matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-268,1999,0.7,1,1.38,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-051,2000,3.3,6,1.81,4,0,1,1,0,0,1,0.30,1,0,0,0,0,0,Matches
Finn Dahmen,de GER,GK,Augsburg,25-190,1998,6.0,3,0.50,1,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-002,1998,1.3,6,4.78,5,0,0,0,1,0,1,0.80,1,0,0,0,0,0,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20-285,2002,3.6,19,5.23,8,1,4,6,0,0,1,0.28,1,0,0,0,0,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,22-335,2000,5.7,26,4.55,23,1,2,0,0,0,6,1.05,4,1,1,0,0,0,Matches
Olivier Deman,be BEL,"DF,FW",Werder Bremen,23-180,2000,2.4,8,3.36,5,0,2,0,1,0,1,0.42,1,0,0,0,0,0,Matches
Ermedin Demirović,ba BIH,MF,Augsburg,25-192,1998,5.8,18,3.13,13,0,2,2,1,0,3,0.52,3,0,0,0,0,0,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,21-287,2001,4.6,3,0.65,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,22-316,2000,4.5,12,2.63,9,0,2,1,0,0,1,0.22,1,0,0,0,0,0,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,21-294,2001,5.3,21,3.99,15,1,3,1,1,0,3,0.57,2,0,1,0,0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-109,1998,3.9,15,3.86,10,2,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-095,1998,6.0,7,1.17,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-261,1998,3.5,3,0.86,2,0,0,1,0,0,1,0.29,1,0,0,0,0,0,Matches
Nikola Dovedan,at AUT,MF,Heidenheim,29-089,1994,1.4,5,3.63,3,0,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Damion Downs,de GER,"FW,MF",Köln,19-089,2004,0.3,1,3.91,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dion Drena Beljo,hr CRO,FW,Augsburg,21-216,2002,2.3,4,1.71,1,0,0,1,2,0,2,0.85,1,0,0,1,0,0,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-210,1994,4.6,21,4.59,12,6,1,1,1,0,4,0.87,2,0,0,1,1,0,Matches
Maximilian Eggestein,de GER,MF,Freiburg,26-299,1996,5.8,7,1.21,5,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
