player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Ermedin Demirović,ba BIH,MF,Augsburg,25-192,1998,5.8,193,5,28,91,79,30,193,14,7,50.0,7,50.0,97,529,208,5,4,2,13,8,107,28,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,21-287,2001,4.6,311,27,152,145,15,1,311,2,1,50.0,1,50.0,130,571,301,2,0,0,0,1,171,4,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,22-316,2000,4.5,258,9,48,135,79,19,258,19,12,63.2,7,36.8,150,954,604,19,11,7,13,8,178,23,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,21-294,2001,5.3,193,6,35,68,95,19,193,16,6,37.5,9,56.3,119,989,583,19,11,7,14,13,131,26,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-109,1998,3.9,175,5,23,71,82,12,175,22,10,45.5,11,50.0,99,587,314,14,4,4,10,6,103,26,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-095,1998,6.0,342,26,152,178,15,4,342,1,1,100.0,0,0.0,203,921,580,1,5,0,3,1,227,2,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-261,1998,3.5,194,15,87,96,11,1,194,2,1,50.0,1,50.0,119,475,154,2,0,0,1,3,126,3,Matches
Nikola Dovedan,at AUT,MF,Heidenheim,29-089,1994,1.4,59,1,14,29,17,2,59,8,4,50.0,4,50.0,34,273,158,4,4,1,4,4,28,4,Matches
Damion Downs,de GER,"FW,MF",Köln,19-089,2004,0.3,13,0,0,10,3,1,13,2,1,50.0,1,50.0,7,21,4,0,0,0,0,0,9,1,Matches
Dion Drena Beljo,hr CRO,FW,Augsburg,21-216,2002,2.3,70,1,4,34,33,11,70,3,1,33.3,2,66.7,37,231,121,5,3,3,8,1,51,10,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-210,1994,4.6,200,5,15,81,104,14,198,4,2,50.0,2,50.0,92,373,167,4,4,0,6,3,126,27,Matches
Maximilian Eggestein,de GER,MF,Freiburg,26-299,1996,5.8,335,18,91,203,43,0,335,6,3,50.0,2,33.3,196,1053,455,6,8,0,2,1,205,4,Matches
Lilian Egloff,de GER,MF,Stuttgart,21-044,2002,1.0,44,2,18,19,7,0,44,1,0,0.0,0,0.0,19,136,50,2,1,0,0,0,22,0,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-003,1996,2.3,182,14,77,85,20,3,182,1,0,0.0,0,0.0,79,394,238,8,2,0,0,1,108,2,Matches
Arne Engels,be BEL,"DF,MF",Augsburg,20-025,2003,4.0,209,4,55,106,48,1,209,3,2,66.7,1,33.3,101,340,142,2,3,0,3,1,106,9,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-024,1997,5.5,370,48,220,140,12,5,370,0,0,,0,,224,1051,571,7,2,0,0,0,232,3,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-171,1996,5.9,430,32,166,194,74,2,430,4,3,75.0,1,25.0,239,1513,956,7,5,1,2,0,245,6,Matches
Nacho Ferri,es ESP,MF,Eint Frankfurt,18-363,2004,0.1,6,0,1,4,1,0,6,0,0,,0,,2,9,7,0,0,0,1,1,2,1,Matches
Max Finkgräfe,de GER,"MF,FW",Köln,19-190,2004,0.6,40,1,4,14,24,7,40,5,3,60.0,1,20.0,25,182,92,5,2,2,2,1,22,8,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,27-250,1996,5.0,267,22,95,122,53,6,267,2,1,50.0,1,50.0,132,505,339,5,4,0,2,2,145,18,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31-345,1991,1.8,94,4,11,54,29,7,94,3,1,33.3,2,66.7,62,269,102,4,1,4,4,1,67,14,Matches
Philipp Förster,de GER,MF,Bochum,28-241,1995,0.7,69,0,10,38,22,3,69,1,0,0.0,1,100.0,28,208,111,4,3,0,2,0,39,6,Matches
Bartol Franjić,hr CRO,MF,Darmstadt 98,23-262,2000,2.5,148,10,56,78,16,0,148,3,2,66.7,1,33.3,78,433,230,5,4,0,2,2,92,1,Matches
Marco Friedl,at AUT,DF,Werder Bremen,25-201,1998,3.5,225,38,125,92,9,0,225,1,1,100.0,0,0.0,116,541,306,0,1,0,2,0,136,1,Matches
Marvin Friedrich,de GER,DF,M'Gladbach,27-294,1995,3.0,204,28,120,67,18,7,204,1,1,100.0,0,0.0,92,445,235,1,1,1,1,0,129,2,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,22-297,2000,5.1,246,4,30,90,130,36,246,17,7,41.2,7,41.2,142,1074,646,31,9,13,6,7,159,49,Matches
Chris Führich,de GER,FW,Stuttgart,25-267,1998,5.6,270,5,26,88,160,25,270,23,13,56.5,8,34.8,168,1553,832,33,22,12,10,11,206,46,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,30-236,1993,2.0,85,2,7,44,34,5,85,1,0,0.0,1,100.0,45,154,71,2,1,0,4,1,70,12,Matches
Niclas Füllkrug,de GER,FW,Dortmund,30-236,1993,2.2,72,6,8,33,31,10,72,1,0,0.0,1,100.0,36,134,58,2,0,2,5,3,55,13,Matches
Cristian Gamboa,cr CRC,"DF,MF",Bochum,33-344,1989,1.1,59,2,11,37,11,0,59,2,2,100.0,0,0.0,32,152,99,2,1,0,0,0,41,2,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-204,1994,3.8,142,3,31,80,32,11,142,2,0,0.0,1,50.0,73,378,183,5,3,2,5,1,87,12,Matches
Anwar El Ghazi,nl NED,"DF,FW",Mainz 05,28-153,1995,0.4,21,0,0,5,16,3,21,1,1,100.0,0,0.0,17,128,71,2,1,0,2,0,19,4,Matches
Matthias Ginter,de GER,DF,Freiburg,29-257,1994,6.0,369,45,155,198,17,3,369,1,0,0.0,1,100.0,205,1073,570,5,3,0,1,1,217,4,Matches
Klaus Gjasula,al ALB,DF,Darmstadt 98,33-293,1989,3.0,168,19,96,69,3,1,168,1,1,100.0,0,0.0,76,344,110,0,0,0,2,0,91,0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-081,1995,1.8,100,1,6,39,56,18,100,6,2,33.3,4,66.7,53,384,193,7,4,5,1,3,73,21,Matches
Leon Goretzka,de GER,MF,Bayern Munich,28-239,1995,4.4,324,11,65,173,90,13,324,3,1,33.3,1,33.3,193,1101,621,12,10,0,4,2,235,8,Matches
Robin Gosens,de GER,"DF,MF",Union Berlin,29-090,1994,4.8,282,6,65,130,89,6,282,7,3,42.9,3,42.9,116,507,247,4,3,0,8,1,151,27,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,31-122,1992,4.7,285,3,40,144,106,7,285,14,7,50.0,5,35.7,188,694,271,4,6,0,11,7,217,24,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-085,1991,2.5,183,16,113,63,8,2,183,2,2,100.0,0,0.0,119,646,327,0,0,0,1,0,125,1,Matches
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-140,2002,0.1,7,0,0,3,4,2,7,1,1,100.0,0,0.0,3,16,9,0,0,0,0,0,5,3,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,29-168,1994,2.0,79,2,11,28,42,14,79,3,1,33.3,2,66.7,37,144,76,2,4,1,6,1,58,13,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-179,1993,5.1,311,15,53,158,101,14,310,9,4,44.4,3,33.3,171,806,380,11,6,1,9,4,196,29,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,28-057,1995,4.6,285,11,67,166,52,4,285,8,3,37.5,4,50.0,163,822,396,8,5,1,1,3,192,7,Matches
Álex Grimaldo,es ESP,DF,Leverkusen,28-013,1995,5.9,422,14,101,176,151,16,422,12,3,25.0,7,58.3,222,1031,663,13,9,2,11,0,258,32,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,34-237,1989,3.9,228,11,66,143,23,3,228,1,1,100.0,0,0.0,108,802,478,6,3,1,9,2,124,0,Matches
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-125,2004,2.4,124,0,3,50,72,8,124,18,8,44.4,9,50.0,75,680,365,15,11,4,3,3,90,26,Matches
Ilia Gruev,bg BUL,MF,Werder Bremen,23-150,2000,0.0,3,0,0,3,0,0,3,0,0,,0,,2,1,0,0,0,0,2,0,2,0,Matches
Raphaël Guerreiro,pt POR,MF,Bayern Munich,29-285,1993,0.5,26,1,4,4,18,2,26,1,1,100.0,0,0.0,17,78,30,1,2,0,0,1,20,5,Matches
Serhou Guirassy,gn GUI,FW,Stuttgart,27-205,1996,5.8,243,6,14,124,107,43,243,10,5,50.0,5,50.0,135,659,273,11,6,7,17,12,209,34,Matches
Manuel Gulde,de GER,DF,Freiburg,32-233,1991,1.1,70,4,38,30,2,1,70,0,0,,0,,23,87,44,0,0,0,0,0,54,0,Matches
Robert Gumny,pl POL,DF,Augsburg,25-121,1998,0.2,18,1,5,8,6,1,18,3,2,66.7,1,33.3,6,36,8,0,1,0,1,0,6,0,Matches
Christian Günter,de GER,DF,Freiburg,30-217,1993,1.0,49,4,10,20,19,1,49,1,1,100.0,0,0.0,30,61,25,2,0,1,1,0,34,3,Matches
Janik Haberer,de GER,MF,Union Berlin,29-184,1994,2.0,97,2,8,42,48,4,97,5,1,20.0,4,80.0,49,174,71,2,3,0,3,2,58,10,Matches
Robin Hack,de GER,MF,M'Gladbach,25-037,1998,0.9,55,0,2,24,30,7,55,2,1,50.0,1,50.0,32,159,78,5,3,2,1,0,46,9,Matches
Sébastien Haller,ci CIV,FW,Dortmund,29-103,1994,3.3,116,8,15,57,46,15,116,4,3,75.0,1,25.0,51,232,102,6,2,0,8,2,79,25,Matches
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26-259,1997,0.7,36,3,20,16,0,0,36,0,0,,0,,9,35,1,0,0,0,1,0,12,0,Matches
Genki Haraguchi,jp JPN,MF,Stuttgart,32-147,1991,0.2,15,2,4,10,1,0,15,0,0,,0,,3,35,30,1,0,0,0,0,10,0,Matches
Makoto Hasebe,jp JPN,DF,Eint Frankfurt,39-258,1984,0.3,21,4,11,10,0,0,21,0,0,,0,,13,71,37,0,0,0,0,0,14,0,Matches
Thorgan Hazard,be BEL,DF,Dortmund,30-188,1993,0.1,9,0,1,6,2,0,9,0,0,,0,,4,9,3,0,0,0,0,0,5,1,Matches
Dominique Heintz,de GER,DF,Köln,30-049,1993,0.2,18,0,5,10,3,0,18,0,0,,0,,11,49,11,0,0,0,0,0,13,1,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,26-222,1997,5.9,398,7,116,190,96,8,398,10,6,60.0,2,20.0,222,1078,583,9,6,1,7,4,255,25,Matches
Piero Hincapié,ec ECU,"DF,MF",Leverkusen,21-267,2002,0.1,15,0,5,7,3,0,15,0,0,,0,,10,49,35,1,0,0,0,0,13,1,Matches
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-070,2002,0.5,30,0,1,11,18,5,30,2,1,50.0,1,50.0,16,106,80,4,1,2,0,2,24,5,Matches
Nicolas Höfler,de GER,MF,Freiburg,33-208,1990,2.9,187,14,49,119,21,4,187,2,1,50.0,0,0.0,92,444,199,2,1,0,3,0,116,2,Matches
Jonas Hofmann,de GER,MF,Leverkusen,31-081,1992,5.8,407,1,38,164,208,26,407,8,2,25.0,6,75.0,223,1071,542,19,14,3,11,3,322,49,Matches
Philipp Hofmann,de GER,FW,Bochum,30-187,1993,4.2,134,1,7,66,61,15,134,3,1,33.3,2,66.7,42,155,31,1,0,0,9,1,106,24,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,29-085,1994,5.7,231,11,37,110,86,21,231,8,3,37.5,4,50.0,118,456,212,7,3,1,6,2,164,28,Matches
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-084,1990,5.6,322,14,78,195,49,4,322,6,3,50.0,3,50.0,185,911,506,6,4,1,4,3,217,10,Matches
Benedict Hollerbach,de GER,"MF,FW",Union Berlin,22-139,2001,0.8,35,1,6,11,18,3,35,3,1,33.3,2,66.7,21,137,41,3,0,2,3,3,23,5,Matches
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-053,1996,4.7,253,2,35,79,142,12,253,13,2,15.4,9,69.2,118,698,340,15,12,3,1,1,151,46,Matches
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,26-287,1996,2.7,116,3,15,51,50,10,116,9,1,11.1,8,88.9,73,434,134,5,4,1,12,0,82,15,Matches
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-020,1999,1.5,53,3,4,20,31,13,53,3,1,33.3,2,66.7,21,121,51,2,1,2,1,4,34,3,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33-313,1989,6.0,171,137,166,5,0,0,171,0,0,,0,,101,516,311,0,1,1,0,0,81,0,Matches
Timo Hübers,de GER,DF,Köln,27-075,1996,6.0,394,47,239,144,15,9,394,1,1,100.0,0,0.0,221,998,421,1,4,1,2,2,209,1,Matches
Mats Hummels,de GER,DF,Dortmund,34-291,1988,4.5,443,36,191,232,24,8,443,0,0,,0,,312,1457,881,2,3,0,1,1,320,0,Matches
Denis Huseinbasic,de GER,MF,Köln,22-092,2001,2.5,91,5,24,49,21,1,91,4,1,25.0,2,50.0,48,250,80,1,2,0,4,1,46,5,Matches
Iago,br BRA,DF,Augsburg,26-194,1997,2.1,98,10,26,53,20,4,98,5,3,60.0,1,20.0,44,242,103,2,1,0,4,1,42,8,Matches
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-248,1998,0.8,29,12,24,5,0,0,29,0,0,,0,,10,57,15,0,0,0,0,0,10,0,Matches
Ko Itakura,jp JPN,DF,M'Gladbach,26-249,1997,5.8,316,55,172,131,14,7,316,1,0,0.0,1,100.0,152,859,499,3,3,0,2,1,187,0,Matches
Hiroki Ito,jp JPN,DF,Stuttgart,24-144,1999,5.8,478,14,138,252,88,4,478,3,1,33.3,1,33.3,265,1345,612,13,12,0,5,2,355,10,Matches
Lee Jae-sung,kr KOR,MF,Mainz 05,31-054,1992,4.9,199,3,22,109,70,11,199,16,8,50.0,6,37.5,91,426,140,3,5,0,10,6,128,20,Matches
