player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,99,2,6,41,53,17,99,6,3,50.0,3,50.0,55,314,143,8,2,2,5,2,65,15,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,310,6,36,134,147,48,310,27,6,22.2,16,59.3,166,924,352,12,8,5,28,16,191,58,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,676,11,68,240,384,65,675,94,34,36.2,48,51.1,455,3163,1489,49,32,21,43,26,478,131,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,786,9,74,394,327,67,786,58,26,44.8,22,37.9,467,2610,1368,46,29,15,52,18,598,137,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,33,1,7,13,14,2,33,3,0,0.0,2,66.7,19,165,24,0,2,0,1,2,19,2,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,674,18,139,387,160,22,674,44,20,45.5,20,45.5,408,2988,1511,43,27,6,34,11,453,54,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,555,8,34,291,236,76,555,12,7,58.3,4,33.3,253,989,267,5,11,1,46,13,415,85,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,1306,143,613,609,93,16,1306,22,7,31.8,13,59.1,691,3422,1537,17,13,3,16,7,742,23,Matches
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,131,13,22,51,61,24,131,8,5,62.5,3,37.5,53,234,116,2,6,1,4,8,91,17,Matches
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,139,3,23,65,52,5,139,10,2,20.0,8,80.0,63,413,223,8,4,4,5,5,71,24,Matches
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,114,4,38,60,17,2,114,4,3,75.0,1,25.0,55,234,130,3,1,0,1,2,53,0,Matches
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,9,1,3,5,1,0,9,1,0,0.0,1,100.0,4,28,7,0,0,0,0,0,4,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,624,16,119,339,174,15,623,38,18,47.4,14,36.8,352,2134,1069,30,26,7,14,10,430,30,Matches
Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,1724,113,540,1021,171,19,1724,7,5,71.4,1,14.3,743,3500,1660,12,18,1,20,4,1073,8,Matches
Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,1798,78,506,771,533,32,1798,28,13,46.4,11,39.3,818,3134,1459,24,26,4,27,15,966,120,Matches
Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,2435,244,1128,1083,249,36,2435,38,19,50.0,18,47.4,1383,8281,4557,56,34,4,24,17,1531,52,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,996,7,102,304,605,63,996,80,31,38.8,39,48.8,525,3766,1485,67,49,20,89,32,560,231,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,368,9,84,225,61,8,368,7,4,57.1,1,14.3,172,681,278,3,3,0,8,2,244,7,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,1927,113,470,1108,364,11,1922,17,8,47.1,5,29.4,974,4616,2330,29,25,1,18,22,1064,19,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,19.0,556,12,65,213,289,80,556,35,13,37.1,16,45.7,343,2354,919,32,19,16,62,31,391,119,Matches
Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,95,3,8,36,53,16,95,3,1,33.3,2,66.7,56,182,103,4,3,3,7,2,75,19,Matches
Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,380,24,128,165,97,5,380,14,4,28.6,7,50.0,166,963,416,9,12,2,13,3,158,21,Matches
Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,344,13,43,175,135,48,344,11,6,54.5,5,45.5,167,769,343,11,8,8,23,10,256,45,Matches
Sanoussy Ba,de GER,DF,RB Leipzig,18,2004,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22,2000,18.4,1139,32,331,570,250,29,1139,39,11,28.2,21,53.8,575,2706,1353,28,17,8,23,15,702,65,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,24,1998,28.7,1889,80,521,880,498,45,1889,61,23,37.7,27,44.3,1052,4917,2381,50,23,8,59,20,1155,157,Matches
Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,6.5,360,12,53,156,158,16,360,20,9,45.0,11,55.0,185,1396,726,17,16,4,16,9,216,28,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,870,55,221,432,231,58,870,19,5,26.3,9,47.4,356,1564,640,17,16,2,39,13,372,49,Matches
Gil Bastião Dias,pt POR,FW,Stuttgart,25,1996,4.4,246,4,46,111,97,13,246,19,10,52.6,8,42.1,157,1079,531,16,5,4,17,11,164,33,Matches
Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,982,135,590,362,36,13,982,5,2,40.0,1,20.0,461,2267,1272,11,8,0,10,5,501,2,Matches
Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34.0,1503,1219,1489,15,0,0,1503,0,0,,0,,903,4083,2259,0,0,0,0,0,757,0,Matches
Timo Baumgartl,de GER,DF,Union Berlin,26,1996,6.2,372,33,160,187,26,9,372,0,0,,0,,212,1099,626,4,4,0,3,0,227,2,Matches
Julian Baumgartlinger,at AUT,MF,Augsburg,34,1988,6.2,292,19,93,156,44,3,292,4,1,25.0,2,50.0,143,462,203,1,2,0,7,3,151,3,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22,1999,28.5,1340,39,204,655,505,118,1340,116,54,46.6,47,40.5,767,4948,2487,76,59,33,81,36,900,145,Matches
Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,25,1996,0.2,8,0,1,4,4,1,8,2,1,50.0,1,50.0,4,45,15,0,1,0,1,0,5,1,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,28,1994,15.7,576,22,63,235,288,69,575,58,26,44.8,30,51.7,307,1655,680,27,19,15,61,17,376,116,Matches
Sheraldo Becker,sr SUR,FW,Union Berlin,27,1995,28.4,908,7,57,263,602,117,908,59,26,44.1,28,47.5,617,4379,2043,105,48,45,62,35,679,240,Matches
Kevin Behrens,de GER,FW,Union Berlin,31,1991,17.1,687,30,53,312,327,83,687,24,12,50.0,8,33.3,306,1254,350,11,8,6,45,20,512,92,Matches
Stefan Bell,de GER,DF,Mainz 05,30,1991,26.6,1551,180,849,653,59,18,1551,7,6,85.7,0,0.0,767,3351,1604,9,6,0,13,4,760,10,Matches
Karim Bellarabi,de GER,"FW,MF",Leverkusen,32,1990,0.9,68,1,9,25,35,4,68,5,1,20.0,4,80.0,41,183,90,4,3,2,1,2,55,11,Matches
Jude Bellingham,eng ENG,MF,Dortmund,19,2003,29.9,2091,48,342,1171,606,105,2090,151,86,57.0,42,27.8,1342,7887,3912,97,50,24,63,58,1568,139,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,27,1995,27.6,1885,138,685,870,345,54,1883,32,12,37.5,16,50.0,940,4235,2012,40,24,11,35,18,1061,98,Matches
Mergim Berisha,de GER,FW,Augsburg,24,1998,18.7,551,23,55,184,322,81,547,31,5,16.1,20,64.5,263,1276,480,20,15,11,42,27,324,99,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,32,1990,2.9,137,32,76,43,18,4,137,0,0,,0,,59,207,91,0,2,0,2,0,62,3,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,17,2005,3.5,182,2,35,77,74,8,182,9,1,11.1,6,66.7,101,431,178,8,11,2,10,6,105,12,Matches
Leonardo Bittencourt,de GER,"MF,DF",Werder Bremen,28,1993,18.1,1031,19,176,568,303,38,1031,64,26,40.6,30,46.9,611,3691,1649,51,48,7,42,10,706,93,Matches
Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26.0,1191,846,1160,31,0,0,1191,1,1,100.0,0,0.0,786,2838,1493,0,0,0,0,0,752,0,Matches
Daley Blind,nl NED,"DF,MF",Bayern Munich,32,1990,1.5,117,10,44,65,9,0,117,0,0,,0,,62,258,134,0,0,0,1,0,74,0,Matches
Kevin-Prince Boateng,gh GHA,MF,Hertha BSC,35,1987,5.2,320,11,66,172,85,15,320,4,1,25.0,3,75.0,156,519,169,2,1,2,10,8,203,20,Matches
Jean-Paul Boëtius,nl NED,MF,Hertha BSC,28,1994,11.7,564,25,152,313,108,7,564,17,7,41.2,7,41.2,275,1049,413,4,5,0,21,12,323,23,Matches
Yvandro Borges Sanches,lu LUX,"FW,MF",M'Gladbach,18,2004,0.3,15,2,3,7,6,0,15,2,2,100.0,0,0.0,9,70,43,1,1,0,2,4,9,5,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,23,1999,21.4,1433,170,693,695,54,16,1433,4,2,50.0,2,50.0,871,3766,2030,6,3,0,5,3,948,6,Matches
Rafael Borré,co COL,"MF,FW",Eint Frankfurt,26,1995,12.0,571,12,55,260,260,67,570,32,16,50.0,14,43.8,349,1694,634,26,13,15,44,14,428,102,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,26,1996,26.6,1634,14,172,668,814,80,1634,81,41,50.6,35,43.2,989,5335,2355,67,42,27,50,35,1186,218,Matches
Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15.0,625,524,623,2,0,0,625,0,0,,0,,383,1919,929,0,0,0,0,0,339,0,Matches
Josip Brekalo,hr CRO,"MF,FW",Wolfsburg,24,1998,3.0,168,0,21,103,48,3,168,8,5,62.5,2,25.0,106,752,296,9,7,2,3,6,134,17,Matches
John Brooks,us USA,DF,Hoffenheim,29,1993,15.0,951,159,556,393,11,7,951,5,2,40.0,1,20.0,479,2169,992,2,3,0,1,1,494,1,Matches
Moritz Broschinski,de GER,"FW,MF",Bochum,21,2000,2.4,88,5,12,33,43,17,88,3,0,0.0,2,66.7,50,260,103,7,0,5,13,5,55,17,Matches
Cédric Brunner,ch SUI,DF,Schalke 04,28,1994,25.7,1402,106,524,609,279,10,1402,15,9,60.0,1,6.7,621,3186,1451,32,32,2,14,13,642,27,Matches
Jacob Bruun Larsen,dk DEN,FW,Hoffenheim,23,1998,3.6,124,1,9,52,65,16,124,7,2,28.6,5,71.4,74,494,174,10,5,5,9,6,85,24,Matches
Lee Buchanan,eng ENG,"DF,FW",Werder Bremen,21,2001,5.2,350,29,125,145,86,9,350,7,0,0.0,6,85.7,168,724,348,10,4,1,7,3,185,20,Matches
Marius Bülter,de GER,"FW,MF",Schalke 04,29,1993,28.9,1117,21,130,419,585,136,1113,96,32,33.3,53,55.2,660,4349,2038,78,48,24,81,28,773,199,Matches
Delano Burgzorg,nl NED,"FW,MF",Mainz 05,23,1998,2.7,93,1,4,26,64,11,93,13,6,46.2,7,53.8,67,410,138,4,2,4,13,6,75,24,Matches
Jonathan Burkardt,de GER,"MF,FW",Mainz 05,22,2000,5.9,180,2,19,65,99,37,179,20,11,55.0,8,40.0,128,642,257,9,7,6,17,9,139,46,Matches
Oliver Burke,sct SCO,"FW,MF",Werder Bremen,25,1997,3.0,118,0,4,41,73,13,118,6,2,33.3,4,66.7,77,366,153,11,3,5,12,4,93,36,Matches
Aurélio Buta,pt POR,DF,Eint Frankfurt,25,1997,14.6,928,39,190,395,352,47,928,30,10,33.3,12,40.0,423,2523,1097,45,19,17,23,9,506,118,Matches
Jamie Bynoe-Gittens,eng ENG,"FW,MF",Dortmund,17,2004,5.9,251,5,32,80,147,37,251,55,20,36.4,28,50.9,179,1422,714,24,13,18,22,5,192,38,Matches
Anthony Caci,fr FRA,DF,Mainz 05,25,1997,22.6,1370,81,458,667,261,20,1370,21,9,42.9,11,52.4,667,3023,1468,20,16,1,14,8,681,41,Matches
Kerim Calhanoglu,de GER,DF,Schalke 04,19,2002,0.7,58,3,22,17,19,1,58,3,0,0.0,3,100.0,17,79,45,3,3,0,3,0,21,3,Matches
Daniel Caligiuri,it ITA,"DF,MF",Augsburg,34,1988,3.2,200,12,65,88,52,5,200,11,5,45.5,4,36.4,82,441,234,7,5,1,5,4,83,8,Matches
Emre Can,de GER,MF,Dortmund,28,1994,21.1,1510,82,448,872,202,18,1509,25,13,52.0,7,28.0,927,4997,2356,34,26,1,15,11,1015,12,Matches
João Cancelo,pt POR,"DF,FW",Bayern Munich,28,1994,11.2,1014,31,224,506,296,38,1014,65,34,52.3,26,40.0,636,3732,2011,51,24,19,20,9,701,90,Matches
Irvin Cardona,fr FRA,"MF,FW",Augsburg,24,1997,3.5,120,7,16,40,64,16,120,7,4,57.1,3,42.9,68,359,222,9,6,1,13,4,72,17,Matches
Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34.0,1653,1196,1636,17,1,1,1653,0,0,,0,,1030,4948,2681,0,1,1,0,0,884,0,Matches
Julian Chabot,de GER,DF,Köln,24,1998,20.0,1434,228,831,572,35,17,1434,8,4,50.0,1,12.5,765,3090,1438,5,6,1,4,2,825,2,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,32,1990,1.0,71,2,14,32,25,2,71,4,1,25.0,3,75.0,28,99,59,2,0,1,2,0,37,6,Matches
Fabio Chiarodia,it ITA,DF,Werder Bremen,17,2005,0.7,29,6,16,11,2,1,29,0,0,,0,,9,44,13,0,0,0,0,0,12,0,Matches
Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33.0,1306,1001,1294,12,0,0,1306,2,1,50.0,1,50.0,709,3902,2090,0,0,0,1,1,542,0,Matches
Darko Churlinov,mk MKD,FW,Stuttgart,22,2000,0.3,5,1,2,3,0,0,5,0,0,,0,,1,1,0,0,0,0,1,1,1,0,Matches
Tolga Ciğerci,tr TUR,MF,Hertha BSC,30,1992,7.5,498,17,128,293,81,0,498,10,5,50.0,4,40.0,194,788,281,3,4,0,10,6,267,2,Matches
