player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,18,1,0,5,0,14.0,0.25,-4.0,-0.29,78,216,36.1,322,55,39.1,36.3,117,76.9,54.9,209,19,9.1,22,1.57,15.4,Matches
Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34.0,48,3,1,9,2,42.6,0.27,-3.4,-0.10,223,590,37.8,1181,179,36.2,33.4,261,62.5,47.9,480,37,7.7,28,0.82,12.5,Matches
Roman Bürki,ch SUI,GK,Dortmund,26,1990,33.0,43,3,2,3,0,45.5,0.30,+2.5,+0.08,163,481,33.9,1050,185,31.7,32.4,237,62.4,49.7,404,40,9.9,38,1.15,14.0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,25,1992,34.0,48,6,1,4,2,50.4,0.28,+4.4,+0.13,248,654,37.9,1043,210,44.2,38.0,288,67.0,52.0,522,57,10.9,30,0.88,12.1,Matches
Michael Esser,de GER,GK,Hannover 96,29,1987,3.0,9,0,0,0,0,6.8,0.34,-2.2,-0.73,23,51,45.1,97,20,41.2,35.0,25,44.0,39.5,55,8,14.5,3,1.00,12.6,Matches
Ralf Fährmann,de GER,GK,Schalke 04,28,1988,33.5,37,3,1,3,1,35.3,0.25,-0.7,-0.02,190,476,39.9,714,126,45.7,38.3,236,63.6,47.4,456,53,11.6,18,0.54,10.9,Matches
Rafał Gikiewicz,pl POL,GK,Freiburg,29,1987,1.7,3,0,0,0,0,1.5,0.21,-1.5,-0.89,28,57,49.1,52,7,67.3,48.9,23,95.7,66.2,41,2,4.9,1,0.58,14.5,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,27,1990,33.0,52,5,0,8,0,47.1,0.29,-4.9,-0.15,223,545,40.9,895,152,43.8,36.0,206,74.3,50.6,440,36,8.2,33,1.00,13.9,Matches
Marwin Hitz,ch SUI,GK,Augsburg,29,1987,32.0,42,1,2,11,0,42.0,0.26,0.0,0.00,264,552,47.8,881,150,45.1,37.8,267,58.1,44.6,440,29,6.6,17,0.53,12.5,Matches
Timo Horn,de GER,GK,Köln,24,1993,34.0,70,8,0,7,0,66.5,0.29,-3.5,-0.10,302,746,40.5,787,84,62.9,44.1,299,83.9,57.3,592,25,4.2,31,0.91,13.7,Matches
Lukáš Hrádecký,fi FIN,GK,Eint Frankfurt,27,1989,34.0,45,2,2,7,2,41.3,0.30,-1.7,-0.05,271,662,40.9,1058,164,45.0,37.2,241,77.2,56.1,483,46,9.5,59,1.74,15.2,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,32,1984,31.0,44,5,0,7,1,35.8,0.22,-7.2,-0.23,286,761,37.6,882,101,61.5,44.0,249,88.0,57.9,483,37,7.7,15,0.48,11.9,Matches
Thomas Kraft,de GER,GK,Hertha BSC,29,1988,3.0,2,1,0,0,0,3.5,0.18,+1.5,+0.51,30,79,38.0,108,5,59.3,41.5,28,53.6,44.2,39,0,0.0,4,1.33,18.2,Matches
Bernd Leno,de GER,GK,Leverkusen,25,1992,33.0,40,5,2,3,0,35.2,0.28,-4.8,-0.15,194,536,36.2,995,134,39.5,35.0,250,57.2,46.1,366,29,7.9,34,1.03,14.4,Matches
