age,games,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,season,ID,Points,Position,xG,xA,key_passes,npxG,xGChain,xGBuildup
25,6,540,0,0,0,0,0,0,0,0,0.8,1.0,3.0,23.0,3.0,3,0,0.0,0.0,11.8,0.0,0.08,-0.2,-0.2,219.0,294.0,4363.0,1814.0,76.0,97.0,78.4,108.0,124.0,87.1,32.0,62.0,51.6,0.4,-0.8,2.0,23.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,10,8.0,5.0,0.0,7.0,12.0,5.0,12.0,7.0,5.0,8,21.0,34.0,1.0,368.0,44.0,177.0,170.0,25.0,8.0,368.0,0.0,0.0,0.0,179.0,922.0,458.0,3.0,0.0,3.0,0.0,205.0,2023,2294,536.0,2,0.2110625598579645,0.5340107679367065,1,0.2110625598579645,1.7593848444521427,1.2253740765154362
26,2,66,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,26.0,351.0,98.0,4.0,6.0,66.7,13.0,15.0,86.7,1.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,3.0,2.0,0.0,36.0,3.0,20.0,16.0,0.0,0.0,36.0,0.0,0.0,0.0,9.0,35.0,1.0,0.0,0.0,1.0,0.0,12.0,2023,4576,-53.0,2,0.0,0.0,0,0.0,0.0,0.0
23,3,53,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,21.0,216.0,54.0,5.0,7.0,71.4,4.0,7.0,57.1,2.0,5.0,40.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5,2.0,3.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1,6.0,3.0,0.0,31.0,3.0,10.0,21.0,2.0,0.0,31.0,0.0,0.0,0.0,14.0,73.0,26.0,0.0,0.0,1.0,0.0,14.0,2023,3397,70.0,3,0.0,0.0,0,0.0,0.0,0.0
32,13,923,6,1,7,2,4,4,3,0,2.8,4.7,27.0,41.0,62.0,23,6,0.09,0.33,21.2,6.0,0.08,1.0,0.1,374.0,472.0,5934.0,1683.0,196.0,226.0,86.7,127.0,152.0,83.6,36.0,62.0,58.1,3.3,-1.8,38.0,31.0,7.0,1.0,57.0,31.0,19.0,3.0,1.0,2.0,1.0,6.0,4.0,0.0,1.0,0.0,1.0,0.0,3.0,1,2.0,0.0,1.0,2.0,5.0,3.0,5.0,0.0,5.0,2,5.0,6.0,0.0,569.0,12.0,64.0,252.0,255.0,42.0,565.0,22.0,10.0,10.0,319.0,1948.0,998.0,22.0,11.0,19.0,16.0,385.0,2023,1815,1613.0,4,4.986347433179617,3.7805268708616495,37,1.9552406929433344,5.967444455251098,3.602645795792341
24,4,169,0,0,0,0,0,0,0,0,0.1,0.2,7.0,9.0,12.0,3,0,0.0,0.0,21.7,0.0,0.02,-0.1,-0.1,54.0,71.0,826.0,190.0,34.0,41.0,82.9,17.0,21.0,81.0,3.0,6.0,50.0,0.1,-0.1,2.0,6.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1,0.0,2.0,0.0,1.0,3.0,2.0,1.0,0.0,1.0,3,5.0,1.0,0.0,101.0,1.0,25.0,55.0,22.0,5.0,101.0,7.0,2.0,5.0,64.0,429.0,207.0,5.0,2.0,5.0,4.0,69.0,2023,3187,132.0,3,0.0621040631085634,0.0908304546028375,2,0.0621040631085634,0.2944731563329696,0.1641238033771515
22,15,841190,0,3,3,0,0,0,1,0,2.4,3.0,16.0,103.0,33.0,10,3,0.0,0.0,46.3,1.0,0.1,-0.6,-0.6,905.0,1021.0,14910.0,4621.0,420.0,449.0,183.2,383.0,402.0,195.1,66.0,112.0,129.5,2.7,0.6,25.0,109.0,11.0,3.0,53.0,39.0,13.0,0.0,0.0,0.0,1.0,6.0,4.0,1.0,0.0,0.0,0.0,1.0,27.0,18,9.0,17.0,1.0,13.0,26.0,13.0,21.0,7.0,14.0,16,43.0,12.0,1.0,1152.0,38.0,215.0,701.0,245.0,13.0,1152.0,14.0,10.0,3.0,614.0,2571.0,1090.0,18.0,1.0,24.0,15.0,837.0,2023,2694,1917.0,3,0.4479113947600126,2.513087410479784,24,0.4479113947600126,12.4216598123312,10.609444197267294
21,13,798,3,0,3,3,0,0,4,1,0.7,3.4,29.0,18.0,57.0,15,5,0.2,0.6,14.1,0.0,0.17,0.4,0.4,186.0,293.0,2814.0,761.0,105.0,134.0,78.4,62.0,95.0,65.3,12.0,27.0,44.4,0.7,-0.7,5.0,10.0,9.0,4.0,21.0,16.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,22.0,13,10.0,8.0,4.0,9.0,17.0,8.0,14.0,2.0,12.0,6,28.0,6.0,0.0,412.0,7.0,72.0,181.0,164.0,43.0,412.0,23.0,8.0,13.0,213.0,1304.0,641.0,11.0,15.0,18.0,8.0,245.0,2023,2863,610.0,3,2.64982720464468,1.34643436037004,6,2.64982720464468,5.354348893277347,1.4045496406033635
26,14,1149,2,0,2,2,0,0,3,0,0.5,1.0,11.0,58.0,27.0,14,2,0.14,1.0,18.9,0.0,0.04,1.5,1.5,479.0,675.0,9564.0,3837.0,188.0,231.0,81.4,207.0,268.0,77.2,79.0,147.0,53.7,0.9,-0.5,5.0,38.0,16.0,4.0,17.0,12.0,2.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,21.0,8,14.0,7.0,0.0,15.0,22.0,7.0,17.0,3.0,14.0,15,36.0,21.0,0.0,794.0,47.0,302.0,364.0,139.0,12.0,794.0,19.0,9.0,9.0,364.0,1710.0,949.0,8.0,2.0,8.0,4.0,445.0,2023,3470,803.0,2,0.6612129341810942,0.4378882609307766,5,0.6612129341810942,3.627259239554405,2.8310999423265457
32,15,1202,0,0,0,0,0,0,2,0,0.1,0.1,8.0,49.0,14.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,716.0,839.0,13363.0,4821.0,278.0,308.0,90.3,351.0,391.0,89.8,76.0,113.0,67.3,0.5,-0.1,3.0,35.0,6.0,3.0,14.0,13.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,18.0,9,12.0,5.0,1.0,8.0,16.0,8.0,16.0,7.0,9.0,11,29.0,46.0,0.0,941.0,121.0,460.0,444.0,38.0,2.0,941.0,2.0,2.0,0.0,509.0,2517.0,1257.0,5.0,1.0,4.0,0.0,621.0,2023,1858,777.0,2,0.0,0.2010574527084827,4,0.0,6.123730480670929,5.92267307639122
37,15,1216,1,1,2,1,0,0,3,0,0.5,1.4,7.0,47.0,19.0,9,1,0.11,1.0,18.0,0.0,0.1,0.1,0.1,342.0,451.0,5177.0,1596.0,172.0,214.0,80.4,142.0,183.0,77.6,13.0,27.0,48.1,0.5,0.5,7.0,29.0,5.0,2.0,18.0,15.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,16,7.0,23.0,3.0,13.0,23.0,10.0,20.0,5.0,15.0,16,49.0,21.0,0.0,601.0,35.0,131.0,372.0,99.0,24.0,601.0,10.0,4.0,6.0,224.0,806.0,314.0,4.0,1.0,14.0,5.0,290.0,2023,1514,873.0,3,0.8049109093844891,0.3532892605289817,7,0.8049109093844891,3.4299213783815503,2.53114465251565
