player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Oliver Baumann,de GER,GK,Hoffenheim,31,1990,33.0,57,2,0,9,1,51.5,0.33,-4.5,-0.14,138,393,35.1,1302,185,26.1,29.0,216,24.5,28.8,420,27,6.4,65,1.97,16.7,Matches
Fabian Bredlow,de GER,GK,Stuttgart,26,1995,4.0,7,0,0,3,0,6.7,0.28,-0.3,-0.07,10,22,45.5,92,22,20.7,26.8,37,8.1,19.6,67,2,3.0,4,1.00,17.8,Matches
Sascha Burchert,de GER,GK,Greuther Fürth,31,1989,14.0,28,3,1,4,2,23.0,0.28,-3.0,-0.22,120,326,36.8,441,49,52.2,41.1,115,83.5,55.9,224,8,3.6,24,1.71,17.2,Matches
Roman Bürki,ch SUI,GK,Dortmund,30,1990,1.0,1,1,0,0,0,1.0,0.00,0.0,-0.01,0,7,0.0,20,3,30.0,28.1,3,33.3,34.3,5,0,0.0,5,5.00,27.3,Matches
Koen Casteels,be BEL,GK,Wolfsburg,29,1992,28.0,40,3,0,4,0,42.0,0.32,+2.0,+0.07,165,370,44.6,873,135,30.6,32.3,204,50.5,42.1,413,31,7.5,30,1.07,14.8,Matches
Finn Dahmen,de GER,GK,Mainz 05,23,1998,2.0,3,1,0,0,0,2.1,0.24,-0.9,-0.43,3,14,21.4,59,9,16.9,25.8,20,20.0,31.2,27,2,7.4,2,1.00,14.4,Matches
Michael Esser,de GER,GK,Bochum,33,1987,3.0,7,2,0,1,0,8.5,0.32,+1.5,+0.51,20,65,30.8,104,10,41.3,36.1,30,73.3,48.3,52,1,1.9,1,0.33,10.7,Matches
Mark Flekken,nl NED,GK,Freiburg,28,1993,32.0,39,2,1,3,1,39.7,0.27,+1.7,+0.05,245,633,38.7,1084,112,41.5,37.8,244,75.0,59.1,462,14,3.0,35,1.09,15.8,Matches
Christian Früchtl,de GER,GK,Bayern Munich,21,2000,0.1,0,0,0,0,0,0.0,,0.0,0.00,1,1,100.0,4,0,25.0,18.0,0,,,0,0,,0,0.00,19.0,Matches
Marius Funk,de GER,GK,Greuther Fürth,25,1996,8.0,30,2,0,3,2,24.2,0.41,-3.8,-0.47,65,182,35.7,288,26,45.8,37.5,70,71.4,52.2,95,7,7.4,19,2.38,18.6,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,33,1987,34.0,56,5,1,2,2,52.3,0.31,-1.7,-0.05,233,579,40.2,951,145,41.9,36.5,287,63.1,47.7,532,24,4.5,51,1.50,16.7,Matches
Jens Grahl,de GER,GK,Eint Frankfurt,32,1988,1.0,2,0,0,0,0,0.7,0.16,-1.3,-1.35,1,4,25.0,18,5,0.0,21.9,11,36.4,36.8,10,1,10.0,0,0.00,10.8,Matches
Lennart Grill,de GER,GK,Leverkusen,22,1999,1.0,2,0,0,0,1,1.8,0.31,+0.8,+0.84,5,17,29.4,37,7,29.7,28.5,10,60.0,43.8,12,0,0.0,0,0.00,12.0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,31,1990,33.0,34,3,0,6,1,31.9,0.27,-1.1,-0.03,117,310,37.7,976,162,24.9,29.5,198,33.8,33.1,349,14,4.0,61,1.85,20.6,Matches
Marwin Hitz,ch SUI,GK,Dortmund,33,1987,4.5,12,2,0,1,0,8.6,0.27,-3.4,-0.76,16,32,50.0,147,31,18.4,27.7,30,16.7,28.2,54,3,5.6,9,2.00,20.6,Matches
Timo Horn,de GER,GK,Köln,28,1993,13.0,21,0,0,3,1,19.7,0.36,-0.3,-0.02,67,166,40.4,438,47,32.2,33.1,81,30.9,33.4,149,4,2.7,19,1.46,17.4,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,31,1989,32.0,44,2,2,6,0,41.9,0.26,-2.1,-0.07,130,381,34.1,1050,173,27.8,30.6,209,42.6,37.4,385,17,4.4,45,1.41,17.5,Matches
Stefanos Kapino,gr GRE,GK,Arminia,27,1994,1.0,0,0,0,0,0,1.0,0.26,+1.0,+1.02,7,16,43.8,21,3,38.1,37.3,10,80.0,48.9,31,1,3.2,2,2.00,18.4,Matches
Gregor Kobel,ch SUI,GK,Dortmund,23,1997,28.5,39,3,2,5,2,37.3,0.32,+0.3,+0.01,77,240,32.1,836,142,20.5,27.5,185,37.3,35.4,343,17,5.0,49,1.72,16.1,Matches
Andreas Linde,se SWE,GK,Greuther Fürth,28,1993,12.0,24,1,0,5,1,19.7,0.31,-3.3,-0.27,63,211,29.9,408,69,39.0,35.1,87,59.8,44.8,227,13,5.7,10,0.83,13.8,Matches
Marcel Lotka,pl POL,GK,Hertha BSC,20,2001,9.8,20,3,0,4,0,13.8,0.23,-6.2,-0.63,63,188,33.5,262,47,52.3,39.7,73,69.9,52.5,144,13,9.0,10,1.02,12.1,Matches
Andrey Lunyov,ru RUS,GK,Leverkusen,29,1991,1.0,1,0,0,0,0,0.4,0.19,-0.6,-0.62,4,10,40.0,43,5,14.0,25.4,6,66.7,53.7,21,0,0.0,0,0.00,13.0,Matches
Andreas Luthe,de GER,GK,Union Berlin,34,1987,27.0,39,2,0,5,3,30.5,0.29,-5.5,-0.20,163,472,34.5,784,122,43.6,36.0,217,59.9,44.2,399,29,7.3,24,0.89,12.9,Matches
Josep Martinez,es ESP,GK,RB Leipzig,23,1998,1.0,3,0,0,0,0,1.5,0.37,-1.5,-1.51,2,5,40.0,14,1,28.6,29.6,7,14.3,29.4,4,0,0.0,4,4.00,25.0,Matches
Florian Müller,de GER,GK,Stuttgart,23,1997,30.0,52,4,1,5,1,46.3,0.31,-4.7,-0.16,92,235,39.1,773,152,21.2,27.3,240,29.6,30.7,447,17,3.8,37,1.23,15.4,Matches
Manuel Neuer,de GER,GK,Bayern Munich,35,1986,27.9,26,1,0,1,0,23.9,0.26,-2.1,-0.07,110,223,49.3,1085,163,19.0,27.6,166,10.2,25.3,262,9,3.4,95,3.41,26.2,Matches
Stefan Ortega,de GER,GK,Arminia,28,1992,33.0,53,7,1,6,2,55.8,0.28,+4.8,+0.15,412,902,45.7,1448,91,49.6,39.2,317,58.0,46.9,528,11,2.1,46,1.39,18.6,Matches
Philipp Pentke,de GER,GK,Hoffenheim,36,1985,1.0,3,0,0,0,0,1.7,0.24,-1.3,-1.34,5,13,38.5,32,5,34.4,28.5,7,28.6,30.1,10,1,10.0,0,0.00,11.3,Matches
Pavao Pervan,at AUT,GK,Wolfsburg,33,1987,6.0,14,1,1,2,1,11.3,0.27,-1.7,-0.29,18,58,31.0,158,31,31.0,31.8,49,18.4,26.4,97,2,2.1,7,1.17,13.6,Matches
Diant Ramaj,de GER,GK,Eint Frankfurt,19,2001,1.0,1,0,0,0,0,1.0,0.25,0.0,-0.01,4,14,28.6,37,6,32.4,31.6,4,50.0,40.0,24,3,12.5,3,3.00,14.8,Matches
Manuel Riemann,de GER,GK,Bochum,32,1988,31.0,45,3,1,3,4,41.4,0.27,+2.4,+0.08,464,1004,46.2,1353,99,62.0,43.6,243,67.9,48.5,411,27,6.6,71,2.37,19.5,Matches
Frederik Rønnow,dk DEN,GK,Union Berlin,28,1992,7.0,5,0,0,0,1,3.4,0.19,-0.6,-0.09,43,122,35.2,213,28,45.1,36.3,43,60.5,45.2,83,11,13.3,3,0.43,10.2,Matches
Marvin Schwäbe,de GER,GK,Köln,26,1995,21.0,28,0,2,3,1,31.4,0.31,+4.4,+0.21,107,251,42.6,854,88,23.5,28.8,144,34.7,35.2,283,9,3.2,15,0.71,13.6,Matches
Alexander Schwolow,de GER,GK,Hertha BSC,29,1992,24.2,51,5,1,6,0,42.2,0.31,-8.8,-0.36,126,333,37.8,621,125,32.9,33.0,204,63.2,48.2,404,17,4.2,32,1.32,15.0,Matches
Tobias Sippel,de GER,GK,M'Gladbach,33,1988,1.0,1,0,0,0,0,0.4,0.12,-0.6,-0.64,6,13,46.2,41,4,24.4,29.5,6,50.0,51.8,18,0,0.0,0,0.00,8.0,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,32,1988,33.0,60,3,1,5,0,57.0,0.30,-3.0,-0.09,147,439,33.5,1213,162,28.9,31.3,221,39.8,37.2,428,19,4.4,53,1.66,16.2,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,31,1990,32.0,46,4,0,3,1,50.8,0.30,+5.8,+0.18,157,539,29.1,1001,146,41.8,34.6,250,48.4,42.6,426,19,4.5,43,1.34,16.4,Matches
Philipp Tschauner,de GER,GK,RB Leipzig,35,1985,0.0,0,0,0,0,0,0.0,,0.0,0.00,1,2,50.0,5,0,40.0,36.4,0,,,0,0,,0,0.00,,Matches
Sven Ulreich,de GER,GK,Bayern Munich,32,1988,6.0,11,1,1,1,1,8.7,0.34,-1.3,-0.22,10,32,31.3,197,31,14.2,25.2,38,10.5,20.2,54,3,5.6,10,1.67,19.2,Matches
Benjamin Uphoff,de GER,GK,Freiburg,27,1993,2.0,7,0,0,2,0,3.0,0.25,-4.0,-2.01,22,51,43.1,70,14,44.3,34.4,20,100.0,63.2,34,4,11.8,1,0.50,6.3,Matches
Robin Zentner,de GER,GK,Mainz 05,26,1994,32.0,42,4,0,4,1,39.1,0.29,-1.9,-0.06,119,389,30.6,766,166,36.9,34.4,236,44.9,39.4,423,29,6.9,68,2.13,17.9,Matches
