player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,12,0.76,9,0,1,1,1,0,1,0.06,0,0,0,1,0,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,8.8,8,0.91,8,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,8.0,12,1.50,10,0,1,0,1,0,3,0.37,3,0,0,0,0,0,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,0.9,1,1.13,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,24.5,18,0.73,14,0,1,0,2,1,4,0.16,2,0,0,0,1,1,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,5.8,21,3.60,15,0,3,2,1,0,1,0.17,1,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,7,1.26,6,0,0,0,1,0,2,0.36,1,0,0,0,1,0,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,4,1.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,84,2.99,64,4,4,10,2,0,9,0.32,7,1,1,0,0,0,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,14.1,31,2.21,29,0,0,1,1,0,4,0.28,4,0,0,0,0,0,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,18.4,37,2.01,27,5,2,2,0,1,4,0.22,4,0,0,0,0,0,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,13.5,40,2.97,29,0,2,5,2,2,7,0.52,4,0,0,1,1,1,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,26.8,98,3.66,71,16,4,1,4,2,9,0.34,7,2,0,0,0,0,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,2.0,7,3.58,4,1,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,8.4,28,3.34,21,1,4,1,1,0,3,0.36,1,0,1,0,1,0,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34.0,27,0.79,21,2,2,1,1,0,0,0.00,0,0,0,0,0,0,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,11.4,26,2.28,15,8,1,2,0,0,1,0.09,0,0,0,1,0,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,21.0,72,3.42,64,4,0,3,1,0,13,0.62,12,0,0,1,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,31.9,90,2.82,41,30,4,6,9,0,14,0.44,4,6,1,1,2,0,Matches
Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,7.8,14,1.81,6,0,1,4,3,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,21,1997,27.0,45,1.67,39,0,0,5,1,0,4,0.15,3,0,0,1,0,0,Matches
Simon Asta,de GER,DF,Augsburg,17,2001,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,21,1997,5.1,17,3.32,9,0,3,1,4,0,2,0.39,0,0,1,1,0,0,Matches
Ludwig Augustinsson,se SWE,DF,Werder Bremen,24,1994,33.6,82,2.44,65,12,1,3,1,0,9,0.27,8,0,0,1,0,0,Matches
Kaan Ayhan,tr TUR,DF,Düsseldorf,23,1994,27.2,25,0.92,21,1,0,3,0,0,1,0.04,1,0,0,0,0,0,Matches
Florian Baak,de GER,MF,Hertha BSC,19,1999,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Holger Badstuber,de GER,DF,Stuttgart,29,1989,5.8,2,0.34,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Baier,de GER,MF,Augsburg,34,1984,31.3,66,2.11,55,2,0,2,5,2,5,0.16,4,0,0,0,1,0,Matches
Leon Bailey,jm JAM,FW,Leverkusen,20,1997,21.3,90,4.23,54,14,9,7,6,0,3,0.14,2,0,0,1,0,0,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,28,1989,16.3,18,1.10,13,0,1,0,4,0,2,0.12,1,0,0,0,1,0,Matches
Ridle Baku,de GER,MF,Mainz 05,20,1998,10.4,22,2.12,20,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Philipp Bargfrede,de GER,"MF,DF",Werder Bremen,29,1989,12.0,13,1.08,13,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aymen Barkok,ma MAR,MF,Düsseldorf,20,1998,5.7,7,1.23,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,18,2000,1.0,2,2.00,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Fin Bartels,de GER,"MF,FW",Werder Bremen,31,1987,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Bauer,de GER,DF,Nürnberg,23,1995,19.1,30,1.57,17,10,0,0,2,1,0,0.00,0,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33.0,6,0.18,4,2,0,0,0,0,2,0.06,2,0,0,0,0,0,Matches
Timo Baumgartl,de GER,DF,Stuttgart,22,1996,18.0,9,0.50,7,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,30,1988,17.3,35,2.02,33,1,0,1,0,0,3,0.17,3,0,0,0,0,0,Matches
Christoph Baumgartner,at AUT,MF,Hoffenheim,18,1999,0.9,6,6.35,1,0,3,0,2,0,3,3.18,1,0,1,0,1,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,21,1996,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,24,1994,11.8,51,4.31,31,3,8,4,3,2,8,0.68,5,0,2,0,1,0,Matches
Uffe Bech,dk DEN,FW,Hannover 96,25,1993,0.2,2,9.47,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andreas Beck,de GER,DF,Stuttgart,31,1987,19.7,33,1.67,26,3,1,0,2,1,4,0.20,4,0,0,0,0,0,Matches
Hanno Behrens,de GER,MF,Nürnberg,28,1990,29.3,61,2.08,48,0,1,9,2,1,4,0.14,2,0,0,2,0,0,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,26,1992,20.7,77,3.72,45,1,16,10,5,0,9,0.43,3,0,2,3,1,0,Matches
Stefan Bell,de GER,DF,Mainz 05,26,1991,25.0,46,1.84,40,1,2,2,1,0,2,0.08,2,0,0,0,0,0,Matches
