player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Kyriakos Papadopoulos,gr GRE,DF,Hamburger SV,25,1992,29.0,1,23,6,26.1,0.79,0.21,0.04,0.17,11.9,1,0,0,1.5,1.5,0.07,-0.5,-0.5,Matches
Sokratis Papastathopoulos,gr GRE,DF,Dortmund,29,1988,26.4,2,15,4,26.7,0.57,0.15,0.13,0.50,19.4,0,0,0,1.0,1.0,0.07,+1.0,+1.0,Matches
Shawn Parker,de GER,"FW,MF",Augsburg,24,1993,0.5,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Felix Passlack,de GER,"FW,DF",Hoffenheim,19,1998,0.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Felix Passlack,de GER,DF,Dortmund,19,1998,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Benjamin Pavard,fr FRA,DF,Stuttgart,21,1996,34.0,1,11,3,27.3,0.32,0.09,0.09,0.33,17.1,0,0,0,1.0,1.0,0.09,0.0,0.0,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,25,1992,34.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Peter Pekarík,sk SVK,DF,Hertha BSC,30,1986,15.3,0,9,3,33.3,0.59,0.20,0.00,0.00,18.6,0,0,0,0.7,0.7,0.08,-0.7,-0.7,Matches
Nils Petersen,de GER,FW,Freiburg,28,1988,24.9,15,57,18,31.6,2.29,0.72,0.18,0.56,17.8,0,5,6,12.3,7.6,0.13,+2.7,+2.4,Matches
Maximilian Philipp,de GER,FW,Dortmund,23,1994,13.4,9,44,15,34.1,3.29,1.12,0.20,0.60,16.4,0,0,0,4.2,4.1,0.09,+4.8,+4.9,Matches
Łukasz Piszczek,pl POL,DF,Dortmund,32,1985,23.8,0,20,7,35.0,0.84,0.29,0.00,0.00,17.4,0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Claudio Pizarro,pe PER,"FW,MF",Köln,38,1978,6.4,1,16,4,25.0,2.49,0.62,0.06,0.25,14.7,0,0,0,1.9,1.9,0.12,-0.9,-0.9,Matches
Marko Pjaca,hr CRO,"FW,MF",Schalke 04,22,1995,2.9,2,6,3,50.0,2.08,1.04,0.33,0.67,18.4,0,0,0,0.5,0.5,0.08,+1.5,+1.5,Matches
Marvin Plattenhardt,de GER,DF,Hertha BSC,25,1992,33.0,0,18,3,16.7,0.55,0.09,0.00,0.00,29.0,11,0,0,1.0,1.0,0.05,-1.0,-1.0,Matches
Joel Pohjanpalo,fi FIN,"MF,FW",Leverkusen,22,1994,1.3,1,5,3,60.0,3.88,2.33,0.20,0.33,13.9,0,0,0,0.8,0.8,0.17,+0.2,+0.2,Matches
Eugen Polanski,pl POL,MF,Hoffenheim,31,1986,2.9,0,4,0,0.0,1.38,0.00,0.00,,21.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Julian Pollersbeck,de GER,GK,Hamburger SV,22,1994,10.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Stefan Posch,at AUT,DF,Hoffenheim,20,1997,8.4,0,3,2,66.7,0.36,0.24,0.00,0.00,14.3,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Yussuf Poulsen,dk DEN,FW,RB Leipzig,23,1994,18.5,4,39,14,35.9,2.11,0.76,0.10,0.29,13.4,0,0,0,7.9,7.9,0.20,-3.9,-3.9,Matches
Christian Pulisic,us USA,"FW,DF",Dortmund,18,1998,25.6,4,38,15,39.5,1.49,0.59,0.11,0.27,15.3,0,0,0,5.2,5.2,0.14,-1.2,-1.2,Matches
Robin Quaison,se SWE,FW,Mainz 05,23,1993,15.7,4,40,15,37.5,2.56,0.96,0.10,0.27,18.3,0,0,0,4.9,4.9,0.12,-0.9,-0.9,Matches
Raffael,br BRA,FW,M'Gladbach,32,1985,23.0,9,51,17,33.3,2.22,0.74,0.16,0.47,17.9,2,1,1,6.7,5.9,0.12,+2.3,+2.1,Matches
Rafinha,br BRA,DF,Bayern Munich,31,1985,20.6,1,7,3,42.9,0.34,0.15,0.14,0.33,23.4,0,0,0,0.5,0.5,0.08,+0.5,+0.5,Matches
Baba Rahman,gh GHA,DF,Schalke 04,23,1994,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
André Ramalho,br BRA,"DF,FW",Leverkusen,25,1992,0.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Milot Rashica,xk KVX,"FW,MF",Werder Bremen,21,1996,4.3,1,15,5,33.3,3.52,1.17,0.07,0.20,22.1,1,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Konstantin Rausch,ru RUS,DF,Köln,27,1990,10.3,0,12,1,8.3,1.17,0.10,0.00,0.00,25.4,2,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
Yoric Ravet,fr FRA,"FW,MF",Freiburg,27,1989,5.5,0,16,4,25.0,2.89,0.72,0.00,0.00,25.7,2,0,0,0.7,0.7,0.04,-0.7,-0.7,Matches
Ante Rebić,hr CRO,FW,Eint Frankfurt,23,1993,19.5,6,46,23,50.0,2.36,1.18,0.13,0.26,18.4,3,0,0,4.7,4.7,0.10,+1.3,+1.3,Matches
Fabian Reese,de GER,"FW,MF",Schalke 04,19,1997,0.8,0,4,0,0.0,4.80,0.00,0.00,,21.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
