player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,5,0.37,3,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,37,1.80,31,0,0,0,3,3,3,0.15,2,0,0,0,0,1,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,22,4.12,15,1,2,2,2,0,6,1.12,4,0,0,2,0,0,Matches
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,8,1.03,4,1,1,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,2,0.71,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,22,0.84,16,1,0,3,1,1,2,0.08,2,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,7,0.53,5,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,60,2.02,55,1,0,3,0,1,7,0.24,6,1,0,0,0,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,30,2.17,22,0,2,3,3,0,3,0.22,2,0,0,1,0,0,Matches
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,7,0.48,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,80,3.81,57,13,4,6,0,0,10,0.48,8,1,1,0,0,0,Matches
Sebastian Andersson,se SWE,FW,Köln,29,1991,12.5,14,1.12,10,0,0,3,1,0,3,0.24,1,0,0,1,1,0,Matches
Robert Andrich,de GER,MF,Union Berlin,25,1994,28.1,56,2.00,48,0,3,2,2,1,7,0.25,6,0,0,0,1,0,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,96,4.00,65,14,6,6,3,2,9,0.37,5,1,1,1,1,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,24,1996,30.1,31,1.03,26,0,0,2,1,2,5,0.17,4,0,0,0,1,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,18.5,36,1.94,33,0,1,0,0,2,1,0.05,1,0,0,0,0,0,Matches
Santiago Arias,co COL,DF,Leverkusen,28,1992,1.0,1,1.00,0,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,28.7,108,3.76,48,42,2,6,10,0,12,0.42,5,4,1,0,2,0,Matches
Toluwalase Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,4,3.21,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,14,1.66,10,0,1,1,1,1,1,0.12,0,0,0,1,0,0,Matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,26,1994,21.7,68,3.13,37,26,1,2,1,1,7,0.32,3,4,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,36,2.39,26,1,2,2,5,0,7,0.46,3,1,1,0,2,0,Matches
Mehmet Aydin,de GER,DF,Schalke 04,18,2002,5.6,2,0.36,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,100,4.20,57,16,12,7,8,0,13,0.55,7,4,1,1,0,0,Matches
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,95,3.19,76,3,5,4,6,1,15,0.50,14,0,1,0,0,0,Matches
Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,2,1.00,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,41,3.78,27,8,4,0,2,0,7,0.65,4,1,2,0,0,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,30,1.17,24,0,1,1,3,1,2,0.08,2,0,0,0,0,0,Matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,12.3,11,0.89,8,2,0,0,1,0,1,0.08,1,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31.0,5,0.16,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,20,1.68,15,0,0,1,4,0,2,0.17,1,0,0,1,0,0,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,83,3.16,59,1,3,5,12,3,11,0.42,8,0,1,0,2,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,3,7.50,2,0,0,0,1,0,1,2.50,1,0,0,0,0,0,Matches
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,26,1994,24.4,74,3.03,57,0,9,3,5,0,13,0.53,6,0,4,2,1,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,25,1995,12.3,38,3.10,29,0,3,3,3,0,8,0.65,7,0,0,0,1,0,Matches
Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,10,0.55,6,1,1,0,2,0,2,0.11,1,1,0,0,0,0,Matches
Brian Behrendt,de GER,DF,Arminia,28,1991,0.9,1,1.13,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,28,1992,6.6,20,3.02,15,0,0,2,3,0,1,0.15,1,0,0,0,0,0,Matches
Stefan Bell,de GER,DF,Mainz 05,28,1991,14.1,10,0.71,8,1,0,0,0,1,2,0.14,1,1,0,0,0,0,Matches
Karim Bellarabi,de GER,"FW,MF",Leverkusen,30,1990,8.9,35,3.95,25,0,6,4,0,0,1,0.11,0,0,0,1,0,0,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,39,2.07,33,0,1,1,3,1,7,0.37,7,0,0,0,0,0,Matches
Lars Bender,de GER,DF,Leverkusen,31,1989,10.4,17,1.63,17,0,0,0,0,0,4,0.38,4,0,0,0,0,0,Matches
Sven Bender,de GER,DF,Leverkusen,31,1989,13.0,12,0.92,11,0,0,1,0,0,2,0.15,2,0,0,0,0,0,Matches
László Bénes,sk SVK,MF,Augsburg,22,1997,7.3,26,3.55,12,8,1,1,4,0,1,0.14,0,1,0,0,0,0,Matches
László Bénes,sk SVK,MF,M'Gladbach,22,1997,1.7,7,4.20,1,4,0,0,2,0,2,1.20,0,1,0,0,1,0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,24,1.19,19,0,2,1,1,1,4,0.20,1,0,1,1,1,0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,5,0.82,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jordan Beyer,de GER,DF,M'Gladbach,20,2000,2.1,3,1.44,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,3.0,11,3.67,8,0,0,2,0,1,3,1.00,2,0,0,0,0,1,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,1.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,26,1993,16.8,51,3.03,28,11,4,2,3,3,4,0.24,1,1,0,0,1,1,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,31,1988,26.3,20,0.76,20,0,0,0,0,0,3,0.11,3,0,0,0,0,0,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26,1994,22.9,73,3.18,60,2,3,3,4,1,8,0.35,7,0,0,1,0,0,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,3.1,7,2.27,6,0,0,0,1,0,1,0.32,1,0,0,0,0,0,Matches
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,0.1,1,8.18,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,23.1,8,0.35,6,0,0,2,0,0,1,0.04,1,0,0,0,0,0,Matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,6.7,17,2.53,10,0,1,3,3,0,0,0.00,0,0,0,0,0,0,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,10,0.58,9,0,0,1,0,0,2,0.12,2,0,0,0,0,0,Matches
Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,7.2,10,1.38,7,1,1,1,0,0,2,0.28,1,0,1,0,0,0,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24,1996,16.6,76,4.57,66,3,3,1,3,0,12,0.72,9,0,2,0,1,0,Matches
Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,82,4.07,57,11,8,5,1,0,11,0.55,7,0,1,2,1,0,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Wolfsburg,27,1993,30.8,26,0.84,22,0,1,1,0,2,1,0.03,1,0,0,0,0,0,Matches
Daniel Brosinski,de GER,"DF,FW",Mainz 05,32,1988,15.9,44,2.77,29,14,1,0,0,0,3,0.19,1,2,0,0,0,0,Matches
Cédric Brunner,ch SUI,DF,Arminia,26,1994,29.5,40,1.36,27,8,2,0,1,2,1,0.03,1,0,0,0,0,0,Matches
Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,1.0,3,3.03,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27,1993,10.9,24,2.21,20,0,1,1,2,0,3,0.28,3,0,0,0,0,0,Matches
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,15.3,35,2.29,25,0,0,3,7,0,6,0.39,3,0,0,0,3,0,Matches
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,0.2,1,6.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Roman Bürki,ch SUI,GK,Dortmund,29,1990,18.5,1,0.05,1,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Daniel Caligiuri,it ITA,"MF,FW",Augsburg,32,1988,29.6,95,3.21,44,30,10,2,8,1,8,0.27,5,2,1,0,0,0,Matches
Emre Can,de GER,"DF,MF",Dortmund,26,1994,23.7,41,1.73,34,2,3,0,0,2,8,0.34,8,0,0,0,0,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32.0,2,0.06,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Gonzalo Castro,de GER,MF,Stuttgart,33,1987,19.2,79,4.11,49,21,3,5,0,1,6,0.31,3,2,1,0,0,0,Matches
Sava Cestic,rs SRB,DF,Köln,19,2001,10.0,5,0.50,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,6,1.25,5,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26,1994,2.4,6,2.49,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Tahith Chong,nl NED,"MF,FW",Werder Bremen,20,1999,4.3,12,2.79,10,0,1,0,0,1,1,0.23,1,0,0,0,0,0,Matches
Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,2.4,7,2.89,6,1,0,0,0,0,2,0.83,2,0,0,0,0,0,Matches
Tim Civeja,al ALB,MF,Augsburg,18,2002,0.4,1,2.65,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24,1996,19.5,103,5.29,77,0,15,6,4,1,16,0.82,11,0,3,1,1,0,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,17.1,50,2.93,33,0,1,6,10,0,3,0.18,1,0,0,1,1,0,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,12.1,28,2.32,18,0,5,1,2,2,2,0.17,2,0,0,0,0,0,Matches
Danny da Costa,de GER,"DF,FW",Mainz 05,27,1993,13.4,28,2.09,20,3,3,0,1,1,4,0.30,3,0,1,0,0,0,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,4,3.27,3,0,1,0,0,0,1,0.82,1,0,0,0,0,0,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,29,1990,3.6,17,4.78,9,7,1,0,0,0,2,0.56,1,0,1,0,0,0,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19,2001,16.7,38,2.27,27,0,6,2,2,1,3,0.18,3,0,0,0,0,0,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,23.9,110,4.61,48,27,16,7,8,4,9,0.38,5,1,0,2,1,0,Matches
Rafael Czichos,de GER,DF,Köln,30,1990,25.1,25,1.00,22,2,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,28,1992,11.1,26,2.34,20,0,2,1,3,0,4,0.36,4,0,0,0,0,0,Matches
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3.0,1,0.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,24,1996,14.0,35,2.50,27,0,3,3,1,1,6,0.43,5,0,0,0,0,1,Matches
Leon Dajaku,de GER,FW,Union Berlin,19,2001,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Tiago Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,2,2.61,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Márton Dárdai,de GER,"DF,MF",Hertha BSC,18,2002,9.1,9,0.99,6,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,66,3.12,46,11,3,0,6,0,9,0.43,9,0,0,0,0,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,63,3.22,53,0,6,0,3,1,7,0.36,5,0,1,0,0,1,Matches
Thomas Delaney,dk DEN,MF,Dortmund,28,1991,14.3,17,1.19,13,0,0,1,1,2,0,0.00,0,0,0,0,0,0,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27,1993,19.4,81,4.17,50,20,3,5,3,0,7,0.36,3,2,1,1,0,0,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22,1998,16.6,34,2.04,20,0,4,4,6,0,9,0.54,5,0,1,2,1,0,Matches
Emmanuel Dennis,ng NGA,FW,Köln,22,1997,5.3,7,1.33,5,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Mike van der Hoorn,nl NED,DF,Arminia,27,1992,15.1,5,0.33,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21,1999,26.5,82,3.09,59,0,14,6,2,1,19,0.72,11,0,5,2,1,0,Matches
Daniel Didavi,de GER,"MF,FW",Stuttgart,30,1990,10.8,40,3.72,31,4,1,2,2,0,5,0.46,3,1,0,1,0,0,Matches
Javairô Dilrosun,nl NED,"FW,MF",Hertha BSC,22,1998,5.9,12,2.04,6,1,4,0,0,1,1,0.17,1,0,0,0,0,0,Matches
Eren Dinkçi,de GER,"MF,FW",Werder Bremen,18,2001,1.2,3,2.48,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jonas Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22,1998,30.8,99,3.22,42,23,20,7,6,1,7,0.23,4,0,2,1,0,0,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29,1991,0.7,2,2.86,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,20,2.20,18,0,0,2,0,0,3,0.33,3,0,0,0,0,0,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29,1991,12.6,20,1.59,16,2,1,1,0,0,1,0.08,1,0,0,0,0,0,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30,1990,13.7,34,2.48,31,0,1,1,1,0,1,0.07,0,0,0,1,0,0,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,25,1994,28.2,94,3.33,49,24,9,7,5,0,8,0.28,5,2,0,0,1,0,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,29,1.76,20,1,2,6,0,0,6,0.37,2,0,1,3,0,0,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22,1998,0.4,2,5.45,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,79,2.42,66,1,0,3,5,4,8,0.24,8,0,0,0,0,0,Matches
Lilian Egloff,de GER,MF,Stuttgart,17,2002,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25,1995,12.6,20,1.59,14,1,2,1,2,0,3,0.24,1,0,1,1,0,0,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,12,0.43,9,0,0,2,0,1,3,0.11,2,0,0,1,0,0,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23,1997,16.0,54,3.38,33,0,4,10,6,1,10,0.63,4,0,0,3,3,0,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,22,1997,5.1,16,3.16,8,0,1,1,4,2,0,0.00,0,0,0,0,0,0,Matches
Wataru Endo,jp JPN,MF,Stuttgart,27,1993,32.8,74,2.25,62,1,0,2,4,5,6,0.18,5,0,0,0,1,0,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,25,1995,0.3,1,3.33,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,31,1988,20.8,6,0.29,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,22,1997,29.0,16,0.55,13,1,0,1,0,1,2,0.07,2,0,0,0,0,0,Matches
Edimilson Fernandes,ch SUI,"MF,FW",Mainz 05,24,1996,9.3,20,2.14,14,5,0,1,0,0,1,0.11,0,1,0,0,0,0,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,20,3.30,15,0,2,2,1,0,2,0.33,2,0,0,0,0,0,Matches
Mark Flekken,nl NED,GK,Freiburg,27,1993,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Florian Flick,de GER,MF,Schalke 04,20,2000,4.0,1,0.25,1,0,0,0,0,0,1,0.25,1,0,0,0,0,0,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,28,1991,17.1,80,4.68,55,9,8,4,4,0,10,0.59,7,1,1,0,1,0,Matches
Philipp Förster,de GER,MF,Stuttgart,25,1995,16.8,57,3.40,43,6,4,1,2,1,4,0.24,4,0,0,0,0,0,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,7,1.54,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Raphael Framberger,de GER,DF,Augsburg,24,1995,17.1,27,1.58,20,5,1,0,0,1,1,0.06,1,0,0,0,0,0,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,30,0.97,25,3,1,0,1,0,4,0.13,3,1,0,0,0,0,Matches
Marvin Friedrich,de GER,DF,Union Berlin,24,1995,34.0,33,0.97,25,0,1,4,0,3,5,0.15,4,0,0,1,0,0,Matches
Jeremie Frimpong,nl NED,"DF,FW",Leverkusen,19,2000,4.8,12,2.47,11,0,1,0,0,0,4,0.82,3,0,1,0,0,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,27,1993,9.7,19,1.95,13,0,1,1,4,0,2,0.20,1,0,0,0,1,0,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,25,1995,9.1,26,2.85,16,5,1,2,1,1,3,0.33,1,1,0,1,0,0,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,26,1993,7.6,16,2.09,14,0,0,2,0,0,1,0.13,1,0,0,0,0,0,Matches
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,45,1.34,35,4,0,2,4,0,4,0.12,2,1,0,1,0,0,Matches
Emrehan Gedikli,de GER,FW,Leverkusen,17,2003,0.3,1,3.60,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Dennis Geiger,de GER,MF,Hoffenheim,22,1998,7.3,23,3.15,14,8,0,1,0,0,1,0.14,0,1,0,0,0,0,Matches
Christian Gentner,de GER,MF,Union Berlin,34,1985,11.5,20,1.74,18,1,0,0,1,0,1,0.09,1,0,0,0,0,0,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,26,1994,21.5,45,2.09,33,5,1,4,2,0,6,0.28,5,0,0,1,0,0,Matches
Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,29,1990,0.5,1,1.96,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Niko Gießelmann,de GER,DF,Union Berlin,28,1991,4.8,9,1.88,6,1,0,0,2,0,0,0.00,0,0,0,0,0,0,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,32,1987,34.0,8,0.24,6,2,0,0,0,0,1,0.03,0,1,0,0,0,0,Matches
Daniel Ginczek,de GER,"FW,MF",Wolfsburg,29,1991,2.4,4,1.67,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Matthias Ginter,de GER,DF,M'Gladbach,26,1994,34.0,30,0.88,28,0,1,0,1,0,5,0.15,5,0,0,0,0,0,Matches
Robert Glatzel,de GER,FW,Mainz 05,26,1994,4.0,11,2.76,7,0,1,2,1,0,3,0.75,2,0,0,1,0,0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,25,1995,18.3,92,5.04,73,7,5,4,1,2,14,0.77,12,1,0,0,1,0,Matches
Akaki Gogia,de GER,"FW,MF",Union Berlin,28,1992,1.6,4,2.55,3,0,0,0,1,0,3,1.91,2,0,0,0,1,0,Matches
Nicolás González,ar ARG,"FW,MF",Stuttgart,22,1998,10.4,34,3.28,19,0,5,4,5,1,7,0.67,3,0,2,1,1,0,Matches
Leon Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,53,2.80,39,0,3,8,2,1,14,0.74,10,0,2,2,0,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,30,0.95,24,1,0,1,1,3,1,0.03,1,0,0,0,0,0,Matches
Demarai Gray,jm JAM,FW,Leverkusen,24,1996,4.9,17,3.48,10,4,1,2,0,0,2,0.41,2,0,0,0,0,0,Matches
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,26,1994,9.3,13,1.40,8,1,2,0,2,0,4,0.43,3,0,0,0,1,0,Matches
Sebastian Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,6,0.61,3,0,1,0,2,0,1,0.10,0,0,0,0,1,0,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27,1993,25.7,127,4.94,76,34,4,8,5,0,17,0.66,11,3,1,1,1,0,Matches
Lennart Grill,de GER,GK,Leverkusen,21,1999,4.0,1,0.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,24,1995,20.9,56,2.68,47,1,2,2,2,2,7,0.34,5,0,1,0,1,0,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,31,1989,16.3,17,1.04,15,0,1,1,0,0,1,0.06,1,0,0,0,0,0,Matches
Ilia Gruev,bg BUL,FW,Werder Bremen,20,2000,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Carlos Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,26,1.12,20,0,4,0,1,1,1,0.04,1,0,0,0,0,0,Matches
Mattéo Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,44,2.18,32,3,2,2,5,0,4,0.20,1,0,1,0,2,0,Matches
Raphaël Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,97,3.94,83,7,3,1,3,0,15,0.61,13,1,0,1,0,0,Matches
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,29,1990,8.3,14,1.69,13,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30,1990,33.0,3,0.09,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Gulde,de GER,DF,Freiburg,29,1991,21.7,11,0.51,9,0,0,1,0,1,1,0.05,1,0,0,0,0,0,Matches
Robert Gumny,pl POL,DF,Augsburg,22,1998,15.3,19,1.24,14,2,2,0,1,0,1,0.07,1,0,0,0,0,0,Matches
Christian Günter,de GER,"DF,MF",Freiburg,27,1993,34.0,108,3.18,78,22,2,2,3,1,10,0.29,9,1,0,0,0,0,Matches
Erling Haaland,no NOR,FW,Dortmund,20,2000,26.7,68,2.54,42,0,14,10,2,0,18,0.67,10,0,6,2,0,0,Matches
