age,games,minutes,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,shots,shots_on_target,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,npxg_per_shot,xg_net,npxg_net,passes_completed,passes,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,sca,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_tackled,carries,carries_distance,carries_progressive_distance,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,season,ID,Points,Position,xG,xA,key_passes,npxG,xGChain,xGBuildup
21,25,1256,3,2,5,3,0,0,3,0,2.1,6.4,51.0,56.0,105.0,37,19,0.08,0.16,15.1,0.0,0.12,-1.3,-1.3,376.0,516.0,5007.0,1529.0,219.0,272.0,80.5,125.0,166.0,75.3,9.0,18.0,50.0,1.5,-0.1,14.0,27.0,19.0,4.0,49.0,39.0,1.0,3.0,4.0,2.0,0.0,6.0,5.0,0.0,0.0,1.0,0.0,0.0,27.0,14,10.0,14.0,3.0,8.0,15.0,7.0,26.0,2.0,24.0,11,38.0,12.0,0.0,729.0,9.0,116.0,347.0,282.0,57.0,729.0,37.0,21.0,16.0,456.0,2836.0,1731.0,29.0,15.0,47.0,18.0,531.0,2021,3132,1465.0,4,4.803211346268654,2.1795675978064537,13,4.803211346268654,9.832424845546484,3.790403539314866
22,26,1435,5,3,8,5,0,0,2,2,1.7,6.7,46.0,49.0,137.0,37,17,0.14,0.29,14.0,1.0,0.14,0.0,0.0,427.0,565.0,5845.0,1373.0,240.0,296.0,81.1,138.0,166.0,83.1,18.0,34.0,52.9,1.9,1.3,20.0,26.0,10.0,0.0,56.0,36.0,3.0,4.0,4.0,8.0,1.0,11.0,6.0,0.0,3.0,0.0,2.0,0.0,18.0,10,4.0,6.0,8.0,5.0,17.0,12.0,28.0,2.0,26.0,6,24.0,7.0,0.0,786.0,9.0,74.0,394.0,327.0,67.0,786.0,58.0,26.0,22.0,467.0,2610.0,1368.0,29.0,15.0,52.0,18.0,598.0,2022,3132,1589.0,4,5.577013881877065,1.564659825526178,20,5.577013881877065,9.384396608918903,4.138404821977019
22,30,2682,1,1,2,1,0,0,6,0,0.5,1.7,21.0,86.0,6.0,14,5,0.07,0.2,15.2,0.0,0.09,-0.2,-0.2,1269.0,1540.0,27784.0,8492.0,312.0,355.0,87.9,733.0,807.0,90.8,217.0,349.0,62.2,0.9,0.5,6.0,62.0,12.0,1.0,19.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,58.0,32,39.0,17.0,2.0,20.0,33.0,13.0,48.0,35.0,13.0,66,124.0,160.0,3.0,1901.0,269.0,1156.0,695.0,57.0,20.0,1901.0,11.0,8.0,3.0,1077.0,5068.0,2911.0,4.0,0.0,11.0,2.0,1153.0,2020,2294,2708.0,2,1.4735314487479627,0.4160664975643158,7,1.4735314487479627,3.4635661151260138,3.408298898488283
23,27,2379,0,0,0,0,0,0,2,0,0.3,1.1,7.0,63.0,3.0,14,2,0.0,0.0,16.0,0.0,0.06,-0.8,-0.8,902.0,1158.0,18378.0,6508.0,244.0,301.0,81.1,543.0,616.0,88.1,108.0,221.0,48.9,0.6,-0.3,5.0,53.0,4.0,2.0,13.0,9.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,29,38.0,19.0,1.0,32.0,51.0,19.0,37.0,23.0,14.0,50,108.0,132.0,1.0,1469.0,207.0,895.0,545.0,41.0,19.0,1469.0,6.0,5.0,1.0,673.0,3219.0,1686.0,2.0,1.0,8.0,1.0,770.0,2021,2294,2049.0,2,0.7364614009857178,0.2594447992742061,5,0.7364614009857178,2.0512767676264048,1.805378468707204
24,29,1957,2,1,3,2,0,0,9,0,0.3,1.1,14.0,84.0,4.0,11,4,0.18,0.5,13.0,0.0,0.07,1.3,1.3,943.0,1206.0,18821.0,6486.0,295.0,351.0,84.0,513.0,589.0,87.1,127.0,224.0,56.7,0.9,0.7,5.0,64.0,12.0,5.0,19.0,17.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,46.0,28,25.0,19.0,2.0,24.0,40.0,16.0,23.0,11.0,12.0,30,76.0,94.0,1.0,1448.0,125.0,627.0,742.0,83.0,22.0,1448.0,3.0,1.0,0.0,751.0,3815.0,1935.0,12.0,0.0,9.0,8.0,893.0,2022,2294,1681.0,2,0.6505707995966077,0.2639712952077389,5,0.6505707995966077,3.88301533460617,3.660694560036063
25,17,1497,1,3,4,1,0,0,5,0,1.2,1.6,6.0,43.0,10.0,7,2,0.14,0.5,13.5,0.0,0.06,0.6,0.6,536.0,754.0,10059.0,4036.0,218.0,260.0,83.8,251.0,319.0,78.7,62.0,149.0,41.6,0.5,1.8,5.0,45.0,4.0,0.0,8.0,6.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,35.0,23,24.0,7.0,4.0,22.0,39.0,17.0,16.0,8.0,8.0,33,68.0,77.0,2.0,949.0,111.0,512.0,382.0,65.0,16.0,949.0,5.0,4.0,1.0,487.0,2295.0,1118.0,11.0,0.0,12.0,6.0,489.0,2022,4576,1527.0,2,0.3898823698982596,1.140797710046172,5,0.3898823698982596,2.177363358438015,1.986186634749174
28,19,1422,12,2,14,10,2,2,3,0,4.0,12.0,54.0,59.0,115.0,41,21,0.24,0.48,14.8,3.0,0.21,2.4,2.0,440.0,549.0,6721.0,1508.0,215.0,250.0,86.0,161.0,196.0,82.1,29.0,46.0,63.0,2.7,-2.0,28.0,31.0,22.0,3.0,59.0,35.0,3.0,7.0,7.0,7.0,0.0,10.0,6.0,0.0,2.0,2.0,0.0,0.0,2.0,1,1.0,0.0,1.0,1.0,7.0,6.0,6.0,0.0,6.0,3,5.0,4.0,0.0,682.0,12.0,71.0,347.0,272.0,66.0,680.0,35.0,23.0,12.0,444.0,2907.0,1441.0,32.0,18.0,32.0,25.0,539.0,2019,1815,2473.0,4,9.89877256564796,4.02412474853918,28,8.383216438814998,11.398426994681358,2.765834864228964
29,28,2379,20,5,25,15,5,5,2,0,4.2,15.1,88.0,106.0,235.0,91,39,0.16,0.38,18.4,7.0,0.12,5.2,4.2,780.0,1019.0,12495.0,2621.0,403.0,458.0,88.0,269.0,338.0,79.6,73.0,128.0,57.0,4.9,0.8,40.0,63.0,33.0,13.0,96.0,64.0,10.0,8.0,6.0,7.0,1.0,13.0,7.0,3.0,1.0,0.0,2.0,0.0,7.0,4,4.0,0.0,3.0,3.0,8.0,5.0,8.0,1.0,7.0,7,14.0,5.0,1.0,1267.0,11.0,94.0,551.0,632.0,133.0,1262.0,50.0,25.0,25.0,839.0,4968.0,2311.0,51.0,31.0,57.0,38.0,997.0,2020,1815,4147.0,4,15.52560031786561,4.0724228313192725,38,11.736730325967072,18.05768814869225,5.372286731377244
30,32,2707,6,9,15,6,0,0,2,0,8.0,20.6,96.0,134.0,229.0,93,35,0.06,0.17,15.8,6.0,0.14,-6.6,-6.6,829.0,1064.0,12200.0,2869.0,474.0,554.0,85.6,272.0,342.0,79.5,49.0,82.0,59.8,7.4,1.0,41.0,66.0,42.0,10.0,98.0,74.0,5.0,5.0,8.0,6.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,8.0,4,1.0,5.0,2.0,7.0,17.0,10.0,10.0,0.0,10.0,9,17.0,7.0,1.0,1338.0,10.0,106.0,544.0,703.0,158.0,1338.0,56.0,30.0,26.0,857.0,4822.0,2422.0,58.0,34.0,64.0,37.0,1013.0,2021,1815,3232.0,4,12.476518963463604,7.466075788252056,41,12.476518963463604,25.301694069057703,9.698374869301915
31,32,2386,12,4,16,8,4,6,3,0,2.2,10.7,49.0,100.0,191.0,57,21,0.14,0.38,18.0,4.0,0.15,-1.2,-0.5,790.0,998.0,11993.0,2558.0,449.0,512.0,87.7,234.0,295.0,79.3,65.0,95.0,68.4,2.8,1.8,34.0,83.0,23.0,3.0,89.0,71.0,3.0,3.0,7.0,5.0,0.0,12.0,9.0,0.0,0.0,2.0,1.0,0.0,5.0,2,2.0,1.0,2.0,1.0,11.0,10.0,14.0,2.0,12.0,6,11.0,13.0,0.0,1244.0,15.0,127.0,637.0,493.0,106.0,1238.0,58.0,28.0,22.0,825.0,4203.0,1674.0,34.0,16.0,61.0,33.0,945.0,2022,1815,2648.0,4,12.65513789653778,1.6903651049360633,31,8.108478620648384,16.094462648034096,8.000660603865981
22,8,239,1,1,2,1,0,0,2,0,0.1,0.7,4.0,13.0,8.0,7,3,0.14,0.33,19.1,0.0,0.09,0.4,0.4,66.0,88.0,1073.0,281.0,32.0,40.0,80.0,27.0,29.0,93.1,4.0,8.0,50.0,0.1,0.9,4.0,10.0,2.0,0.0,6.0,4.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1,3.0,1.0,0.0,0.0,5.0,5.0,7.0,1.0,6.0,2,6.0,4.0,0.0,125.0,3.0,25.0,65.0,37.0,5.0,125.0,5.0,4.0,1.0,65.0,328.0,150.0,3.0,0.0,5.0,1.0,76.0,2021,3187,331.0,3,0.7005224116146564,0.1706806980073452,4,0.7005224116146564,1.8386879824101925,1.068553376942873
