player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Noah Atubolu,de GER,GK,Freiburg,21-216,2002,16.0,26,2,0,2,1,21.6,0.34,-3.4,-0.21,81,254,31.9,521,79,32.1,33.3,118,73.7,55.1,196,9,4.6,10,0.63,13.0,Matches
Daniel Batz,de GER,GK,Mainz 05,32-349,1991,4.0,3,0,1,0,0,2.4,0.15,-0.6,-0.15,18,58,31.0,132,14,38.6,34.7,21,33.3,34.8,38,4,10.5,2,0.50,11.3,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-208,1990,16.0,30,1,1,3,1,31.9,0.30,+2.9,+0.18,90,248,36.3,516,74,34.1,33.8,124,58.1,46.7,265,16,6.0,36,2.25,16.8,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-239,1991,16.0,17,2,0,4,0,15.3,0.26,-1.7,-0.10,42,126,33.3,641,72,15.3,26.1,101,27.7,31.8,180,13,7.2,28,1.75,17.6,Matches
Alexander Brunst,de GER,GK,Darmstadt 98,28-173,1995,1.0,1,0,0,1,0,0.7,0.25,-0.3,-0.25,12,36,33.3,38,2,71.1,47.6,9,100.0,66.8,24,1,4.2,0,0.00,10.3,Matches
Koen Casteels,be BEL,GK,Wolfsburg,31-185,1992,13.0,20,1,0,2,0,21.2,0.31,+1.2,+0.10,84,186,45.2,398,59,33.9,33.9,88,58.0,45.7,189,10,5.3,23,1.77,17.4,Matches
Finn Dahmen,de GER,GK,Augsburg,25-275,1998,16.0,31,5,0,6,2,29.1,0.25,+0.1,+0.01,87,238,36.6,640,48,30.0,32.2,93,49.5,42.8,245,17,6.9,26,1.63,14.5,Matches
Jens Grahl,de GER,GK,Eint Frankfurt,35-096,1988,1.0,1,0,0,0,0,1.0,0.26,0.0,+0.02,2,18,11.1,40,9,35.0,35.9,5,80.0,58.0,21,2,9.5,0,0.00,11.0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,34-033,1989,16.0,12,0,0,3,0,16.8,0.29,+4.8,+0.30,38,97,39.2,383,84,20.1,28.0,61,32.8,34.9,163,15,9.2,22,1.38,17.6,Matches
Gregor Kobel,ch SUI,GK,Dortmund,26-021,1997,15.3,24,5,0,4,1,25.7,0.26,+2.7,+0.17,81,180,45.0,532,69,24.2,29.4,114,44.7,39.5,210,4,1.9,10,0.65,12.7,Matches
