player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-066,2000,3.6,8,6,3,4,1,5,7,71.4,2,9,0,9,0,8,1,0,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-123,2003,1.1,2,2,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-204,2001,1.1,5,1,1,2,2,1,2,50.0,1,1,0,1,0,5,1,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-218,1993,1.6,3,2,0,2,1,1,2,50.0,1,2,0,2,0,3,2,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-343,2002,4.1,7,7,3,2,2,3,10,30.0,7,6,0,6,2,9,1,0,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-231,2000,2.9,6,1,1,2,3,4,6,66.7,2,5,1,4,3,9,1,0,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-091,1999,2.2,2,2,1,0,1,1,2,50.0,1,1,0,1,2,4,6,0,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-305,1994,9.8,2,2,1,1,0,1,6,16.7,5,5,1,4,0,2,4,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-252,1995,6.4,21,10,15,5,1,15,19,78.9,4,14,5,9,10,31,16,0,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-162,2001,3.0,5,1,2,2,1,2,7,28.6,5,7,1,6,3,8,1,1,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-061,1996,0.2,2,0,0,2,0,0,2,0.0,2,0,0,0,0,2,0,0,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-235,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-096,1994,3.7,3,3,0,2,1,1,3,33.3,2,5,2,3,6,9,7,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-160,1996,15.6,19,14,8,10,1,12,21,57.1,9,15,10,5,21,40,72,1,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-323,1994,7.1,12,7,5,5,2,7,15,46.7,8,7,2,5,0,12,5,1,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-214,1994,10.9,20,14,5,10,5,11,20,55.0,9,7,1,6,11,31,23,0,Matches
Arthur,br BRA,DF,Leverkusen,20-285,2003,0.4,2,2,1,0,1,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-047,1994,13.1,10,2,2,4,4,4,13,30.8,9,6,1,5,2,12,8,0,Matches
Noah Atubolu,de GER,GK,Freiburg,21-216,2002,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-193,1997,9.8,20,10,12,4,4,11,22,50.0,11,10,2,8,15,35,10,0,Matches
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-263,1998,10.0,12,7,7,2,3,7,15,46.7,8,14,0,14,11,23,30,1,Matches
Samuel Bamba,de GER,FW,Dortmund,19-317,2004,0.5,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,1,0,Matches
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-220,1998,3.6,9,5,2,6,1,3,6,50.0,3,7,0,7,2,11,1,0,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-358,2000,13.9,29,21,8,17,4,10,22,45.5,12,25,10,15,25,54,21,0,Matches
Daniel Batz,de GER,GK,Mainz 05,32-349,1991,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-321,2000,5.5,9,5,5,4,0,3,9,33.3,6,8,7,1,8,17,24,1,Matches
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-062,2005,0.2,1,0,0,0,1,0,0,,0,1,1,0,0,1,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-208,1990,16.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-148,1999,6.9,16,9,6,7,3,10,17,58.8,7,10,0,10,3,19,5,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-248,1994,8.0,11,6,5,4,2,5,11,45.5,6,7,0,7,7,18,8,0,Matches
Adrian Beck,de GER,MF,Heidenheim,26-201,1997,6.3,10,5,2,7,1,6,13,46.2,7,5,0,5,3,13,9,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-321,1995,7.2,3,3,0,2,1,0,2,0.0,2,2,0,2,0,3,2,0,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-327,1991,12.1,12,10,3,6,3,1,4,25.0,3,6,2,4,4,16,15,0,Matches
Maximilian Beier,de GER,FW,Hoffenheim,21-071,2002,10.5,5,2,1,2,2,2,6,33.3,4,7,0,7,0,5,6,0,Matches
Stefan Bell,de GER,DF,Mainz 05,32-125,1991,7.4,8,8,7,1,0,4,8,50.0,4,7,5,2,6,14,30,0,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-255,1995,11.1,32,20,19,11,2,22,32,68.8,10,22,7,15,16,48,36,0,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-230,1998,1.6,0,0,0,0,0,0,0,,0,2,1,1,0,0,0,0,Matches
Mergim Berisha,de GER,FW,Augsburg,25-230,1998,1.4,0,0,0,0,0,0,0,,0,1,0,1,0,0,3,0,Matches
Bernardo,br BRA,DF,Bochum,28-227,1995,16.0,49,32,33,13,3,21,33,63.6,12,36,14,22,27,76,56,1,Matches
Matúš Bero,sk SVK,"MF,FW",Bochum,28-112,1995,6.4,12,8,6,4,2,6,12,50.0,6,9,0,9,3,15,5,0,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-357,1999,13.0,25,14,9,6,10,8,21,38.1,13,23,0,23,8,33,11,0,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-182,2005,1.6,7,4,5,1,1,1,8,12.5,7,1,0,1,1,8,2,0,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-008,1993,8.4,21,12,13,7,1,6,21,28.6,15,11,0,11,7,28,4,0,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-239,1991,16.0,1,1,1,0,0,0,0,,0,0,0,0,0,1,4,3,Matches
Victor Boniface,ng NGA,FW,Leverkusen,23-004,2000,14.2,6,4,0,1,5,1,4,25.0,3,5,0,5,0,6,10,0,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-240,1987,5.1,6,5,2,4,0,4,4,100.0,0,5,3,2,7,13,16,0,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-217,2004,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
