player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,12,15,80.0,178,44,7,9,77.8,5,5,100.0,0,1,0.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,558,678,82.3,10633,3990,214,239,89.5,280,325,86.2,60,95,63.2,0,0.4,0.5,-0.4,2,50,3,1,55,Matches
Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,18,23,78.3,258,20,11,14,78.6,4,5,80.0,2,2,100.0,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,19,32,59.4,222,43,12,17,70.6,5,6,83.3,0,0,,0,0.0,0.0,0.0,0,2,0,0,3,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,1173,1375,85.3,17415,5037,670,730,91.8,394,456,86.4,65,108,60.2,1,0.9,1.5,+0.1,14,97,24,3,113,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,103,156,66.0,1445,379,61,80,76.3,29,41,70.7,7,11,63.6,3,2.3,0.9,+0.7,11,5,7,2,17,Matches
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,210,299,70.2,3068,1068,125,150,83.3,66,101,65.3,11,24,45.8,0,0.5,0.4,-0.5,3,10,3,2,9,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,110,125,88.0,1600,377,61,68,89.7,36,37,97.3,5,7,71.4,0,0.0,0.1,0.0,1,12,0,0,11,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,1961,2137,91.8,37492,12871,698,744,93.8,1018,1067,95.4,216,273,79.1,0,0.3,0.8,-0.3,3,151,6,0,159,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,600,735,81.6,11026,4298,216,246,87.8,329,357,92.2,49,112,43.8,0,0.4,0.5,-0.4,2,33,4,1,56,Matches
David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,1929,2290,84.2,35563,12318,736,817,90.1,1003,1125,89.2,172,283,60.8,4,2.1,3.1,+1.9,28,212,35,4,242,Matches
