player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,16,0,5,4,7,1,16,1,1,100.0,0,0.0,11,50,37,1,1,0,0,0,8,1,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,792,50,293,425,83,8,792,5,4,80.0,1,20.0,367,1776,1030,12,8,1,7,1,441,21,Matches
Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,30,3,12,14,4,0,30,0,0,,0,,18,102,47,1,2,1,1,1,16,1,Matches
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,53,1,2,27,25,10,53,0,0,,0,,17,109,34,3,4,1,7,2,36,12,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,1591,47,327,964,313,19,1591,26,15,57.7,11,42.3,901,4292,1941,27,31,3,37,14,1056,70,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,226,2,20,63,146,38,226,7,3,42.9,4,57.1,151,1099,514,20,16,3,14,6,176,58,Matches
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,409,21,152,180,80,7,409,11,5,45.5,6,54.5,160,841,345,7,4,1,21,7,191,33,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,154,4,32,104,22,2,154,12,11,91.7,1,8.3,108,760,344,8,2,2,6,5,117,3,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,2358,189,943,1331,96,29,2358,10,9,90.0,1,10.0,1543,8495,5042,26,15,2,9,9,1804,7,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,863,77,370,453,45,5,863,10,6,60.0,4,40.0,517,2441,1247,10,4,1,10,1,579,14,Matches
David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,2539,146,836,1396,329,24,2539,19,16,84.2,3,15.8,1654,9691,5512,56,38,2,20,12,1856,70,Matches
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,462,14,40,194,233,74,460,21,16,76.2,5,23.8,226,921,284,7,5,4,46,16,361,75,Matches
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,1058,107,586,459,21,10,1058,18,15,83.3,3,16.7,653,3162,1834,8,6,0,6,3,718,3,Matches
