player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,1.7,1,6,3,50.0,3.44,1.72,0.17,0.33,16.0,0,0,0,1.1,1.1,0.19,-0.1,-0.1,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,18.8,2,7,4,57.1,0.37,0.21,0.29,0.50,8.1,0,0,0,1.6,1.6,0.22,+0.4,+0.4,Matches
Amir Abrashi,al ALB,MF,Freiburg,29,1990,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,20.1,0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,10.6,0,7,1,14.3,0.66,0.09,0.00,0.00,18.5,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,8.3,5,21,11,52.4,2.53,1.33,0.24,0.45,12.1,0,0,0,5.9,5.9,0.28,-0.9,-0.9,Matches
Manuel Akanji,ch SUI,DF,Dortmund,24,1995,25.7,0,8,2,25.0,0.31,0.08,0.00,0.00,21.2,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,12.7,0,2,0,0.0,0.16,0.00,0.00,,19.5,0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
David Alaba,at AUT,DF,Bayern Munich,27,1992,27.8,1,19,7,36.8,0.68,0.25,0.05,0.14,25.7,6,0,0,1.0,1.0,0.05,0.0,0.0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,26,1992,13.0,7,49,18,36.7,3.76,1.38,0.12,0.33,12.7,0,1,1,7.3,6.5,0.13,-0.3,-0.5,Matches
Paco Alcácer,es ESP,FW,Dortmund,25,1993,5.9,5,16,7,43.8,2.72,1.19,0.31,0.71,13.1,0,0,0,3.9,3.9,0.25,+1.1,+1.1,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,19.7,3,18,8,44.4,0.91,0.41,0.17,0.38,17.7,0,0,0,2.4,2.4,0.14,+0.6,+0.6,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,20.6,1,42,18,42.9,2.04,0.87,0.02,0.06,23.3,1,0,0,2.2,2.2,0.05,-1.2,-1.2,Matches
Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,0.9,0,1,0,0.0,1.11,0.00,0.00,,8.6,0,0,0,0.1,0.1,0.10,-0.1,-0.1,Matches
Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,5.6,0,16,5,31.3,2.88,0.90,0.00,0.00,20.6,0,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,29.8,12,63,35,55.6,2.11,1.17,0.17,0.31,12.3,0,1,2,11.9,10.3,0.16,+0.1,+0.7,Matches
