player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,11,7,4,5,2,2,10,20.0,8,12,1,11,4,15,8,0,Matches
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,2,0,0,1,1,1,4,25.0,3,3,0,3,0,2,1,0,Matches
Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,23,7,5,16,2,7,25,28.0,18,24,1,23,16,39,19,2,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,14.0,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,Matches
Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,33,23,20,11,2,22,32,68.8,10,26,15,11,35,68,58,0,Matches
Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,33,19,16,11,6,16,28,57.1,12,32,2,30,20,53,29,2,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,6,5,0,2,4,2,5,40.0,3,5,0,5,1,7,6,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,8,4,3,2,3,4,8,50.0,4,4,2,2,5,13,0,0,Matches
Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,11,7,0,3,8,3,9,33.3,6,8,0,8,3,14,14,0,Matches
Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,27,16,18,8,1,17,35,48.6,18,16,7,9,19,46,44,0,Matches
Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,12,10,7,4,1,7,9,77.8,2,6,2,4,6,18,8,0,Matches
Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,33,17,18,14,1,14,28,50.0,14,19,7,12,31,64,46,0,Matches
Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,28,21,14,13,1,14,30,46.7,16,24,3,21,29,57,40,0,Matches
