player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,23,1994,28.1,45,34,22,20,3,22,32,68.8,10,25,3,22,39,84,53,0,Matches
Yann Aurel Bisseck,de GER,"DF,MF",Köln,16,2000,1.7,2,2,2,0,0,1,1,100.0,0,1,1,0,3,5,8,0,Matches
Holger Badstuber,de GER,"DF,MF",Stuttgart,28,1989,24.1,44,32,29,14,1,22,39,56.4,17,27,14,13,41,85,111,4,Matches
Daniel Baier,de GER,MF,Augsburg,33,1984,28.2,83,62,38,40,5,46,83,55.4,37,26,5,21,57,140,41,1,Matches
Leon Bailey,jm JAM,"FW,DF",Leverkusen,19,1997,24.6,16,12,7,4,5,8,13,61.5,5,28,0,28,15,31,6,0,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,22.8,44,25,19,23,2,22,37,59.5,15,38,7,31,20,64,46,1,Matches
Ridle Baku,de GER,MF,Mainz 05,19,1998,2.6,3,3,1,1,1,0,1,0.0,1,3,0,3,3,6,2,0,Matches
Leon Balogun,ng NGA,DF,Mainz 05,29,1988,13.0,39,32,27,11,1,22,31,71.0,9,21,9,12,32,71,64,0,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,20.7,60,45,29,30,1,33,55,60.0,22,35,12,23,47,107,52,0,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,19,1998,3.5,11,11,6,4,1,5,7,71.4,2,8,2,6,2,13,3,0,Matches
Fin Bartels,de GER,FW,Werder Bremen,30,1987,12.5,12,9,4,3,5,4,12,33.3,8,5,1,4,7,19,1,1,Matches
Marc Bartra,es ESP,DF,Dortmund,26,1991,9.0,28,19,16,12,0,15,24,62.5,9,14,2,12,28,56,43,1,Matches
Michy Batshuayi,be BEL,FW,Dortmund,23,1993,9.3,8,6,1,4,3,2,4,50.0,2,4,0,4,0,8,5,0,Matches
Robert Bauer,de GER,"DF,FW",Werder Bremen,22,1995,10.6,31,25,21,9,1,15,25,60.0,10,8,2,6,21,52,25,2,Matches
Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34.0,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,15,6,Matches
Timo Baumgartl,de GER,DF,Stuttgart,21,1996,29.0,87,71,55,29,3,56,75,74.7,19,50,21,29,34,121,132,1,Matches
Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,29,1988,15.5,47,37,21,21,5,14,29,48.3,15,25,2,23,18,65,23,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,20,1996,1.3,0,0,0,0,0,0,0,,0,3,0,3,0,0,3,0,Matches
Riechedly Bazoer,nl NED,MF,Wolfsburg,20,1996,6.6,8,7,5,2,1,2,4,50.0,2,2,1,1,8,16,4,1,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,23,1994,23.8,37,29,15,17,5,14,27,51.9,13,34,3,31,24,61,27,0,Matches
Andreas Beck,de GER,DF,Stuttgart,30,1987,21.4,46,29,27,16,3,21,31,67.7,10,32,2,30,19,65,46,1,Matches
Ishak Belfodil,dz ALG,FW,Werder Bremen,25,1992,15.0,7,6,2,3,2,0,3,0.0,3,10,1,9,1,8,9,0,Matches
Stefan Bell,de GER,DF,Mainz 05,25,1991,24.2,36,25,23,13,0,27,39,69.2,12,35,18,17,46,82,123,2,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,27,1990,12.7,22,17,10,9,3,10,19,52.6,9,26,1,25,13,35,5,0,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,28,1989,17.7,63,52,26,32,5,35,53,66.0,18,34,7,27,28,91,40,0,Matches
Sven Bender,de GER,DF,Leverkusen,28,1989,26.1,51,37,33,18,0,26,34,76.5,8,49,21,28,50,101,123,1,Matches
László Bénes,sk SVK,MF,M'Gladbach,19,1997,0.4,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,2,0,Matches
Marcel Benger,de GER,MF,M'Gladbach,19,1998,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Charlison Benschop,cw CUW,"MF,DF",Hannover 96,27,1989,2.0,4,4,1,3,0,3,8,37.5,5,1,0,1,2,6,2,0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,22,1994,11.2,25,22,7,17,1,8,23,34.8,15,18,6,12,23,48,27,2,Matches
Emil Berggreen,dk DEN,FW,Mainz 05,24,1993,7.4,2,2,0,0,2,1,4,25.0,3,7,1,6,1,3,10,0,Matches
Bernardo,br BRA,DF,RB Leipzig,22,1995,15.0,43,30,18,22,3,29,40,72.5,11,30,6,24,18,61,81,0,Matches
Juan Bernat,es ESP,"DF,FW",Bayern Munich,24,1993,9.9,25,19,13,8,4,11,18,61.1,7,11,1,10,10,35,9,1,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,27,1990,6.1,17,15,8,8,1,8,12,66.7,4,4,2,2,9,26,26,0,Matches
Leonardo Bittencourt,de GER,"MF,FW",Köln,23,1993,17.9,49,42,17,21,11,19,43,44.2,24,26,0,26,17,66,11,1,Matches
Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,29,1988,18.4,39,23,19,11,9,16,33,48.5,17,33,0,33,10,49,34,0,Matches
Danny Blum,de GER,"MF,DF",Eint Frankfurt,26,1991,0.3,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,28,1988,18.2,26,18,18,7,1,19,32,59.4,13,20,12,8,21,47,52,1,Matches
Kevin-Prince Boateng,gh GHA,"MF,FW",Eint Frankfurt,30,1987,26.2,34,22,10,22,2,11,36,30.6,25,29,6,23,23,57,43,1,Matches
Raúl Bobadilla,py PAR,"FW,MF",M'Gladbach,30,1987,5.0,7,6,1,3,3,4,8,50.0,4,6,0,6,0,7,1,0,Matches
Julian Brandt,de GER,"FW,MF",Leverkusen,21,1996,25.8,24,18,11,9,4,11,29,37.9,18,23,1,22,16,40,12,1,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,19,1998,9.7,15,12,6,7,2,6,12,50.0,6,17,0,17,4,19,3,0,Matches
Josip Brekalo,hr CRO,"MF,FW",Stuttgart,19,1998,8.1,20,12,7,8,5,6,8,75.0,2,8,2,6,3,23,1,0,Matches
John Brooks,us USA,DF,Wolfsburg,24,1993,8.1,20,13,15,4,1,16,22,72.7,6,11,5,6,10,30,46,0,Matches
Daniel Brosinski,de GER,"DF,FW",Mainz 05,29,1988,27.8,45,35,21,18,6,22,44,50.0,22,46,11,35,24,69,75,2,Matches
Bruma,pt POR,"MF,FW",RB Leipzig,22,1994,17.9,18,16,7,7,4,9,18,50.0,9,28,2,26,12,30,11,0,Matches
Jeffrey Bruma,nl NED,DF,Wolfsburg,25,1991,11.0,13,11,13,0,0,6,14,42.9,8,17,12,5,14,27,43,2,Matches
Jacob Bruun Larsen,dk DEN,"MF,DF",Stuttgart,18,1998,1.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,2,0,Matches
Jacob Bruun Larsen,dk DEN,DF,Dortmund,18,1998,0.1,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
Onur Bulut,tr TUR,FW,Freiburg,23,1994,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Guido Burgstaller,at AUT,FW,Schalke 04,28,1989,25.8,14,9,0,10,4,4,14,28.6,10,28,3,25,10,24,9,0,Matches
Roman Bürki,ch SUI,GK,Dortmund,26,1990,33.0,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,10,4,Matches
Dženis Burnić,de GER,MF,Stuttgart,19,1998,3.4,9,6,2,5,2,4,10,40.0,6,2,0,2,4,13,3,0,Matches
Jakub Błaszczykowski,pl POL,"FW,MF",Wolfsburg,31,1985,5.8,12,8,8,2,2,6,13,46.2,7,11,3,8,5,17,3,0,Matches
Caiuby,br BRA,FW,Augsburg,29,1988,31.7,53,40,20,27,6,17,42,40.5,25,36,1,35,15,68,42,2,Matches
Luca Caldirola,it ITA,DF,Werder Bremen,26,1991,1.0,1,0,0,1,0,1,1,100.0,0,1,0,1,3,4,3,0,Matches
Daniel Caligiuri,it ITA,"DF,MF",Schalke 04,29,1988,32.4,100,66,48,43,9,49,94,52.1,45,59,4,55,67,167,71,0,Matches
Ignacio Camacho,es ESP,"MF,DF",Wolfsburg,27,1990,10.6,27,21,10,16,1,9,23,39.1,14,14,5,9,41,68,43,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,25,1992,34.0,2,1,2,0,0,2,2,100.0,0,0,0,0,1,3,16,1,Matches
Gonzalo Castro,de GER,MF,Dortmund,30,1987,13.4,26,18,7,18,1,5,22,22.7,17,23,3,20,10,36,13,1,Matches
Marijan Ćavar,ba BIH,MF,Eint Frankfurt,19,1998,0.4,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,0,0,Matches
Timothy Chandler,us USA,"DF,FW",Eint Frankfurt,27,1990,21.0,27,21,11,13,3,11,17,64.7,6,15,0,15,33,60,52,0,Matches
Per Ciljan Skjelbred,no NOR,MF,Hertha BSC,30,1987,24.3,89,66,33,54,2,42,64,65.6,22,31,6,25,45,134,23,0,Matches
Christian Clemens,de GER,"MF,FW",Köln,25,1991,7.2,12,11,6,5,1,4,13,30.8,9,8,0,8,4,16,7,0,Matches
Coke,es ESP,MF,Schalke 04,30,1987,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,21,1996,12.8,11,10,2,6,3,5,10,50.0,5,6,0,6,7,18,1,0,Matches
Marvin Compper,de GER,DF,RB Leipzig,32,1985,1.0,2,2,0,2,0,2,3,66.7,1,2,2,0,0,2,8,0,Matches
Jhon Córdoba,co COL,FW,Köln,24,1993,10.6,13,10,0,11,2,1,5,20.0,4,6,2,4,1,14,9,0,Matches
Sergio Córdova,ve VEN,"FW,MF",Augsburg,19,1997,6.5,5,5,0,2,3,3,4,75.0,1,12,2,10,0,5,6,0,Matches
Danny da Costa,de GER,"DF,FW",Eint Frankfurt,24,1993,13.4,41,34,17,14,10,24,28,85.7,4,21,4,17,13,54,47,0,Matches
Mickaël Cuisance,fr FRA,"MF,FW",M'Gladbach,17,1999,13.4,31,20,16,11,4,19,29,65.5,10,22,4,18,10,41,10,1,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,21,1996,12.7,38,23,11,21,6,13,30,43.3,17,18,2,16,12,50,7,0,Matches
Kevin Danso,at AUT,DF,Augsburg,18,1998,12.3,18,12,13,5,0,12,16,75.0,4,21,14,7,20,38,63,1,Matches
Palkó Dárdai,hu HUN,"FW,MF",Hertha BSC,18,1999,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,26,1990,18.2,38,28,11,18,9,11,26,42.3,15,22,4,18,24,62,23,0,Matches
Thomas Delaney,dk DEN,MF,Werder Bremen,25,1991,31.1,79,61,27,46,6,36,53,67.9,17,37,12,25,43,122,74,4,Matches
Kerem Demirbay,de GER,MF,Hoffenheim,24,1993,13.5,38,30,15,17,6,12,28,42.9,16,21,3,18,14,52,21,0,Matches
Diego Demme,de GER,MF,RB Leipzig,25,1991,25.4,81,57,29,48,4,47,87,54.0,40,31,3,28,48,129,29,0,Matches
Franco Di Santo,ar ARG,"FW,MF",Schalke 04,28,1989,18.4,17,13,3,13,1,7,15,46.7,8,12,1,11,2,19,24,0,Matches
Abdou Diallo,sn SEN,DF,Mainz 05,21,1996,26.8,75,53,45,25,5,38,50,76.0,12,37,14,23,50,125,75,0,Matches
Daniel Didavi,de GER,MF,Wolfsburg,27,1990,24.9,34,19,10,19,5,14,33,42.4,19,20,1,19,7,41,12,0,Matches
Dennis Diekmeier,de GER,DF,Hamburger SV,27,1989,20.8,47,43,31,10,6,25,36,69.4,11,22,11,11,16,63,50,0,Matches
Landry Dimata,be BEL,FW,Wolfsburg,19,1997,10.0,7,6,4,3,0,5,6,83.3,1,6,2,4,2,9,5,0,Matches
Giulio Donati,it ITA,"DF,FW",Mainz 05,27,1990,25.4,56,42,30,21,5,34,50,68.0,16,38,8,30,35,91,66,1,Matches
Ji Dong-won,kr KOR,"FW,MF",Augsburg,26,1991,0.2,2,1,0,1,1,0,0,,0,1,1,0,1,3,0,0,Matches
Anastasios Donis,gr GRE,"MF,FW",Stuttgart,20,1996,10.5,20,14,10,6,4,6,8,75.0,2,2,0,2,9,29,7,0,Matches
Niklas Dorsch,de GER,MF,Bayern Munich,19,1998,1.0,1,1,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,Matches
Mohamed Dräger,tn TUN,"MF,FW",Freiburg,21,1996,0.6,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,26,1991,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,Matches
Josip Drmić,ch SUI,"FW,MF",M'Gladbach,24,1992,5.2,0,0,0,0,0,0,4,0.0,4,1,0,1,0,0,1,1,Matches
Rick van Drongelen,nl NED,DF,Hamburger SV,18,1998,16.0,30,25,23,7,0,21,28,75.0,7,20,11,9,19,49,58,1,Matches
Ondrej Duda,sk SVK,MF,Hertha BSC,22,1994,8.3,16,12,7,6,3,6,14,42.9,8,15,0,15,4,20,8,0,Matches
Mandela Egbo,eng ENG,"DF,MF",M'Gladbach,19,1997,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Johannes Eggestein,de GER,"FW,DF",Werder Bremen,19,1998,1.1,0,0,0,0,0,0,1,0.0,1,2,1,1,1,1,0,0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,20,1996,29.9,70,48,32,34,4,34,58,58.6,24,41,6,35,40,110,51,0,Matches
Albin Ekdal,se SWE,MF,Hamburger SV,28,1989,12.3,39,28,19,19,1,18,29,62.1,11,20,3,17,21,60,19,0,Matches
Josip Elez,hr CRO,DF,Hannover 96,23,1994,8.6,12,8,9,2,1,5,9,55.6,4,9,7,2,16,28,39,1,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,20,1996,32.4,66,46,41,22,3,37,55,67.3,18,39,9,30,51,117,108,3,Matches
Breel Embolo,ch SUI,"FW,MF",Schalke 04,20,1997,10.2,14,10,3,7,4,2,9,22.2,7,13,0,13,6,20,3,0,Matches
Michael Esser,de GER,GK,Hannover 96,29,1987,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Alexander Esswein,de GER,"FW,MF",Hertha BSC,27,1990,6.9,25,16,13,10,2,12,25,48.0,13,4,0,4,9,34,11,0,Matches
Franck Evina,cm CMR,FW,Bayern Munich,17,2000,1.2,2,2,2,0,0,2,2,100.0,0,5,0,5,0,2,0,0,Matches
Marco Fabián,mx MEX,"MF,FW",Eint Frankfurt,28,1989,4.7,5,3,2,3,0,3,4,75.0,1,2,0,2,3,8,1,0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,28,1988,33.5,1,0,1,0,0,1,3,33.3,2,1,0,1,1,2,12,7,Matches
Simon Falette,gn GUI,DF,Eint Frankfurt,25,1992,24.6,34,30,23,10,1,19,31,61.3,12,37,15,22,58,92,134,1,Matches
Felipe,br BRA,DF,Hannover 96,30,1987,5.1,8,8,4,4,0,2,4,50.0,2,4,3,1,11,19,29,0,Matches
Ohis Felix Uduokhai,de GER,DF,Wolfsburg,19,1997,17.3,42,23,27,13,2,17,24,70.8,7,23,10,13,34,76,66,6,Matches
Gelson Fernandes,ch SUI,MF,Eint Frankfurt,30,1986,11.5,58,46,25,29,4,23,45,51.1,22,23,3,20,16,74,21,0,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,28,1989,20.2,18,13,7,5,6,8,15,53.3,7,15,1,14,14,32,7,0,Matches
Viktor Fischer,dk DEN,"FW,MF",Mainz 05,23,1994,3.7,4,4,2,1,1,2,5,40.0,3,2,0,2,3,7,2,0,Matches
Emil Forsberg,se SWE,MF,RB Leipzig,25,1991,15.2,24,17,3,15,6,9,21,42.9,12,19,1,18,8,32,4,0,Matches
Iver Fossum,no NOR,MF,Hannover 96,21,1996,14.5,27,19,8,13,6,10,31,32.3,21,28,3,25,15,42,14,0,Matches
Raphael Framberger,de GER,DF,Augsburg,21,1995,7.7,22,18,14,6,2,15,16,93.8,1,12,3,9,14,36,15,0,Matches
Mike Frantz,de GER,MF,Freiburg,30,1986,11.6,23,16,9,11,3,6,16,37.5,10,13,3,10,13,36,15,0,Matches
Fabian Frei,ch SUI,MF,Mainz 05,28,1989,8.9,22,15,7,12,3,8,15,53.3,7,10,0,10,16,38,17,1,Matches
Marco Friedl,at AUT,"DF,MF",Werder Bremen,19,1998,6.7,9,8,4,4,1,7,10,70.0,3,10,1,9,8,17,17,1,Matches
Marco Friedl,at AUT,MF,Bayern Munich,19,1998,0.5,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Chris Führich,de GER,MF,Köln,19,1998,1.1,4,3,1,2,1,2,5,40.0,3,3,0,3,0,4,1,0,Matches
Niclas Füllkrug,de GER,FW,Hannover 96,24,1993,26.5,16,11,4,8,4,10,20,50.0,10,22,3,19,8,24,30,0,Matches
Mijat Gaćinović,rs SRB,"MF,FW",Eint Frankfurt,22,1995,20.2,56,44,21,27,8,20,52,38.5,32,38,1,37,39,95,22,1,Matches
Ulisses Garcia,ch SUI,FW,Werder Bremen,21,1996,1.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,3,0,Matches
Jean-Philippe Gbamin,ci CIV,"MF,DF",Mainz 05,21,1995,28.8,78,63,48,26,4,43,65,66.2,22,50,10,40,50,128,80,0,Matches
Theodor Gebre Selassie,cz CZE,"DF,FW",Werder Bremen,30,1986,31.4,67,41,36,25,6,36,57,63.2,21,34,2,32,51,118,83,1,Matches
Dennis Geiger,de GER,MF,Hoffenheim,19,1998,17.6,52,36,19,31,2,16,40,40.0,24,38,2,36,15,67,7,0,Matches
Christian Gentner,de GER,MF,Stuttgart,31,1985,26.8,91,67,35,44,12,44,84,52.4,40,41,5,36,35,126,52,0,Matches
Yannick Gerhardt,de GER,"DF,MF",Wolfsburg,23,1994,13.6,37,28,18,14,5,22,34,64.7,12,25,5,20,15,52,31,0,Matches
Rafał Gikiewicz,pl POL,GK,Freiburg,29,1987,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Daniel Ginczek,de GER,FW,Stuttgart,26,1991,16.9,8,4,3,5,0,2,12,16.7,10,16,1,15,5,13,13,0,Matches
Matthias Ginter,de GER,DF,M'Gladbach,23,1994,34.0,48,37,27,20,1,35,45,77.8,10,40,17,23,40,88,114,1,Matches
Serge Gnabry,de GER,FW,Hoffenheim,22,1995,16.7,32,22,10,18,4,13,24,54.2,11,15,1,14,8,40,9,2,Matches
Mario Gómez,de GER,FW,Wolfsburg,32,1985,10.4,6,6,2,3,1,2,6,33.3,4,10,1,9,0,6,16,0,Matches
Mario Gómez,de GER,FW,Stuttgart,32,1985,15.4,13,11,0,8,5,2,10,20.0,8,6,0,6,4,17,17,0,Matches
Sergio Gómez,es ESP,MF,Dortmund,16,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Jérôme Gondorf,de GER,"MF,FW",Werder Bremen,29,1988,8.9,12,9,3,9,0,4,18,22.2,14,11,2,9,6,18,12,0,Matches
Leon Goretzka,de GER,MF,Schalke 04,22,1995,22.0,50,34,22,22,6,14,50,28.0,36,45,4,41,41,91,35,0,Matches
Mario Götze,de GER,MF,Dortmund,25,1992,17.8,50,43,19,24,7,14,34,41.2,20,17,1,16,8,58,9,0,Matches
Mohamed Gouaida,tn TUN,MF,Hamburger SV,24,1993,0.6,3,3,1,1,1,0,0,,0,0,0,0,0,3,3,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,26,1991,26.5,57,44,36,18,3,27,41,65.9,14,36,10,26,54,111,128,0,Matches
Michael Gregoritsch,at AUT,"MF,FW",Augsburg,23,1994,28.1,35,27,13,15,7,11,26,42.3,15,27,1,26,10,45,56,0,Matches
Anto Grgić,ch SUI,MF,Stuttgart,20,1996,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Vincenzo Grifo,it ITA,"MF,FW",M'Gladbach,24,1993,8.7,8,5,3,3,2,4,8,50.0,4,8,1,7,5,13,6,0,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,21,1995,21.0,68,46,30,36,2,35,58,60.3,23,26,3,23,39,107,25,1,Matches
Karim Guédé,sk SVK,FW,Freiburg,32,1985,0.7,2,2,2,0,0,2,2,100.0,0,1,1,0,1,3,0,0,Matches
Raphaël Guerreiro,pt POR,"DF,MF",Dortmund,23,1993,6.1,10,8,5,4,1,2,5,40.0,3,3,0,3,11,21,8,0,Matches
Josuha Guilavogui,fr FRA,MF,Wolfsburg,26,1990,26.7,65,46,43,20,2,30,50,60.0,20,34,10,24,66,131,63,0,Matches
Serhou Guirassy,gn GUI,FW,Köln,21,1996,9.5,3,3,0,2,1,1,5,20.0,4,9,1,8,1,4,11,0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,27,1990,33.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,12,4,Matches
Manuel Gulde,de GER,DF,Freiburg,26,1991,17.0,16,10,14,2,0,10,19,52.6,9,24,17,7,14,30,71,0,Matches
Christian Günter,de GER,"DF,MF",Freiburg,24,1993,34.0,73,54,45,21,7,38,63,60.3,25,38,7,31,20,93,68,0,Matches
Jonathan de Guzmán,nl NED,MF,Eint Frankfurt,29,1987,12.1,16,16,8,8,0,6,16,37.5,10,13,0,13,13,29,12,0,Matches
Janik Haberer,de GER,"MF,FW",Freiburg,23,1994,30.5,62,49,20,34,8,23,57,40.4,34,43,1,42,30,92,42,0,Matches
Alexander Hack,de GER,DF,Mainz 05,23,1993,14.3,46,34,25,19,2,24,37,64.9,13,31,18,13,26,72,87,2,Matches
Robin Hack,de GER,"FW,MF",Hoffenheim,18,1998,0.8,2,2,1,0,1,0,1,0.0,1,1,1,0,0,2,1,0,Matches
André Hahn,de GER,FW,Hamburger SV,26,1990,15.1,33,24,15,13,5,10,32,31.3,22,30,2,28,10,43,26,0,Matches
Izet Hajrović,ba BIH,"MF,FW",Werder Bremen,25,1991,2.1,1,0,1,0,0,0,1,0.0,1,0,0,0,2,3,1,0,Matches
Sébastien Haller,ci CIV,FW,Eint Frankfurt,23,1994,26.1,25,16,4,16,5,7,14,50.0,7,17,4,13,8,33,39,0,Matches
Marcel Halstenberg,de GER,DF,RB Leipzig,25,1991,13.1,29,19,16,9,4,15,19,78.9,4,15,1,14,23,52,42,1,Matches
Tim Handwerker,de GER,"MF,DF",Köln,19,1998,4.4,12,7,9,2,1,5,7,71.4,2,3,0,3,6,18,10,0,Matches
Genki Haraguchi,jp JPN,FW,Hertha BSC,26,1991,2.3,6,6,2,3,1,2,6,33.3,4,4,0,4,2,8,3,0,Matches
Amine Harit,ma MAR,"MF,FW",Schalke 04,20,1997,22.7,39,27,11,21,7,13,37,35.1,24,23,0,23,19,58,11,0,Matches
Martin Harnik,at AUT,"FW,MF",Hannover 96,30,1987,21.0,17,10,4,10,3,4,25,16.0,21,21,2,19,8,25,26,0,Matches
Makoto Hasebe,jp JPN,"DF,MF",Eint Frankfurt,33,1984,23.2,38,23,19,19,0,21,33,63.6,12,40,19,21,25,63,74,0,Matches
Kai Havertz,de GER,"MF,FW",Leverkusen,18,1999,23.8,34,23,8,23,3,12,25,48.0,13,33,2,31,19,53,23,0,Matches
Thorgan Hazard,be BEL,"MF,FW",M'Gladbach,24,1993,32.7,49,32,16,23,10,20,54,37.0,34,39,1,38,28,77,18,0,Matches
Jonas Hector,de GER,"DF,MF",Köln,27,1990,19.5,47,35,23,18,6,18,40,45.0,22,39,6,33,28,75,65,2,Matches
