player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,40,32,29,10,1,27,36,75.0,9,29,15,14,40,80,141,1,Matches
Amir Abrashi,al ALB,MF,Freiburg,27,1990,9.4,35,32,15,18,2,16,23,69.6,7,22,5,17,19,54,20,0,Matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,8,1,Matches
Ailton,br BRA,"DF,MF",Stuttgart,22,1995,1.2,8,5,3,5,0,4,8,50.0,4,5,0,5,2,10,5,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,10.0,22,15,14,8,0,15,17,88.2,2,11,4,7,7,29,43,2,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,12.2,20,14,3,12,5,6,14,42.9,8,19,0,19,5,25,5,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,47,39,29,16,2,24,35,68.6,11,18,4,14,22,69,60,1,Matches
David Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,23,14,11,9,3,14,20,70.0,6,21,6,15,10,33,23,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,17.2,16,10,2,12,2,3,8,37.5,5,17,4,13,4,20,16,0,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,7.8,24,20,17,4,3,11,16,68.8,5,15,2,13,5,29,23,0,Matches
Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,13.9,45,35,11,25,9,15,26,57.7,11,22,3,19,27,72,6,1,Matches
Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,0.5,0,0,0,0,0,0,0,,0,2,1,1,1,1,4,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,19.4,39,26,13,21,5,19,42,45.2,23,33,4,29,17,56,7,0,Matches
Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,25.3,65,49,39,21,5,41,65,63.1,24,56,27,29,39,104,112,3,Matches
Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,21.7,35,26,17,18,0,14,22,63.6,8,27,3,24,29,64,27,1,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,25.6,75,61,17,50,8,33,62,53.2,29,46,5,41,48,123,27,2,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,27.3,51,41,23,23,5,25,57,43.9,32,31,4,27,28,79,34,0,Matches
Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,9.4,7,5,0,3,4,1,7,14.3,6,6,0,6,2,9,7,0,Matches
Takuma Asano,jp JPN,"FW,MF",Stuttgart,22,1994,8.0,7,5,3,3,1,2,8,25.0,6,7,0,7,3,10,2,0,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,26.5,91,65,41,43,7,41,74,55.4,33,45,10,35,47,138,38,1,Matches
Simon Asta,de GER,MF,Augsburg,16,2001,0.1,2,1,2,0,0,2,2,100.0,0,1,0,1,0,2,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,15.7,5,5,1,1,3,2,8,25.0,6,16,1,15,3,8,1,0,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,14.1,16,11,4,11,1,3,7,42.9,4,17,1,16,4,20,4,0,Matches
