player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Issah Abbas,gh GHA,"DF,FW",Mainz 05,21,1998,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,34,1986,13.6,18,12,13,3,2,11,17,64.7,6,13,4,9,17,35,34,0,Matches
Amir Abrashi,al ALB,"MF,DF",Freiburg,30,1990,0.7,1,1,1,0,0,0,0,,0,1,1,0,2,3,1,0,Matches
Ragnar Ache,de GER,"FW,DF",Eint Frankfurt,22,1998,1.1,2,0,0,1,1,0,0,,0,1,0,1,1,3,1,0,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,21,1999,20.6,35,24,12,15,8,17,31,54.8,14,22,5,17,29,64,30,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27,1993,5.3,9,4,4,3,2,7,14,50.0,7,2,0,2,6,15,1,0,Matches
Felix Agu,de GER,DF,Werder Bremen,20,1999,7.8,20,9,10,9,1,10,18,55.6,8,14,3,11,12,32,18,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,18,2002,2.8,4,1,3,1,0,1,1,100.0,0,2,0,2,1,5,1,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,25,1995,26.1,41,22,23,12,6,19,31,61.3,12,23,10,13,49,90,70,1,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,25,1995,13.2,18,12,11,6,1,8,14,57.1,6,28,15,13,13,31,32,2,Matches
David Alaba,at AUT,"DF,MF",Bayern Munich,28,1992,29.7,37,21,14,19,4,17,32,53.1,15,29,13,16,43,80,60,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,27,1992,13.8,8,2,2,5,1,2,4,50.0,2,9,1,8,2,10,10,0,Matches
Omar Alderete,py PAR,DF,Hertha BSC,23,1996,14.4,16,10,11,5,0,7,16,43.8,9,14,10,4,21,37,61,1,Matches
Nadiem Amiri,de GER,MF,Leverkusen,23,1996,21.0,12,7,4,8,0,7,33,21.2,26,18,3,15,12,24,7,0,Matches
Sebastian Andersson,se SWE,FW,Köln,29,1991,12.5,3,2,0,3,0,1,8,12.5,7,10,3,7,2,5,9,0,Matches
Robert Andrich,de GER,MF,Union Berlin,25,1994,28.1,51,24,22,27,2,24,53,45.3,29,40,6,34,51,102,31,2,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,23,1997,24.0,31,19,10,18,3,13,24,54.2,11,22,1,21,30,61,40,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,24,1996,30.1,31,20,17,14,0,12,31,38.7,19,28,18,10,47,78,114,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,31,1989,18.5,41,23,16,21,4,17,43,39.5,26,32,4,28,33,74,17,0,Matches
Santiago Arias,co COL,DF,Leverkusen,28,1992,1.0,2,1,0,1,1,1,1,100.0,0,0,0,0,1,3,4,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,26,1994,28.7,47,32,20,26,1,18,49,36.7,31,24,3,21,49,96,57,0,Matches
Toluwalase Arokodare,ng NGA,"FW,MF",Köln,19,2000,1.2,1,1,0,0,1,0,0,,0,1,0,1,1,2,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,23,1997,8.5,30,15,15,14,1,15,28,53.6,13,23,2,21,13,43,14,0,Matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,26,1994,21.7,37,20,19,14,4,17,29,58.6,12,21,7,14,20,57,62,0,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,22,1997,15.1,5,3,2,3,0,1,14,7.1,13,9,0,9,3,8,4,0,Matches
Mehmet Aydin,de GER,DF,Schalke 04,18,2002,5.6,15,7,9,6,0,4,10,40.0,6,6,1,5,6,21,16,0,Matches
Leon Bailey,jm JAM,"FW,MF",Leverkusen,22,1997,23.8,14,8,3,7,4,4,15,26.7,11,13,0,13,9,23,3,0,Matches
Ridle Baku,de GER,"FW,DF",Wolfsburg,22,1998,29.8,50,31,20,20,10,22,53,41.5,31,54,4,50,40,90,33,1,Matches
Ridle Baku,de GER,DF,Mainz 05,22,1998,2.0,4,2,3,1,0,2,6,33.3,4,3,1,2,3,7,6,0,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,31,1989,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Aymen Barkok,ma MAR,"MF,DF",Eint Frankfurt,22,1998,10.9,29,15,11,9,9,10,31,32.3,21,15,1,14,10,39,9,1,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,20,2000,25.6,58,32,19,26,13,20,50,40.0,30,34,9,25,57,115,55,0,Matches
Jacob Barrett Laursen,dk DEN,DF,Arminia,25,1994,12.3,23,12,13,8,2,10,16,62.5,6,14,4,10,24,47,37,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,30,1990,31.0,0,0,0,0,0,0,1,0.0,1,0,0,0,2,2,14,0,Matches
Julian Baumgartlinger,at AUT,MF,Leverkusen,32,1988,11.9,43,20,14,26,3,16,31,51.6,15,12,0,12,12,55,10,1,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,20,1999,26.3,44,31,13,24,7,14,51,27.5,37,40,8,32,24,68,24,0,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Augsburg,23,1996,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,0,0,Matches
Ihlas Bebou,tg TOG,"FW,MF",Hoffenheim,26,1994,24.4,24,9,5,10,9,8,14,57.1,6,18,4,14,17,41,16,0,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,25,1995,12.3,5,4,2,2,1,3,5,60.0,2,4,0,4,6,11,7,0,Matches
Timo Becker,de GER,DF,Schalke 04,23,1997,18.2,34,23,28,6,0,16,25,64.0,9,18,4,14,22,56,58,0,Matches
Brian Behrendt,de GER,DF,Arminia,28,1991,0.9,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Maximilian Beier,de GER,"FW,DF",Hoffenheim,17,2002,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Ishak Belfodil,dz ALG,"FW,MF",Hoffenheim,28,1992,6.6,3,2,0,0,3,0,2,0.0,2,1,0,1,1,4,3,0,Matches
Stefan Bell,de GER,DF,Mainz 05,28,1991,14.1,24,18,15,9,0,14,23,60.9,9,19,11,8,27,51,76,1,Matches
Karim Bellarabi,de GER,"FW,MF",Leverkusen,30,1990,8.9,12,10,3,4,5,4,17,23.5,13,12,0,12,12,24,4,0,Matches
Jude Bellingham,eng ENG,MF,Dortmund,17,2003,18.9,49,31,11,29,9,19,46,41.3,27,37,5,32,24,73,13,0,Matches
Lars Bender,de GER,DF,Leverkusen,31,1989,10.4,19,13,12,6,1,9,21,42.9,12,19,5,14,16,35,19,0,Matches
Sven Bender,de GER,DF,Leverkusen,31,1989,13.0,17,9,8,8,1,7,20,35.0,13,20,9,11,21,38,41,1,Matches
László Bénes,sk SVK,MF,Augsburg,22,1997,7.3,8,6,4,4,0,2,8,25.0,6,6,2,4,7,15,1,1,Matches
László Bénes,sk SVK,MF,M'Gladbach,22,1997,1.7,6,2,5,1,0,2,4,50.0,2,0,0,0,2,8,1,0,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,25,1995,20.1,43,24,27,13,3,26,42,61.9,16,39,7,32,47,90,66,0,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,25,1994,6.1,14,8,7,6,1,4,15,26.7,11,5,2,3,6,20,8,0,Matches
Jordan Beyer,de GER,DF,M'Gladbach,20,2000,2.1,2,1,2,0,0,1,2,50.0,1,5,4,1,5,7,5,0,Matches
Bartosz Białek,pl POL,"FW,MF",Wolfsburg,18,2001,3.0,6,5,1,4,1,4,4,100.0,0,5,1,4,3,9,4,0,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,30,1990,1.4,1,1,0,1,0,1,1,100.0,0,1,1,0,3,4,9,0,Matches
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,26,1993,16.8,58,32,24,28,6,16,51,31.4,35,29,2,27,13,71,10,0,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,31,1988,26.3,26,16,17,8,1,14,32,43.8,18,24,17,7,40,66,63,1,Matches
Jean-Paul Boëtius,nl NED,"MF,FW",Mainz 05,26,1994,22.9,42,28,13,15,14,17,47,36.2,30,37,3,34,33,75,14,0,Matches
Melayro Bogarde,nl NED,"DF,MF",Hoffenheim,18,2002,3.1,7,3,3,3,1,5,9,55.6,4,0,0,0,5,12,1,0,Matches
Elias Bördner,de GER,GK,Eint Frankfurt,18,2002,1.0,1,0,1,0,0,1,1,100.0,0,0,0,0,2,3,1,0,Matches
Dennis Borkowski,de GER,"MF,FW",RB Leipzig,18,2002,0.1,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Köln,21,1999,23.1,29,20,25,4,0,14,25,56.0,11,33,26,7,40,69,104,0,Matches
