player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Nassim Boujellab,ma MAR,"MF,FW",Schalke 04,21,1999,6.7,13,9,2,10,1,2,12,16.7,10,10,3,7,7,20,9,0,Matches
Dedryck Boyata,be BEL,DF,Hertha BSC,29,1990,17.2,14,7,10,3,1,7,15,46.7,8,23,20,3,26,40,68,1,Matches
Can Bozdogan,de GER,"MF,FW",Schalke 04,19,2001,7.2,13,5,6,6,1,4,15,26.7,11,10,2,8,7,20,5,0,Matches
Julian Brandt,de GER,"FW,MF",Dortmund,24,1996,16.6,27,14,13,9,5,12,43,27.9,31,25,1,24,17,44,7,1,Matches
Fabian Bredlow,de GER,GK,Stuttgart,25,1995,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,22,1998,20.2,22,10,10,7,5,8,29,27.6,21,18,0,18,17,39,3,1,Matches
Joshua Brenet,nl NED,DF,Hoffenheim,26,1994,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
John Brooks,us USA,DF,Wolfsburg,27,1993,30.8,47,29,33,14,0,30,54,55.6,24,35,10,25,55,102,134,0,Matches
Daniel Brosinski,de GER,"DF,FW",Mainz 05,32,1988,15.9,19,14,10,7,2,12,31,38.7,19,18,1,17,14,33,33,0,Matches
Cédric Brunner,ch SUI,DF,Arminia,26,1994,29.5,42,22,24,15,3,27,40,67.5,13,30,10,20,42,84,96,0,Matches
Jacob Bruun Larsen,dk DEN,"MF,FW",Hoffenheim,21,1998,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Marius Bülter,de GER,"FW,MF",Union Berlin,27,1993,10.9,15,8,6,6,3,5,17,29.4,12,17,2,15,12,27,11,0,Matches
Jonathan Burkardt,de GER,"FW,MF",Mainz 05,20,2000,15.3,27,13,15,10,2,11,19,57.9,8,20,3,17,8,35,15,0,Matches
Nishan Burkart,ch SUI,MF,Freiburg,20,2000,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Roman Bürki,ch SUI,GK,Dortmund,29,1990,18.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
Kerim Calhanoglu,de GER,DF,Schalke 04,17,2002,3.3,3,3,1,1,1,0,3,0.0,3,4,0,4,7,10,6,0,Matches
Daniel Caligiuri,it ITA,"MF,FW",Augsburg,32,1988,29.6,71,46,29,31,11,29,92,31.5,63,45,6,39,38,109,41,0,Matches
Emre Can,de GER,"DF,MF",Dortmund,26,1994,23.7,43,34,20,20,3,20,37,54.1,17,35,10,25,48,91,52,0,Matches
Koen Casteels,be BEL,GK,Wolfsburg,28,1992,32.0,0,0,0,0,0,0,1,0.0,1,1,0,1,2,2,9,2,Matches
Gonzalo Castro,de GER,MF,Stuttgart,33,1987,19.2,21,7,6,9,6,8,23,34.8,15,16,3,13,8,29,12,0,Matches
Sava Cestic,rs SRB,DF,Köln,19,2001,10.0,20,9,12,6,2,8,17,47.1,9,13,4,9,18,38,40,0,Matches
Timothy Chandler,us USA,DF,Eint Frankfurt,30,1990,4.8,4,0,2,1,1,1,4,25.0,3,5,2,3,3,7,5,0,Matches
Kwon Chang-hoon,kr KOR,"MF,FW",Freiburg,26,1994,2.4,3,1,1,0,2,1,3,33.3,2,3,1,2,7,10,2,1,Matches
Tahith Chong,nl NED,"MF,FW",Werder Bremen,20,1999,4.3,11,6,1,9,1,4,8,50.0,4,4,0,4,5,16,1,0,Matches
Darko Churlinov,mk MKD,"DF,MF",Stuttgart,20,2000,2.4,2,2,2,0,0,1,3,33.3,2,5,1,4,0,2,2,0,Matches
Tim Civeja,al ALB,MF,Augsburg,18,2002,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,3,3,0,0,Matches
Kingsley Coman,fr FRA,"FW,MF",Bayern Munich,24,1996,19.5,14,8,6,7,1,2,21,9.5,19,22,0,22,4,18,3,0,Matches
Jhon Córdoba,co COL,FW,Hertha BSC,27,1993,17.1,9,4,1,5,3,2,4,50.0,2,13,2,11,6,15,4,0,Matches
Sergio Córdova,ve VEN,"FW,MF",Arminia,22,1997,12.1,16,8,0,10,6,2,15,13.3,13,14,3,11,9,25,9,0,Matches
Danny da Costa,de GER,"DF,FW",Mainz 05,27,1993,13.4,22,16,6,9,7,13,27,48.1,14,17,2,15,17,39,27,0,Matches
Danny da Costa,de GER,DF,Eint Frankfurt,27,1993,1.2,0,0,0,0,0,0,1,0.0,1,3,1,2,0,0,4,0,Matches
Douglas Costa,br BRA,"FW,MF",Bayern Munich,29,1990,3.6,2,1,1,1,0,1,3,33.3,2,7,0,7,2,4,1,0,Matches
Tanguy Coulibaly,fr FRA,"DF,FW",Stuttgart,19,2001,16.7,26,15,10,7,9,11,23,47.8,12,20,0,20,10,36,11,0,Matches
Mickaël Cuisance,fr FRA,FW,Bayern Munich,20,1999,0.2,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,Matches
Matheus Cunha,br BRA,"FW,MF",Hertha BSC,21,1999,23.9,36,16,10,19,7,13,49,26.5,36,29,2,27,31,67,9,0,Matches
Rafael Czichos,de GER,DF,Köln,30,1990,25.1,48,24,33,13,2,23,42,54.8,19,25,9,16,53,101,109,0,Matches
Moanes Dabbur,il ISR,"FW,MF",Hoffenheim,28,1992,11.1,6,3,3,1,2,1,13,7.7,12,6,0,6,9,15,7,0,Matches
Finn Dahmen,de GER,GK,Mainz 05,22,1998,3.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,1,0,Matches
Mahmoud Dahoud,de GER,MF,Dortmund,24,1996,14.0,30,18,9,20,1,14,38,36.8,24,23,5,18,18,48,11,1,Matches
Leon Dajaku,de GER,FW,Union Berlin,19,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Tiago Dantas,pt POR,MF,Bayern Munich,19,2000,0.8,1,1,0,0,1,0,0,,0,0,0,0,0,1,0,0,Matches
Márton Dárdai,de GER,"DF,MF",Hertha BSC,18,2002,9.1,17,10,10,6,1,9,16,56.3,7,7,3,4,16,33,31,0,Matches
Vladimír Darida,cz CZE,MF,Hertha BSC,29,1990,21.1,34,19,11,19,4,9,31,29.0,22,34,2,32,27,61,18,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,19,2000,19.6,39,27,16,17,6,28,40,70.0,12,21,1,20,28,67,33,1,Matches
Thomas Delaney,dk DEN,MF,Dortmund,28,1991,14.3,40,30,15,20,5,11,31,35.5,20,28,10,18,22,62,15,1,Matches
Kerem Demirbay,de GER,MF,Leverkusen,27,1993,19.4,46,31,15,26,5,19,38,50.0,19,21,4,17,8,54,6,1,Matches
Ermedin Demirović,ba BIH,FW,Freiburg,22,1998,16.6,15,9,4,6,5,2,16,12.5,14,29,5,24,0,15,27,0,Matches
Emmanuel Dennis,ng NGA,FW,Köln,22,1997,5.3,13,7,6,5,2,1,6,16.7,5,6,0,6,0,13,0,1,Matches
Mike van der Hoorn,nl NED,DF,Arminia,27,1992,15.1,8,4,3,5,0,1,3,33.3,2,12,8,4,27,35,73,0,Matches
Moussa Diaby,fr FRA,"FW,MF",Leverkusen,21,1999,26.5,10,6,4,5,1,6,20,30.0,14,11,0,11,12,22,5,0,Matches
Daniel Didavi,de GER,"MF,FW",Stuttgart,30,1990,10.8,16,6,2,9,5,7,12,58.3,5,10,0,10,3,19,8,0,Matches
Javairô Dilrosun,nl NED,"FW,MF",Hertha BSC,22,1998,5.9,5,3,2,2,1,1,6,16.7,5,5,0,5,4,9,3,0,Matches
Eren Dinkçi,de GER,"MF,FW",Werder Bremen,18,2001,1.2,1,1,1,0,0,0,1,0.0,1,4,0,4,2,3,1,0,Matches
Jonas Dirkner,de GER,MF,Hertha BSC,18,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Arminia,22,1998,30.8,53,31,22,19,12,19,52,36.5,33,42,1,41,31,84,11,0,Matches
Ji Dong-won,kr KOR,FW,Mainz 05,29,1991,0.7,1,1,1,0,0,0,0,,0,1,0,1,2,3,0,0,Matches
Bas Dost,nl NED,FW,Eint Frankfurt,31,1989,9.1,3,2,1,1,1,2,5,40.0,3,5,1,4,2,5,8,0,Matches
Aleksandar Dragović,at AUT,DF,Leverkusen,29,1991,12.6,11,7,5,5,1,9,13,69.2,4,17,5,12,13,24,33,0,Matches
Dominick Drexler,de GER,"MF,FW",Köln,30,1990,13.7,36,26,15,18,3,12,30,40.0,18,5,1,4,14,50,15,0,Matches
Ondrej Duda,sk SVK,"FW,MF",Köln,25,1994,28.2,36,14,13,18,5,8,39,20.5,31,28,2,26,19,55,20,0,Matches
Erik Durm,de GER,DF,Eint Frankfurt,28,1992,16.4,17,13,7,9,1,8,21,38.1,13,19,5,14,29,46,26,0,Matches
Johannes Eggestein,de GER,"FW,MF",Werder Bremen,22,1998,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,1,1,2,0,Matches
Maximilian Eggestein,de GER,MF,Werder Bremen,23,1996,32.7,57,42,22,29,6,21,46,45.7,25,30,5,25,43,100,36,0,Matches
Lilian Egloff,de GER,MF,Stuttgart,17,2002,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Kingsley Ehizibue,nl NED,DF,Köln,25,1995,12.6,32,19,22,9,1,10,17,58.8,7,19,5,14,18,50,42,0,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,23,1996,28.2,49,35,36,12,1,25,37,67.6,12,38,22,16,65,114,123,0,Matches
Breel Embolo,ch SUI,"FW,MF",M'Gladbach,23,1997,16.0,15,10,1,13,1,0,6,0.0,6,16,1,15,8,23,8,0,Matches
Keita Endo,jp JPN,"MF,FW",Union Berlin,22,1997,5.1,8,3,1,5,2,3,9,33.3,6,5,2,3,6,14,4,0,Matches
Wataru Endo,jp JPN,MF,Stuttgart,27,1993,32.8,65,44,25,34,6,29,71,40.8,42,53,14,39,51,116,59,0,Matches
Patrick Erras,de GER,"FW,MF",Werder Bremen,25,1995,0.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Ralf Fährmann,de GER,GK,Schalke 04,31,1988,20.8,2,1,2,0,0,1,2,50.0,1,0,0,0,1,3,9,3,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,22,1997,29.0,33,24,19,10,4,18,27,66.7,9,48,25,23,54,87,164,2,Matches
Edimilson Fernandes,ch SUI,"MF,FW",Mainz 05,24,1996,9.3,8,4,4,4,0,4,7,57.1,3,12,4,8,29,37,25,0,Matches
Alfreð Finnbogason,is ISL,FW,Augsburg,31,1989,6.0,2,1,0,1,1,0,1,0.0,1,7,1,6,1,3,4,0,Matches
Mark Flekken,nl NED,GK,Freiburg,27,1993,3.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Florian Flick,de GER,MF,Schalke 04,20,2000,4.0,10,7,4,6,0,7,16,43.8,9,4,3,1,7,17,5,1,Matches
Emil Forsberg,se SWE,"FW,MF",RB Leipzig,28,1991,17.1,11,6,1,6,4,5,27,18.5,22,10,1,9,11,22,4,0,Matches
Philipp Förster,de GER,MF,Stuttgart,25,1995,16.8,22,13,7,12,3,6,25,24.0,19,18,1,17,15,37,2,0,Matches
Timothy Fosu-Mensah,nl NED,DF,Leverkusen,22,1998,4.5,4,2,1,2,1,2,4,50.0,2,7,3,4,7,11,4,0,Matches
Raphael Framberger,de GER,DF,Augsburg,24,1995,17.1,42,23,26,11,5,19,25,76.0,6,24,2,22,36,78,62,1,Matches
Marco Friedl,at AUT,DF,Werder Bremen,22,1998,30.9,50,34,31,17,2,30,62,48.4,32,38,17,21,55,105,118,1,Matches
Marvin Friedrich,de GER,DF,Union Berlin,24,1995,34.0,47,29,35,11,1,18,32,56.3,14,38,18,20,52,99,109,0,Matches
Jeremie Frimpong,nl NED,"DF,FW",Leverkusen,19,2000,4.8,7,4,4,3,0,4,8,50.0,4,4,0,4,1,8,7,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,27,1993,9.7,7,3,2,4,1,1,13,7.7,12,10,4,6,3,10,13,0,Matches
Mijat Gaćinović,rs SRB,"DF,MF",Hoffenheim,25,1995,9.1,18,10,6,11,1,9,24,37.5,15,13,0,13,18,36,15,0,Matches
Christian Gebauer,at AUT,"MF,FW",Arminia,26,1993,7.6,9,4,2,5,2,4,11,36.4,7,4,1,3,6,15,14,0,Matches
Theodor Gebre Selassie,cz CZE,DF,Werder Bremen,33,1986,33.7,61,35,39,17,5,28,64,43.8,36,33,11,22,58,119,98,1,Matches
Emrehan Gedikli,de GER,FW,Leverkusen,17,2003,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Dennis Geiger,de GER,MF,Hoffenheim,22,1998,7.3,13,10,3,8,2,5,8,62.5,3,10,0,10,3,16,0,0,Matches
Christian Gentner,de GER,MF,Union Berlin,34,1985,11.5,17,8,9,5,3,5,18,27.8,13,13,1,12,17,34,16,0,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,26,1994,21.5,52,32,14,32,6,21,52,40.4,31,34,4,30,21,73,30,0,Matches
Hamadi Al Ghaddioui,ma MAR,FW,Stuttgart,29,1990,0.5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Niko Gießelmann,de GER,DF,Union Berlin,28,1991,4.8,12,9,7,4,1,5,8,62.5,3,9,3,6,8,20,13,1,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,32,1987,34.0,0,0,0,0,0,0,3,0.0,3,0,0,0,3,3,9,1,Matches
Daniel Ginczek,de GER,"FW,MF",Wolfsburg,29,1991,2.4,2,2,1,1,0,2,8,25.0,6,2,0,2,1,3,2,0,Matches
Matthias Ginter,de GER,DF,M'Gladbach,26,1994,34.0,26,16,15,10,1,14,24,58.3,10,43,32,11,51,77,121,0,Matches
Robert Glatzel,de GER,FW,Mainz 05,26,1994,4.0,1,0,1,0,0,0,2,0.0,2,2,0,2,0,1,2,0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,25,1995,18.3,39,19,7,19,13,12,32,37.5,20,17,0,17,26,65,3,0,Matches
Akaki Gogia,de GER,"FW,MF",Union Berlin,28,1992,1.6,1,0,0,1,0,0,2,0.0,2,0,0,0,1,2,0,0,Matches
Nicolás González,ar ARG,"FW,MF",Stuttgart,22,1998,10.4,5,5,1,2,2,0,6,0.0,6,10,3,7,4,9,6,0,Matches
Leon Goretzka,de GER,MF,Bayern Munich,25,1995,18.9,37,23,12,21,4,16,39,41.0,23,30,2,28,44,81,11,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,29,1991,31.5,36,20,24,11,1,16,33,48.5,17,37,18,19,69,105,149,2,Matches
Demarai Gray,jm JAM,FW,Leverkusen,24,1996,4.9,3,2,1,2,0,1,1,100.0,0,3,0,3,4,7,3,0,Matches
Michael Gregoritsch,at AUT,"FW,MF",Augsburg,26,1994,9.3,13,10,6,7,0,3,10,30.0,7,2,0,2,3,16,17,0,Matches
Sebastian Griesbeck,de GER,MF,Union Berlin,29,1990,9.9,20,9,8,11,1,8,19,42.1,11,13,3,10,5,25,8,0,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,27,1993,25.7,18,7,6,7,5,14,34,41.2,20,13,0,13,27,45,18,1,Matches
Lennart Grill,de GER,GK,Leverkusen,21,1999,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Florian Grillitsch,at AUT,"MF,DF",Hoffenheim,24,1995,20.9,37,21,21,13,3,19,52,36.5,33,38,7,31,51,88,47,1,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,31,1989,16.3,44,28,17,25,2,15,37,40.5,22,12,2,10,24,68,37,0,Matches
Ilia Gruev,bg BUL,FW,Werder Bremen,20,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Carlos Gruezo,ec ECU,MF,Augsburg,25,1995,23.2,57,32,20,32,5,20,52,38.5,32,32,5,27,35,92,29,1,Matches
Mattéo Guendouzi,fr FRA,MF,Hertha BSC,21,1999,20.2,24,13,10,12,2,9,25,36.0,16,15,4,11,21,45,24,1,Matches
Raphaël Guerreiro,pt POR,DF,Dortmund,26,1993,24.6,30,13,14,8,8,16,31,51.6,15,21,4,17,28,58,31,1,Matches
Josuha Guilavogui,fr FRA,"MF,DF",Wolfsburg,29,1990,8.3,17,9,9,8,0,5,12,41.7,7,12,5,7,29,46,25,0,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,30,1990,33.0,1,0,1,0,0,1,2,50.0,1,0,0,0,2,3,7,0,Matches
Manuel Gulde,de GER,DF,Freiburg,29,1991,21.7,27,15,12,12,3,5,21,23.8,16,25,15,10,37,64,64,0,Matches
Robert Gumny,pl POL,DF,Augsburg,22,1998,15.3,24,15,12,9,3,15,23,65.2,8,12,2,10,18,42,31,0,Matches
Christian Günter,de GER,"DF,MF",Freiburg,27,1993,34.0,34,19,18,13,3,15,43,34.9,28,38,9,29,29,63,40,0,Matches
Erling Haaland,no NOR,FW,Dortmund,20,2000,26.7,7,2,1,3,3,1,4,25.0,3,19,4,15,4,11,16,0,Matches
Janik Haberer,de GER,"MF,FW",Freiburg,26,1994,5.4,7,4,4,3,0,3,15,20.0,12,4,1,3,7,14,9,0,Matches
Alexander Hack,de GER,DF,Mainz 05,26,1993,15.2,32,21,23,8,1,18,31,58.1,13,26,17,9,41,73,91,2,Matches
André Hahn,de GER,"FW,MF",Augsburg,29,1990,22.6,31,17,14,13,4,9,44,20.5,35,35,3,32,14,45,24,0,Matches
Amadou Haidara,ml MLI,"MF,FW",RB Leipzig,22,1998,21.2,50,28,20,21,9,11,36,30.6,25,33,1,32,30,80,24,0,Matches
Marcel Halstenberg,de GER,DF,RB Leipzig,28,1991,18.3,29,18,20,8,1,19,41,46.3,22,15,3,12,16,45,35,0,Matches
Amine Harit,ma MAR,"MF,FW",Schalke 04,23,1997,23.3,22,13,8,11,3,10,23,43.5,13,9,1,8,17,39,7,1,Matches
Marcel Hartel,de GER,MF,Arminia,24,1996,18.7,35,19,15,18,2,20,40,50.0,20,17,4,13,26,61,16,1,Matches
