player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Marin Pongračić,hr CRO,DF,Wolfsburg,21,1997,10.3,684,49,318,365,14,5,684,13,11,84.6,2,15.4,435,2630,1596,10,6,0,7,4,421,0,Matches
Stefan Posch,at AUT,DF,Hoffenheim,22,1997,25.6,1859,178,833,892,154,26,1859,13,9,69.2,4,30.8,980,5126,2711,28,17,5,17,10,1110,17,Matches
Yussuf Poulsen,dk DEN,FW,RB Leipzig,25,1994,13.6,512,15,34,247,235,66,512,24,15,62.5,9,37.5,277,1302,580,23,14,8,55,25,385,120,Matches
Kai Pröger,de GER,"MF,FW",Paderborn 07,27,1992,23.1,959,27,182,330,477,70,959,120,67,55.8,53,44.2,531,4609,2215,77,40,33,64,32,499,129,Matches
Grischa Prömel,de GER,MF,Union Berlin,24,1995,10.3,440,15,92,273,83,8,440,12,7,58.3,5,41.7,255,1227,522,13,11,2,20,8,265,22,Matches
Robin Quaison,se SWE,"FW,MF",Mainz 05,25,1993,28.9,852,9,105,390,371,89,851,66,44,66.7,22,33.3,521,2873,1141,36,37,17,54,50,565,155,Matches
Raffael,br BRA,"MF,FW",M'Gladbach,34,1985,0.7,66,0,4,36,28,6,66,3,2,66.7,1,33.3,38,145,65,1,3,0,4,1,40,7,Matches
Benito Raman,be BEL,FW,Schalke 04,24,1994,17.8,516,5,61,209,257,63,516,40,24,60.0,16,40.0,278,1827,752,32,19,15,44,19,311,89,Matches
Tobias Raschl,de GER,MF,Dortmund,19,2000,0.3,19,1,4,8,7,0,19,0,0,,0,,9,46,9,0,0,0,1,0,12,0,Matches
Milot Rashica,xk KVX,FW,Werder Bremen,23,1996,25.2,1032,12,125,413,522,77,1029,100,55,55.0,45,45.0,725,4952,2276,81,58,36,87,53,700,196,Matches
Ante Rebić,hr CRO,"FW,MF",Eint Frankfurt,25,1993,1.0,31,1,1,9,21,6,31,2,1,50.0,1,50.0,19,91,62,2,1,2,7,0,22,4,Matches
Daishawn Redan,nl NED,MF,Hertha BSC,18,2001,0.2,9,0,2,7,1,1,9,0,0,,0,,7,88,73,1,0,0,0,0,7,1,Matches
Fabian Reese,de GER,FW,Schalke 04,21,1997,1.0,36,2,8,8,20,4,36,6,0,0.0,6,100.0,23,155,61,2,1,1,4,0,24,11,Matches
Ken Reichel,de GER,DF,Union Berlin,32,1986,5.9,320,14,116,136,70,7,320,4,2,50.0,2,50.0,131,666,367,8,5,1,7,2,144,15,Matches
Karim Rekik,nl NED,DF,Hertha BSC,24,1994,14.0,848,83,390,433,30,10,848,5,4,80.0,1,20.0,469,2383,1359,15,8,0,6,3,556,5,Matches
Panagiotis Retsos,gr GRE,DF,Leverkusen,20,1998,1.3,111,5,28,74,9,0,111,1,1,100.0,0,0.0,50,291,180,3,2,0,0,1,73,1,Matches
Marco Reus,de GER,"MF,FW",Dortmund,30,1989,16.6,872,16,76,371,439,96,871,46,26,56.5,20,43.5,521,2427,1093,37,30,9,31,21,647,98,Matches
Elvis Rexhbeçaj,de GER,MF,Köln,21,1997,6.9,304,7,62,164,85,12,304,12,10,83.3,2,16.7,183,960,457,9,5,2,16,6,185,17,Matches
