player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Stefan Bell,de GER,DF,Mainz 05,32-040,1991,4.1,184,226,81.4,3429,1455,77,86,89.5,85,98,86.7,20,37,54.1,0,0.1,0.3,-0.1,1,12,3,1,13,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-170,1995,5.2,325,386,84.2,5486,1729,153,172,89.0,139,158,88.0,26,38,68.4,0,0.1,0.3,-0.1,4,32,3,0,37,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-145,1998,1.3,17,23,73.9,235,87,8,11,72.7,6,8,75.0,1,1,100.0,0,0.3,0.1,-0.3,2,2,1,0,2,Matches
Mergim Berisha,de GER,FW,Augsburg,25-145,1998,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1,Matches
Bernardo,br BRA,DF,Bochum,28-142,1995,6.0,232,300,77.3,4643,1751,80,90,88.9,115,134,85.8,31,62,50.0,0,0.1,0.1,-0.1,3,22,2,0,20,Matches
Matúš Bero,sk SVK,MF,Bochum,28-027,1995,4.0,79,112,70.5,1222,331,39,49,79.6,30,37,81.1,6,17,35.3,0,0.1,0.1,-0.1,2,4,1,0,6,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-272,1999,4.8,80,145,55.2,1563,633,35,42,83.3,20,36,55.6,20,49,40.8,3,1.1,1.1,+1.9,14,3,6,4,7,Matches
Tom Bischof,de GER,"FW,DF",Hoffenheim,18-097,2005,0.3,25,31,80.6,477,189,10,10,100.0,11,13,84.6,3,4,75.0,1,0.6,0.5,+0.4,1,6,1,1,5,Matches
Leonardo Bittencourt,de GER,"MF,FW",Werder Bremen,29-288,1993,1.1,23,32,71.9,346,123,14,18,77.8,6,8,75.0,2,4,50.0,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-154,1991,6.0,247,286,86.4,5742,3200,61,62,98.4,135,135,100.0,50,88,56.8,0,0.0,0.0,0.0,0,1,0,0,0,Matches
Victor Boniface,ng NGA,FW,Leverkusen,22-284,2000,5.7,92,130,70.8,1406,225,47,57,82.5,26,31,83.9,10,15,66.7,2,0.9,0.8,+1.1,4,2,5,0,9,Matches
Leonardo Bonucci,it ITA,DF,Union Berlin,36-155,1987,1.7,76,93,81.7,1700,727,16,18,88.9,46,51,90.2,13,23,56.5,0,0.0,0.0,0.0,0,2,0,0,6,Matches
Yvandro Borges Sanches,lu LUX,"MF,FW",M'Gladbach,19-132,2004,0.2,7,10,70.0,127,10,4,5,80.0,2,3,66.7,1,1,100.0,0,0.0,0.0,0.0,0,2,0,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,Wolfsburg,24-195,1999,0.0,2,2,100.0,19,11,2,2,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Rafael Borré,co COL,FW,Werder Bremen,28-018,1995,1.5,32,41,78.0,435,97,24,28,85.7,5,7,71.4,2,2,100.0,0,0.2,0.1,-0.2,2,4,1,1,3,Matches
Julian Brandt,de GER,"MF,FW",Dortmund,27-154,1996,5.5,184,250,73.6,3027,854,86,103,83.5,60,79,75.9,25,45,55.6,4,2.9,1.8,+1.1,20,7,10,2,24,Matches
