player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Suleiman Abdullahi,ng NGA,"FW,MF",Union Berlin,22,1996,6,1,157,1.7,1,0,1,1,0,0,1,0,1.1,1.1,0.2,1.3,2,3,10,0.57,0.00,0.57,0.57,0.57,0.65,0.09,0.74,0.65,0.74,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,33,1986,20,19,"1,688",18.8,2,0,2,2,0,0,2,1,1.6,1.6,0.1,1.7,18,99,12,0.11,0.00,0.11,0.11,0.11,0.08,0.01,0.09,0.08,0.09,Matches
Amir Abrashi,al ALB,MF,Freiburg,29,1990,13,8,663,7.4,0,0,0,0,0,0,3,0,0.5,0.5,0.1,0.6,8,27,13,0.00,0.00,0.00,0.00,0.00,0.07,0.02,0.08,0.07,0.08,Matches
Tyler Adams,us USA,"MF,DF",RB Leipzig,20,1999,14,10,953,10.6,0,0,0,0,0,0,0,0,0.4,0.4,0.6,1.0,11,34,49,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,26,1993,15,6,746,8.3,5,1,6,5,0,0,1,0,5.9,5.9,0.6,6.5,19,16,67,0.60,0.12,0.72,0.60,0.72,0.71,0.08,0.78,0.71,0.78,Matches
Manuel Akanji,ch SUI,DF,Dortmund,24,1995,29,25,"2,309",25.7,0,1,1,0,0,0,2,0,0.4,0.4,0.4,0.9,18,104,6,0.00,0.04,0.04,0.00,0.04,0.02,0.02,0.03,0.02,0.03,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,24,1995,18,12,"1,142",12.7,0,0,0,0,0,0,2,0,0.1,0.1,0.1,0.2,7,32,5,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches
David Alaba,at AUT,DF,Bayern Munich,27,1992,28,27,"2,498",27.8,1,1,2,1,0,0,0,0,1.0,1.0,2.4,3.3,69,285,42,0.04,0.04,0.07,0.04,0.07,0.03,0.08,0.12,0.03,0.12,Matches
Lucas Alario,ar ARG,FW,Leverkusen,26,1992,24,11,"1,174",13.0,7,1,8,6,1,1,6,0,7.3,6.5,1.6,8.1,7,16,63,0.54,0.08,0.61,0.46,0.54,0.56,0.12,0.68,0.50,0.62,Matches
Paco Alcácer,es ESP,FW,Dortmund,25,1993,11,6,530,5.9,5,1,6,5,0,0,0,0,3.9,3.9,0.9,4.8,1,8,37,0.85,0.17,1.02,0.85,1.02,0.67,0.14,0.81,0.67,0.81,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,28,1991,24,20,"1,771",19.7,3,0,3,3,0,0,7,0,2.4,2.4,0.9,3.3,27,230,43,0.15,0.00,0.15,0.15,0.15,0.12,0.05,0.17,0.12,0.17,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,22,1996,30,22,"1,857",20.6,1,2,3,1,0,0,3,0,2.2,2.2,6.3,8.4,53,106,95,0.05,0.10,0.15,0.05,0.15,0.10,0.30,0.41,0.10,0.41,Matches
Ethan Ampadu,wls WAL,DF,RB Leipzig,18,2000,3,0,81,0.9,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,3,0,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.11,0.11,0.11,Matches
Opoku Ampomah,gh GHA,"FW,MF",Düsseldorf,23,1996,12,5,500,5.6,0,0,0,0,0,0,1,0,0.7,0.7,0.3,1.0,23,12,50,0.00,0.00,0.00,0.00,0.00,0.13,0.06,0.19,0.13,0.19,Matches
Sebastian Andersson,se SWE,FW,Union Berlin,28,1991,33,31,"2,682",29.8,12,1,13,11,1,2,5,0,11.9,10.3,1.9,12.2,34,54,204,0.40,0.03,0.44,0.37,0.40,0.40,0.06,0.46,0.35,0.41,Matches
Robert Andrich,de GER,MF,Union Berlin,24,1994,30,30,"2,572",28.6,1,2,3,1,0,0,13,1,2.6,2.6,2.1,4.7,25,151,31,0.03,0.07,0.10,0.03,0.10,0.09,0.07,0.16,0.09,0.16,Matches
Angeliño,es ESP,"DF,FW",RB Leipzig,22,1997,13,12,"1,095",12.2,1,2,3,1,0,0,2,0,0.9,0.9,2.0,2.9,24,56,92,0.08,0.16,0.25,0.08,0.25,0.07,0.16,0.24,0.07,0.24,Matches
Christopher Antwi-Adjei,gh GHA,"MF,FW",Paderborn 07,25,1994,34,28,"2,470",27.4,1,2,3,1,0,0,2,0,3.8,3.8,4.2,8.0,114,68,155,0.04,0.07,0.11,0.04,0.11,0.14,0.15,0.29,0.14,0.29,Matches
