player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,18,10,4,6,8,5,17,29.4,12,28,2,26,6,24,7,0,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,1,0,0,1,0,0,0,,0,1,1,0,0,1,0,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,17,11,7,7,3,8,20,40.0,12,16,5,11,8,25,7,0,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,6,5,1,4,1,1,9,11.1,8,8,2,6,1,7,8,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,75,44,45,27,3,32,45,71.1,13,45,16,29,24,99,70,1,Matches
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,3,2,1,0,2,0,1,0.0,1,0,0,0,2,5,13,0,Matches
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,8,5,3,4,1,3,9,33.3,6,3,0,3,1,9,3,0,Matches
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,5,4,2,3,0,2,6,33.3,4,0,0,0,3,8,4,0,Matches
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,1,0,1,0,0,1,4,25.0,3,1,0,1,0,1,2,1,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,15,6,5,8,2,9,20,45.0,11,12,1,11,6,21,10,2,Matches
Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,61,38,30,27,4,26,45,57.8,19,27,9,18,42,103,55,2,Matches
Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,40,24,19,18,3,23,37,62.2,14,32,6,26,25,65,67,0,Matches
