ID,Name,Team,birth_year,Stats,Einsatzquote
6174,Arthur,Bayer 04 Leverkusen,2003,"{'Passquote': '77,0%', 'Zweikampfquote': '39,0%', 'Luftkämpfe': '41,7%', 'Tacklingquote': '53,3%', 'Begangene Fouls': '1,93', 'Geklärte Bälle': '2,51', 'Abgefangene Bälle': '1,55', 'Balleroberungen': '1,55', 'Ballverluste': '2,9', 'Erfolgreiche Dribblings': '14,3%', 'Torschussvorlagen': '0,39', 'Kreierte Großchancen': '0,19', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,58'}",20
573,Granit Xhaka,Bayer 04 Leverkusen,1992,"{'Passquote': '90,2%', 'Zweikampfquote': '58,0%', 'Luftkämpfe': '61,5%', 'Tacklingquote': '42,6%', 'Begangene Fouls': '0,86', 'Geklärte Bälle': '1,15', 'Abgefangene Bälle': '0,33', 'Balleroberungen': '0,82', 'Ballverluste': '0,58', 'Erfolgreiche Dribblings': '42,9%', 'Torschussvorlagen': '1,64', 'Kreierte Großchancen': '0,16', 'Schüsse aufs Tor': '0,29', 'Schussgenauigkeit': '43,8%', 'Fehler vor Schuss/Gegentor': '0,04', 'Geblockte Bälle': '0,29'}",94
663,Robert Andrich,Bayer 04 Leverkusen,1994,"{'Passquote': '89,3%', 'Zweikampfquote': '52,6%', 'Luftkämpfe': '61,5%', 'Tacklingquote': '40,0%', 'Begangene Fouls': '1,73', 'Geklärte Bälle': '1,04', 'Abgefangene Bälle': '1,45', 'Balleroberungen': '0,69', 'Ballverluste': '0,28', 'Erfolgreiche Dribblings': '40,0%', 'Torschussvorlagen': '0,49', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0,76', 'Schussgenauigkeit': '57,9%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,49'}",48
4199,Aleix García,Bayer 04 Leverkusen,1997,"{'Passquote': '87,4%', 'Zweikampfquote': '44,8%', 'Luftkämpfe': '28,6%', 'Tacklingquote': '30,0%', 'Begangene Fouls': '0,4', 'Geklärte Bälle': '1,3', 'Abgefangene Bälle': '0,3', 'Balleroberungen': '0,3', 'Ballverluste': '0,3', 'Erfolgreiche Dribblings': '33,3%', 'Torschussvorlagen': '1,7', 'Kreierte Großchancen': '0,6', 'Schüsse aufs Tor': '0,5', 'Schussgenauigkeit': '71,4%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,1'}",44
2766,Exequiel Palacios,Bayer 04 Leverkusen,1998,"{'Passquote': '90,3%', 'Zweikampfquote': '46,8%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '0,56', 'Geklärte Bälle': '0,7', 'Abgefangene Bälle': '1,11', 'Balleroberungen': '1,39', 'Ballverluste': '1,53', 'Erfolgreiche Dribblings': '100,0%', 'Torschussvorlagen': '2,09', 'Kreierte Großchancen': '0,56', 'Schüsse aufs Tor': '0,7', 'Schussgenauigkeit': '83,3%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,28'}",41
2795,Florian Wirtz,Bayer 04 Leverkusen,2003,"{'Passquote': '79,7%', 'Zweikampfquote': '46,6%', 'Luftkämpfe': '16,2%', 'Tacklingquote': '44,4%', 'Begangene Fouls': '0,76', 'Geklärte Bälle': '0,14', 'Abgefangene Bälle': '0,33', 'Balleroberungen': '0,76', 'Ballverluste': '4,76', 'Erfolgreiche Dribblings': '52,9%', 'Torschussvorlagen': '2,19', 'Kreierte Großchancen': '0,67', 'Schüsse aufs Tor': '2,33', 'Schussgenauigkeit': '77,8%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,05'}",85
7463,Francis Onyeka,Bayer 04 Leverkusen,2007,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",1
10079,Emiliano Buendía,Bayer 04 Leverkusen,1996,"{'Passquote': '76,0%', 'Zweikampfquote': '30,0%', 'Luftkämpfe': '50,0%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '5', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '1,25', 'Ballverluste': '1,25', 'Erfolgreiche Dribblings': '100,0%', 'Torschussvorlagen': '3,75', 'Kreierte Großchancen': '2,5', 'Schüsse aufs Tor': '2,5', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",14
0,Kerim Alajbegović,Bayer 04 Leverkusen,2007,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0
78,Jonas Hofmann,Bayer 04 Leverkusen,1992,"{'Passquote': '87,1%', 'Zweikampfquote': '47,1%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0,37', 'Geklärte Bälle': '0,74', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0,74', 'Erfolgreiche Dribblings': '66,7%', 'Torschussvorlagen': '1,48', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,85', 'Schussgenauigkeit': '100,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",17
7269,Nathan Tella,Bayer 04 Leverkusen,1999,"{'Passquote': '74,6%', 'Zweikampfquote': '47,6%', 'Luftkämpfe': '43,5%', 'Tacklingquote': '30,8%', 'Begangene Fouls': '1,25', 'Geklärte Bälle': '0,31', 'Abgefangene Bälle': '0,42', 'Balleroberungen': '0,42', 'Ballverluste': '3,65', 'Erfolgreiche Dribblings': '35,9%', 'Torschussvorlagen': '0,73', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '1,46', 'Schussgenauigkeit': '70,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",44
2746,Patrik Schick,Bayer 04 Leverkusen,1996,"{'Passquote': '78,4%', 'Zweikampfquote': '39,7%', 'Luftkämpfe': '52,6%', 'Tacklingquote': '42,9%', 'Begangene Fouls': '1,18', 'Geklärte Bälle': '1', 'Abgefangene Bälle': '0,18', 'Balleroberungen': '0,27', 'Ballverluste': '2,99', 'Erfolgreiche Dribblings': '31,6%', 'Torschussvorlagen': '0,54', 'Kreierte Großchancen': '0,09', 'Schüsse aufs Tor': '2,81', 'Schussgenauigkeit': '70,5%', 'Fehler vor Schuss/Gegentor': '0,09', 'Geblockte Bälle': '0'}",48
