player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.3,0.6,-0.3,7,5,6,0,17,Matches
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,37,64,57.8,481,117,22,32,68.8,10,18,55.6,1,3,33.3,1,0.4,0.3,+0.6,3,3,3,2,2,Matches
Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,794,918,86.5,11903,3451,424,460,92.2,278,307,90.6,49,71,69.0,1,0.9,1.4,+0.1,7,85,8,0,96,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,73,101,72.3,991,255,44,57,77.2,28,35,80.0,0,3,0.0,0,0.5,0.5,-0.5,4,5,4,2,9,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,14.0,376,516,72.9,5007,1529,219,272,80.5,125,166,75.3,9,18,50.0,2,2.1,1.5,-0.1,14,27,19,4,56,Matches
Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,28,32,87.5,501,62,14,15,93.3,10,11,90.9,4,6,66.7,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,1819,2013,90.4,36320,13836,585,629,93.0,973,1018,95.6,235,314,74.8,0,0.1,0.7,-0.1,2,122,2,0,115,Matches
Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,691,917,75.4,11479,4667,332,384,86.5,289,358,80.7,52,111,46.8,2,2.6,2.0,-0.6,11,57,11,2,87,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,115,171,67.3,1392,257,68,92,73.9,30,44,68.2,3,6,50.0,0,1.0,1.5,-1.0,7,5,5,0,10,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,183,222,82.4,2857,576,97,105,92.4,59,72,81.9,18,28,64.3,0,0.3,0.4,-0.3,3,10,8,0,21,Matches
