player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-066,2000,3.6,77,100,77.0,1059,287,46,49,93.9,24,30,80.0,2,7,28.6,0,0.3,0.4,-0.3,4,8,0,0,9,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-123,2003,1.1,41,50,82.0,576,71,20,25,80.0,20,22,90.9,0,2,0.0,1,0.1,0.1,+0.9,1,4,2,0,5,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-204,2001,1.1,15,25,60.0,154,26,12,13,92.3,1,8,12.5,0,1,0.0,0,0.1,0.0,-0.1,1,0,1,0,1,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-218,1993,1.6,28,36,77.8,354,134,16,19,84.2,10,12,83.3,0,1,0.0,1,0.5,0.4,+0.5,3,3,1,0,5,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-343,2002,4.1,86,119,72.3,1184,344,48,60,80.0,28,38,73.7,4,7,57.1,1,0.9,1.0,+0.1,3,6,4,1,13,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-231,2000,2.9,109,141,77.3,1413,396,75,86,87.2,26,33,78.8,3,11,27.3,3,0.6,0.9,+2.4,9,9,4,0,15,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-091,1999,2.2,71,102,69.6,1100,440,36,49,73.5,32,37,86.5,3,7,42.9,0,0.1,0.2,-0.1,2,1,4,1,8,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-305,1994,9.8,189,257,73.5,2621,287,102,133,76.7,56,77,72.7,11,14,78.6,0,0.7,1.2,-0.7,11,10,1,0,11,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-252,1995,6.4,293,347,84.4,5476,1932,118,131,90.1,136,151,90.1,35,54,64.8,0,0.1,0.3,-0.1,2,36,0,0,31,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-162,2001,3.0,57,78,73.1,799,144,32,40,80.0,20,24,83.3,2,7,28.6,0,0.1,0.4,-0.1,2,2,2,1,9,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-061,1996,0.2,13,18,72.2,182,52,5,5,100.0,5,7,71.4,1,1,100.0,0,0.0,0.0,0.0,0,1,0,0,3,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-235,2005,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-096,1994,3.7,261,294,88.8,3773,1243,148,153,96.7,91,106,85.8,12,17,70.6,0,0.0,0.2,0.0,0,16,1,0,12,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-160,1996,15.6,1072,1212,88.4,19884,6969,373,395,94.4,615,657,93.6,72,135,53.3,1,0.2,0.6,+0.8,3,87,2,0,90,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-323,1994,7.1,149,235,63.4,2407,820,82,98,83.7,45,71,63.4,18,45,40.0,1,2.3,2.1,-1.3,13,5,10,4,15,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-214,1994,10.9,493,604,81.6,9723,2789,183,203,90.1,231,262,88.2,72,120,60.0,0,1.5,1.2,-1.5,17,64,9,1,58,Matches
Arthur,br BRA,DF,Leverkusen,20-285,2003,0.4,20,22,90.9,341,56,11,11,100.0,4,5,80.0,4,4,100.0,0,0.0,0.0,0.0,0,1,1,0,2,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-047,1994,13.1,135,202,66.8,1792,435,90,114,78.9,34,50,68.0,4,11,36.4,1,0.9,0.5,+0.1,13,11,7,0,22,Matches
Noah Atubolu,de GER,GK,Freiburg,21-216,2002,16.0,455,640,71.1,13136,9650,77,78,98.7,219,222,98.6,159,339,46.9,0,0.0,0.0,0.0,0,9,0,0,1,Matches
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-193,1997,9.8,328,448,73.2,6068,1868,132,158,83.5,159,196,81.1,34,68,50.0,1,2.0,2.7,-1.0,13,18,15,4,35,Matches
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-263,1998,10.0,429,556,77.2,6953,2171,209,237,88.2,177,228,77.6,35,64,54.7,0,1.6,1.6,-1.6,14,28,14,8,41,Matches
Samuel Bamba,de GER,FW,Dortmund,19-317,2004,0.5,14,20,70.0,207,42,11,12,91.7,1,2,50.0,2,4,50.0,0,0.1,0.1,-0.1,1,0,1,0,2,Matches
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-220,1998,3.6,118,184,64.1,1842,639,64,90,71.1,39,59,66.1,9,20,45.0,0,0.3,0.6,-0.3,5,11,4,1,16,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-358,2000,13.9,371,494,75.1,6016,1727,177,222,79.7,156,197,79.2,29,45,64.4,0,0.5,0.5,-0.5,9,40,7,2,48,Matches
Daniel Batz,de GER,GK,Mainz 05,32-349,1991,4.0,104,153,68.0,2854,2094,18,19,94.7,53,55,96.4,33,79,41.8,0,0.0,0.0,0.0,0,5,0,0,0,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-321,2000,5.5,243,286,85.0,4454,1497,84,93,90.3,141,156,90.4,14,30,46.7,0,0.0,0.0,0.0,0,10,0,0,11,Matches
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-062,2005,0.2,7,10,70.0,113,69,3,5,60.0,4,5,80.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-208,1990,16.0,469,642,73.1,13334,10006,84,85,98.8,225,226,99.6,158,327,48.3,1,0.1,0.1,+0.9,1,13,0,0,0,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-148,1999,6.9,182,243,74.9,2584,750,97,117,82.9,65,79,82.3,9,14,64.3,1,1.0,1.0,0.0,11,21,6,1,33,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-248,1994,8.0,165,238,69.3,2426,824,92,116,79.3,55,78,70.5,8,18,44.4,0,0.2,0.5,-0.2,5,6,4,0,17,Matches
Adrian Beck,de GER,MF,Heidenheim,26-201,1997,6.3,178,235,75.7,2781,530,94,115,81.7,65,76,85.5,12,19,63.2,1,0.7,0.4,+0.3,8,10,2,0,10,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-321,1995,7.2,183,280,65.4,3161,770,92,117,78.6,70,108,64.8,18,36,50.0,1,1.8,1.6,-0.8,12,15,12,7,20,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-327,1991,12.1,178,278,64.0,2830,706,93,128,72.7,57,83,68.7,19,29,65.5,0,0.8,1.1,-0.8,15,20,7,0,40,Matches
Maximilian Beier,de GER,FW,Hoffenheim,21-071,2002,10.5,119,185,64.3,1484,267,72,93,77.4,33,54,61.1,2,7,28.6,0,0.2,0.6,-0.2,5,2,9,1,14,Matches
Stefan Bell,de GER,DF,Mainz 05,32-125,1991,7.4,297,370,80.3,5526,2509,122,137,89.1,141,163,86.5,31,60,51.7,0,0.1,0.3,-0.1,1,16,3,1,23,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-255,1995,11.1,690,832,82.9,11276,3543,338,376,89.9,294,333,88.3,43,76,56.6,0,0.4,0.9,-0.4,6,62,9,1,74,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-230,1998,1.6,22,33,66.7,290,91,11,15,73.3,7,10,70.0,1,2,50.0,0,0.3,0.1,-0.3,2,2,1,0,3,Matches
Mergim Berisha,de GER,FW,Augsburg,25-230,1998,1.4,10,14,71.4,142,73,6,8,75.0,2,3,66.7,1,1,100.0,0,0.1,0.1,-0.1,2,1,1,1,1,Matches
Bernardo,br BRA,DF,Bochum,28-227,1995,16.0,559,755,74.0,10517,4044,221,265,83.4,265,326,81.3,62,130,47.7,0,0.2,0.3,-0.2,6,46,4,2,40,Matches
Matúš Bero,sk SVK,"MF,FW",Bochum,28-112,1995,6.4,126,174,72.4,1883,539,67,85,78.8,46,57,80.7,7,19,36.8,0,0.5,0.4,-0.5,4,9,3,1,10,Matches
Jan-Niklas Beste,de GER,"FW,MF",Heidenheim,24-357,1999,13.0,236,399,59.1,4453,1839,108,136,79.4,68,117,58.1,48,106,45.3,7,3.0,2.9,+4.0,34,10,10,4,23,Matches
Tom Bischof,de GER,"MF,FW",Hoffenheim,18-182,2005,1.6,65,81,80.2,1124,461,32,38,84.2,26,29,89.7,5,8,62.5,1,0.7,0.6,+0.3,4,11,2,1,15,Matches
Leonardo Bittencourt,de GER,MF,Werder Bremen,30-008,1993,8.4,292,365,80.0,4814,1163,142,160,88.8,122,146,83.6,24,43,55.8,1,1.1,1.3,-0.1,8,23,8,2,36,Matches
Janis Blaswich,de GER,GK,RB Leipzig,32-239,1991,16.0,642,743,86.4,14812,7960,137,140,97.9,372,376,98.9,132,224,58.9,0,0.0,0.1,0.0,0,7,0,0,3,Matches
Victor Boniface,ng NGA,FW,Leverkusen,23-004,2000,14.2,225,315,71.4,3242,647,123,161,76.4,75,89,84.3,13,21,61.9,7,3.6,2.9,+3.4,20,12,11,0,29,Matches
