player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,20,0.78,17,2,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
Amir Abrashi,al ALB,MF,Freiburg,27,1990,9.4,14,1.48,10,0,0,1,3,0,2,0.21,2,0,0,0,0,0,Matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,5,0.36,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ailton,br BRA,"DF,MF",Stuttgart,22,1995,1.2,2,1.65,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,10.0,7,0.70,5,0,1,0,0,1,1,0.10,1,0,0,0,0,0,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,12.2,37,3.02,25,1,5,4,1,1,4,0.33,0,0,3,1,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,15,0.80,15,0,0,0,0,0,1,0.05,1,0,0,0,0,0,Matches
David Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,53,3.07,44,4,1,3,0,1,4,0.23,4,0,0,0,0,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,17.2,40,2.33,27,0,7,1,4,1,7,0.41,4,0,2,0,1,0,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,7.8,20,2.56,15,1,1,1,1,1,3,0.38,3,0,0,0,0,0,Matches
Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,13.9,60,4.33,52,3,1,0,2,2,5,0.36,4,0,1,0,0,0,Matches
Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,0.5,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,19.4,74,3.83,55,7,3,7,2,0,6,0.31,5,0,0,1,0,0,Matches
Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,25.3,14,0.55,13,0,0,1,0,0,2,0.08,2,0,0,0,0,0,Matches
Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,21.7,43,1.98,28,14,0,1,0,0,8,0.37,3,4,0,1,0,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,25.6,71,2.78,59,4,0,3,2,3,6,0.23,4,1,0,0,0,1,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,27.3,83,3.05,55,22,0,1,4,1,3,0.11,2,1,0,0,0,0,Matches
Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,9.4,18,1.91,9,0,4,1,3,1,2,0.21,1,0,1,0,0,0,Matches
Takuma Asano,jp JPN,"FW,MF",Stuttgart,22,1994,8.0,21,2.61,19,0,1,1,0,0,1,0.12,1,0,0,0,0,0,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,26.5,32,1.21,21,0,1,2,5,3,2,0.08,1,0,0,1,0,0,Matches
Simon Asta,de GER,MF,Augsburg,16,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,15.7,37,2.35,26,0,3,6,1,1,10,0.64,4,0,2,3,1,0,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,14.1,39,2.77,22,0,7,5,5,0,9,0.64,7,0,0,1,1,0,Matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,23,1994,28.1,64,2.27,46,11,0,6,1,0,3,0.11,2,0,0,1,0,0,Matches
Yann Aurel Bisseck,de GER,"DF,MF",Köln,16,2000,1.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Holger Badstuber,de GER,"DF,MF",Stuttgart,28,1989,24.1,9,0.37,7,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Daniel Baier,de GER,MF,Augsburg,33,1984,28.2,73,2.59,57,3,0,6,5,2,7,0.25,5,1,0,1,0,0,Matches
Leon Bailey,jm JAM,"FW,DF",Leverkusen,19,1997,24.6,128,5.20,66,26,20,7,5,4,15,0.61,7,2,5,0,0,1,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,22.8,43,1.88,28,0,4,3,8,0,5,0.22,3,0,1,1,0,0,Matches
Ridle Baku,de GER,MF,Mainz 05,19,1998,2.6,8,3.09,2,0,1,2,2,1,2,0.77,1,0,1,0,0,0,Matches
Leon Balogun,ng NGA,DF,Mainz 05,29,1988,13.0,5,0.38,4,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,20.7,32,1.55,24,0,1,3,2,2,3,0.15,2,0,0,0,0,1,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,19,1998,3.5,8,2.29,6,0,0,0,1,1,1,0.29,1,0,0,0,0,0,Matches
Fin Bartels,de GER,FW,Werder Bremen,30,1987,12.5,44,3.53,34,1,3,2,4,0,6,0.48,4,1,0,0,1,0,Matches
Marc Bartra,es ESP,DF,Dortmund,26,1991,9.0,12,1.34,8,0,1,1,1,1,1,0.11,0,0,0,1,0,0,Matches
Michy Batshuayi,be BEL,FW,Dortmund,23,1993,9.3,21,2.26,13,0,0,6,0,2,4,0.43,3,0,0,0,0,1,Matches
