ID,Name,Born,Position,Value,Squad,Zustand,Stats,Einsätze,Spieltagspunkte,Punkteschnitt,Punktetotal
2915,Bouna Sarr,1992,Abwehrspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '75,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '4,29', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
3477,Noussair Mazraoui,1997,Abwehrspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '87,6%', 'Zweikampfquote': '53,3%', 'Luftkämpfe': '68,8%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '1,65', 'Geklärte Bälle': '1,24', 'Abgefangene Bälle': '1,24', 'Balleroberungen': '0,62', 'Ballverluste': '1,65', 'Erfolgreiche Dribblings': '55,6%', 'Torschussvorlagen': '1,24', 'Kreierte Großchancen': '0,21', 'Schüsse aufs Tor': '0,62', 'Schussgenauigkeit': '60,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",3,50,"110,33",331
1685,Joshua Kimmich,1995,Mittelfeldspieler," 0,13 ⌀ (1) ",FC Bayern München,Fit,"{'Passquote': '87,2%', 'Zweikampfquote': '58,1%', 'Luftkämpfe': '66,7%', 'Tacklingquote': '50,0%', 'Begangene Fouls': '0,51', 'Geklärte Bälle': '0,51', 'Abgefangene Bälle': '1,02', 'Balleroberungen': '1,4', 'Ballverluste': '1,02', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '3,05', 'Kreierte Großchancen': '0,38', 'Schüsse aufs Tor': '0,76', 'Schussgenauigkeit': '54,5%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,13'}",3,341,"223,00",669
6080,Aleksandar Pavlović,2004,Mittelfeldspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
660,Leon Goretzka,1995,Mittelfeldspieler," 0,15 ⌀ (1) ",FC Bayern München,Verletzung,"{'Passquote': '87,7%', 'Zweikampfquote': '52,0%', 'Luftkämpfe': '47,6%', 'Tacklingquote': '33,3%', 'Begangene Fouls': '0,31', 'Geklärte Bälle': '1,39', 'Abgefangene Bälle': '1,39', 'Balleroberungen': '0,62', 'Ballverluste': '0,93', 'Erfolgreiche Dribblings': '40,0%', 'Torschussvorlagen': '0,62', 'Kreierte Großchancen': '0,15', 'Schüsse aufs Tor': '2', 'Schussgenauigkeit': '68,4%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,15'}",3,161,"163,00",489
2038,Konrad Laimer,1997,Mittelfeldspieler," 0,37 ⌀ (2) ",FC Bayern München,Fit,"{'Passquote': '88,1%', 'Zweikampfquote': '50,8%', 'Luftkämpfe': '40,0%', 'Tacklingquote': '56,2%', 'Begangene Fouls': '1,67', 'Geklärte Bälle': '1,11', 'Abgefangene Bälle': '0,37', 'Balleroberungen': '1,67', 'Ballverluste': '2,23', 'Erfolgreiche Dribblings': '55,0%', 'Torschussvorlagen': '1,3', 'Kreierte Großchancen': '0,37', 'Schüsse aufs Tor': '0,37', 'Schussgenauigkeit': '66,7%', 'Fehler vor Schuss/Gegentor': '0,19', 'Geblockte Bälle': '0,37'}",3,140,"77,33",232
0,Taichi Fukui,2004,Mittelfeldspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '0,0%', 'Zweikampfquote': '0,0%', 'Luftkämpfe': '0,0%', 'Tacklingquote': '0,0%', 'Begangene Fouls': '0', 'Geklärte Bälle': '0', 'Abgefangene Bälle': '0', 'Balleroberungen': '0', 'Ballverluste': '0', 'Erfolgreiche Dribblings': '0,0%', 'Torschussvorlagen': '0', 'Kreierte Großchancen': '0', 'Schüsse aufs Tor': '0', 'Schussgenauigkeit': '0,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",0,0,0,0
450,Thomas Müller,1989,Mittelfeldspieler, 0 ⌀  ,FC Bayern München,Fit,"{'Passquote': '73,0%', 'Zweikampfquote': '48,1%', 'Luftkämpfe': '55,6%', 'Tacklingquote': '45,5%', 'Begangene Fouls': '0,34', 'Geklärte Bälle': '0,68', 'Abgefangene Bälle': '0', 'Balleroberungen': '1,7', 'Ballverluste': '1,36', 'Erfolgreiche Dribblings': '50,0%', 'Torschussvorlagen': '2,38', 'Kreierte Großchancen': '0,68', 'Schüsse aufs Tor': '1,02', 'Schussgenauigkeit': '60,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0'}",3,76,"72,33",217
2804,Jamal Musiala,2003,Mittelfeldspieler," 0,29 ⌀ (1) ",FC Bayern München,Fit,"{'Passquote': '83,0%', 'Zweikampfquote': '46,2%', 'Luftkämpfe': '50,0%', 'Tacklingquote': '66,7%', 'Begangene Fouls': '1,74', 'Geklärte Bälle': '0,29', 'Abgefangene Bälle': '0,29', 'Balleroberungen': '1,16', 'Ballverluste': '7,55', 'Erfolgreiche Dribblings': '54,8%', 'Torschussvorlagen': '1,45', 'Kreierte Großchancen': '0,29', 'Schüsse aufs Tor': '0,87', 'Schussgenauigkeit': '75,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,29'}",1,,"146,00",146
1774,Kingsley Coman,1996,Mittelfeldspieler," 0,34 ⌀ (2) ",FC Bayern München,Fit,"{'Passquote': '80,6%', 'Zweikampfquote': '47,8%', 'Luftkämpfe': '40,0%', 'Tacklingquote': '45,5%', 'Begangene Fouls': '0,68', 'Geklärte Bälle': '0,51', 'Abgefangene Bälle': '0', 'Balleroberungen': '0,85', 'Ballverluste': '4,4', 'Erfolgreiche Dribblings': '41,9%', 'Torschussvorlagen': '2,37', 'Kreierte Großchancen': '0,34', 'Schüsse aufs Tor': '1,52', 'Schussgenauigkeit': '60,0%', 'Fehler vor Schuss/Gegentor': '0', 'Geblockte Bälle': '0,34'}",3,54,"101,00",303
