,ID,Name,Value
126,-2329629727064030749,Christian Günter,19.627.135
127,-7924437907761969373,Jordy Makengo,-
128,5135822654127212984,Lukas Kübler,11.604.450
129,-322355044394708155,Kiliann Sildillia,8.320.760
130,8737008251955314925,Nicolas Höfler,9.880.428
131,2740097859643036798,Yannik Keitel,4.144.300
132,9120010168916959109,Merlin Röhl,6.957.886
133,8963282655079268443,Maximilian Eggestein,16.493.595
134,-7155625733087458926,Daniel-Kofi Kyereh,500.000
135,-4563064275537497226,Vincenzo Grifo,40.295.853
136,-5493671927586910726,Noah Weißhaupt,2.707.328
137,-670968339678299192,Roland Sallai,10.282.787
138,6185425372238528604,Ritsu Doan,19.113.746
139,-4955264802073274031,Michael Gregoritsch,25.229.402
140,4825706878850532195,Maximilian Philipp,4.077.257
141,-6092666389568838169,Lucas Höler,16.179.836
142,8688806884011827419,Maximilian Breunig,-
143,-1830693133860134270,Junior Adamu,4.672.816
144,-7272474308446816049,Niklas Lomb,500.000
145,4860332951163906269,Lukáš Hrádecký,15.767.002
146,-6197310063006435750,Matěj Kovář,730.733
147,3039078049621408707,Jonathan Tah,16.925.690
148,6306618672658740388,Edmond Tapsoba,22.108.374
149,-6798137366173855917,Josip Stanišić,6.586.142
150,-8676092051052640263,Odilon Kossounou,11.261.887
151,-7094151505143252151,Piero Hincapié,8.226.069
152,-5135121833860023225,Madi Monamay,-
153,-8211963725820542278,Reno Münz,-
154,8466161677415947610,Alejandro Grimaldo,24.584.282
155,-4103803283073379743,Timothy Fosu-Mensah,2.861.986
156,8007896577731055435,Jeremie Frimpong,33.189.651
157,-5840407360816828054,Arthur,4.603.918
158,4117832663060963809,Granit Xhaka,29.574.155
159,-5170761896089257658,Robert Andrich,15.696.936
160,-7814487030030525761,Noah Mbamba,1.243.662
161,-2412225778405430626,Nadiem Amiri,4.903.426
162,4176396533179322615,Exequiel Palacios,19.117.725
163,-345836424293294937,Gustavo Puerta,901.386
164,-9126085835425688805,Florian Wirtz,42.095.904
165,-522249968501633945,Ayman Aourir,-
166,3639573086556413278,Adam Hložek,8.405.132
167,3029505372838783841,Amine Adli,9.913.584
168,2754734041960086867,Jonas Hofmann,38.943.894
169,-3543713017524723320,Patrik Schick,4.755.819
170,6408013875447902588,Victor Boniface,26.920.902
171,7041422059871118028,Kevin Trapp,17.087.720
172,1082489605517372027,Jens Grahl,500.000
173,-6216276626311918385,Simon Simoni,1.126.419
174,2631247978288102766,Makoto Hasebe,6.071.894
175,-8524065997446788703,Robin Koch,17.277.822
176,-1483403965333973730,Tuta,15.667.135
177,8440824051649869887,Nnamdi Collins,-
178,-7396064418927844586,Hrvoje Smolčić,1.198.133
179,-1043219935770846963,Dario Gebuhr,500.000
180,-5759445357063987879,Willian Pacho,13.183.825
181,-7205804047279089345,Davis Bautista,-
182,-4880103965611561885,Christopher Lenz,1.338.671
183,7778526935807094639,Philipp Max,13.824.485
184,2326629982182234071,Timothy Chandler,500.000
185,6065750768343817982,Aurélio Buta,11.725.952
186,6902709245762654872,Ellyes Skhiri,25.068.346
187,6548693808324656964,Kristijan Jakić,4.124.642
188,3407530849291947145,Sebastian Rode,3.203.882
