player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,4,0,0,1,4,0,4,1,1,100.0,0,0.0,3,55,8,0,2,0,1,0,2,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,839,94,370,434,47,8,839,7,6,85.7,1,14.3,418,2652,1566,20,14,0,5,2,442,7,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,8.8,461,24,112,294,58,1,461,5,3,60.0,2,40.0,193,944,422,6,4,1,4,8,266,9,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,8.0,641,16,87,443,119,6,641,19,14,73.7,5,26.3,292,1928,1164,19,19,0,18,6,405,12,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,0.9,46,0,6,18,22,1,46,1,0,0.0,1,100.0,14,49,28,0,0,0,1,0,17,3,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,24.5,2068,143,758,1249,68,17,2068,12,8,66.7,4,33.3,1445,8650,5018,24,13,1,9,6,1592,11,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,5.8,230,0,23,116,93,15,230,14,7,50.0,7,50.0,137,728,356,14,8,4,16,11,157,40,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,345,37,142,197,9,0,345,1,1,100.0,0,0.0,187,841,452,4,2,0,4,3,198,0,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,208,12,82,119,9,0,208,2,2,100.0,0,0.0,126,696,392,2,3,0,2,2,132,0,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,2385,46,464,1199,743,62,2385,39,29,74.4,10,25.6,1302,6461,3325,87,63,11,26,19,1651,240,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,14.1,572,14,62,238,274,80,572,15,5,33.3,10,66.7,284,1102,347,12,5,7,41,24,460,86,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,18.4,1154,54,337,541,288,15,1154,25,7,28.0,18,72.0,522,2613,1244,34,24,5,27,18,644,75,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,13.5,396,6,17,171,210,68,395,8,6,75.0,2,25.0,195,709,289,12,9,9,19,13,287,70,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,26.8,2830,39,488,1865,505,29,2830,67,57,85.1,10,14.9,1698,8863,4874,49,60,4,21,28,2094,56,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,2.0,81,1,13,51,21,1,81,1,1,100.0,0,0.0,35,242,116,4,4,1,3,1,47,3,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,0.1,5,1,1,2,2,1,5,0,0,,0,,1,1,0,0,0,0,0,0,2,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,8.4,469,7,64,257,155,18,469,27,20,74.1,7,25.9,271,1802,853,22,20,6,11,13,331,36,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34.0,2154,263,1062,1029,86,30,2154,26,17,65.4,9,34.6,1165,7513,4224,35,20,3,22,15,1227,17,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,11.4,654,20,135,411,112,8,654,6,5,83.3,1,16.7,303,1388,605,12,6,1,6,7,416,13,Matches
