player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,51,71,71.8,659,109,36,38,94.7,14,23,60.9,1,6,16.7,0,0.0,0.1,0.0,1,3,0,0,6,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,123,179,68.7,2000,527,61,76,80.3,48,64,75.0,10,16,62.5,2,0.8,1.4,+1.2,8,7,11,2,24,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,335,457,73.3,4409,1278,197,243,81.1,97,125,77.6,13,27,48.1,5,3.7,3.7,+1.3,28,17,25,0,47,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,427,565,75.6,5845,1373,240,296,81.1,138,166,83.1,18,34,52.9,3,1.7,1.9,+1.3,20,26,10,0,49,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,16,25,64.0,299,144,4,5,80.0,9,10,90.0,2,6,33.3,0,0.1,0.1,-0.1,1,1,1,0,2,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,449,529,84.9,6965,1651,223,242,92.1,187,204,91.7,21,40,52.5,2,1.2,0.9,+0.8,15,38,7,2,56,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,243,415,58.6,3550,613,153,231,66.2,55,104,52.9,22,28,78.6,1,1.7,1.6,-0.7,13,17,8,0,31,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,814,1024,79.5,15380,5931,275,319,86.2,437,495,88.3,83,162,51.2,0,0.5,0.8,-0.5,5,83,10,3,85,Matches
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,56,85,65.9,792,190,29,41,70.7,20,28,71.4,4,5,80.0,0,0.0,0.4,0.0,1,4,0,0,8,Matches
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,74,101,73.3,1164,410,38,41,92.7,33,46,71.7,2,9,22.2,1,0.5,0.3,+0.5,3,8,7,3,16,Matches
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,64,91,70.3,1237,408,21,29,72.4,34,39,87.2,9,18,50.0,0,0.3,0.2,-0.3,4,11,0,0,12,Matches
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,3,3,100.0,43,4,2,2,100.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,423,507,83.4,6968,1759,212,233,91.0,149,168,88.7,45,68,66.2,1,1.1,1.8,-0.1,15,38,9,1,55,Matches
Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,1218,1455,83.7,19896,5759,594,675,88.0,496,581,85.4,82,123,66.7,2,1.2,0.9,+0.8,18,77,11,2,99,Matches
Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,1012,1544,65.5,19297,7991,424,501,84.6,433,616,70.3,143,339,42.2,8,7.2,7.7,+0.8,50,82,52,29,108,Matches
Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,1629,2059,79.1,32013,12155,539,629,85.7,913,1044,87.5,167,324,51.5,2,1.4,1.4,+0.6,10,112,16,4,135,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,432,712,60.7,6857,2576,234,287,81.5,145,243,59.7,37,116,31.9,6,3.8,3.8,+2.2,33,17,30,15,36,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,248,311,79.7,3706,1211,136,154,88.3,84,96,87.5,15,39,38.5,0,0.2,0.2,-0.2,3,21,3,0,32,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,1269,1642,77.3,28055,8726,360,405,88.9,645,741,87.0,247,448,55.1,3,4.9,4.9,-1.9,43,115,19,2,150,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,19.0,237,342,69.3,3302,967,147,183,80.3,72,98,73.5,8,23,34.8,3,2.1,2.1,+0.9,22,18,18,7,34,Matches
Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,37,63,58.7,384,62,28,43,65.1,5,7,71.4,0,0,,0,0.2,0.1,-0.2,3,1,0,0,1,Matches
Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,178,280,63.6,3104,1260,88,112,78.6,72,105,68.6,15,35,42.9,0,0.8,0.3,-0.8,4,13,5,3,15,Matches
Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,162,247,65.6,2373,844,89,130,68.5,41,56,73.2,15,20,75.0,1,2.5,1.4,-1.5,14,23,9,0,32,Matches
Sanoussy Ba,de GER,DF,RB Leipzig,18,2004,0.0,0,0,,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mitchel Bakker,nl NED,"DF,MF",Leverkusen,22,2000,18.4,764,968,78.9,11670,3583,443,505,87.7,258,328,78.7,47,93,50.5,2,2.0,1.3,0.0,17,36,14,2,57,Matches
Ridle Baku,de GER,"DF,FW",Wolfsburg,24,1998,28.7,1216,1551,78.4,22159,7294,486,563,86.3,593,719,82.5,121,202,59.9,3,4.1,5.0,-1.1,28,116,37,14,126,Matches
Aymen Barkok,ma MAR,MF,Mainz 05,24,1998,6.5,181,264,68.6,2801,919,92,119,77.3,64,91,70.3,14,20,70.0,1,0.9,1.2,+0.1,8,18,7,1,40,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,22,2000,23.8,379,557,68.0,5320,1806,226,285,79.3,118,170,69.4,16,44,36.4,3,2.2,1.3,+0.8,16,48,5,1,54,Matches
Gil Bastião Dias,pt POR,FW,Stuttgart,25,1996,4.4,120,174,69.0,1874,372,57,77,74.0,52,61,85.2,5,13,38.5,0,0.7,0.5,-0.7,8,7,7,1,14,Matches
Maximilian Bauer,de GER,DF,Augsburg,22,2000,20.5,551,758,72.7,11267,4449,177,208,85.1,290,342,84.8,74,178,41.6,1,0.4,0.2,+0.6,4,30,2,0,40,Matches
Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34.0,1068,1417,75.4,29033,20956,239,239,100.0,489,493,99.2,331,670,49.4,0,0.0,0.1,0.0,1,28,1,0,1,Matches
Timo Baumgartl,de GER,DF,Union Berlin,26,1996,6.2,257,316,81.3,4858,1773,97,102,95.1,132,145,91.0,26,63,41.3,1,0.1,0.2,+0.9,3,20,4,2,28,Matches
Julian Baumgartlinger,at AUT,MF,Augsburg,34,1988,6.2,189,228,82.9,3450,906,76,88,86.4,86,99,86.9,22,28,78.6,0,0.1,0.5,-0.1,2,15,8,1,25,Matches
Christoph Baumgartner,at AUT,"MF,FW",Hoffenheim,22,1999,28.5,610,915,66.7,9280,2767,340,449,75.7,188,257,73.2,47,86,54.7,3,4.3,4.3,-1.3,24,70,35,4,100,Matches
Noah Joel Sarenren Bazee,ng NGA,"MF,FW",Augsburg,25,1996,0.2,1,2,50.0,10,5,1,2,50.0,0,0,,0,0,,0,0.1,0.0,-0.1,1,0,0,0,0,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,28,1994,15.7,246,369,66.7,3282,756,157,208,75.5,60,88,68.2,13,25,52.0,0,1.0,1.4,-1.0,15,11,5,0,23,Matches
Sheraldo Becker,sr SUR,FW,Union Berlin,27,1995,28.4,387,652,59.4,6499,1541,183,271,67.5,140,220,63.6,47,85,55.3,7,5.6,5.6,+1.4,44,20,44,30,44,Matches
Kevin Behrens,de GER,FW,Union Berlin,31,1991,17.1,283,483,58.6,4058,1156,161,249,64.7,89,145,61.4,19,28,67.9,1,1.3,1.6,-0.3,21,31,26,1,71,Matches
Stefan Bell,de GER,DF,Mainz 05,30,1991,26.6,945,1248,75.7,18036,8543,356,419,85.0,453,519,87.3,124,260,47.7,1,0.6,0.8,+0.4,8,67,9,1,92,Matches
Karim Bellarabi,de GER,"FW,MF",Leverkusen,32,1990,0.9,37,57,64.9,493,171,24,31,77.4,13,23,56.5,0,2,0.0,0,0.0,0.0,0.0,0,4,0,0,4,Matches
Jude Bellingham,eng ENG,MF,Dortmund,19,2003,29.9,1342,1643,81.7,23692,7381,605,694,87.2,509,590,86.3,169,233,72.5,4,4.0,4.9,0.0,34,194,45,3,252,Matches
Ramy Bensebaini,dz ALG,DF,M'Gladbach,27,1995,27.6,1192,1525,78.2,20015,7769,594,658,90.3,478,576,83.0,96,203,47.3,1,2.3,2.7,-1.3,15,81,30,3,101,Matches
Mergim Berisha,de GER,FW,Augsburg,24,1998,18.7,161,342,47.1,2735,1043,72,120,60.0,66,125,52.8,17,55,30.9,4,2.7,2.8,+1.3,20,20,10,3,28,Matches
