player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Oliver Baumann,de GER,GK,Hoffenheim,32,1990,34.0,57,2,1,11,1,50.4,0.31,-5.6,-0.16,206,525,39.2,1164,168,35.3,33.6,249,45.8,39.3,529,43,8.1,43,1.26,13.4,Matches
Janis Blaswich,de GER,GK,RB Leipzig,31,1991,26.0,29,6,0,2,0,26.9,0.27,-2.1,-0.08,59,189,31.2,985,126,14.9,25.3,156,26.9,30.0,288,20,6.9,39,1.50,17.0,Matches
Fabian Bredlow,de GER,GK,Stuttgart,27,1995,15.0,23,5,0,3,1,20.1,0.26,-1.9,-0.13,55,129,42.6,503,86,20.3,27.6,91,29.7,33.5,203,12,5.9,15,1.00,15.2,Matches
Koen Casteels,be BEL,GK,Wolfsburg,30,1992,34.0,48,4,0,5,3,43.9,0.27,-1.1,-0.03,257,588,43.7,1326,183,33.3,33.7,258,57.0,47.5,489,29,5.9,51,1.50,16.5,Matches
Oliver Christensen,dk DEN,GK,Hertha BSC,23,1999,33.0,68,5,4,8,0,57.9,0.33,-10.1,-0.31,204,586,34.8,977,166,42.5,35.9,235,72.8,54.3,486,33,6.8,70,2.12,18.8,Matches
Finn Dahmen,de GER,GK,Mainz 05,24,1998,8.0,16,1,0,3,0,13.5,0.25,-2.5,-0.32,48,139,34.5,226,38,42.9,36.6,54,77.8,54.5,158,17,10.8,8,1.00,13.8,Matches
Tjark Ernst,de GER,GK,Hertha BSC,19,2003,1.0,1,0,0,0,0,2.5,0.36,+1.5,+1.52,5,13,38.5,22,6,27.3,31.2,13,53.8,43.1,18,0,0.0,0,0.00,3.5,Matches
Ralf Fährmann,de GER,GK,Schalke 04,33,1988,11.4,13,1,0,1,1,12.4,0.21,+0.4,+0.04,99,217,45.6,358,50,45.0,36.8,83,67.5,48.9,162,11,6.8,9,0.79,11.6,Matches
Mark Flekken,nl NED,GK,Freiburg,29,1993,34.0,44,5,0,4,0,46.4,0.28,+2.4,+0.07,271,665,40.8,1231,121,40.2,37.6,231,73.6,58.0,434,32,7.4,43,1.26,15.0,Matches
Rafał Gikiewicz,pl POL,GK,Augsburg,34,1987,23.0,41,1,1,4,0,41.3,0.28,+0.3,+0.01,185,452,40.9,916,127,33.3,33.0,234,62.8,48.9,363,21,5.8,45,1.96,16.7,Matches
Lennart Grill,de GER,GK,Union Berlin,23,1999,5.0,11,2,0,1,0,9.0,0.28,-2.0,-0.41,48,108,44.4,197,28,48.2,37.1,17,76.5,55.2,47,8,17.0,7,1.40,15.1,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,32,1990,6.0,10,1,0,2,1,10.1,0.37,+1.1,+0.19,11,37,29.7,179,37,15.6,26.4,36,25.0,29.6,61,3,4.9,10,1.67,19.4,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,32,1989,33.0,47,7,1,5,2,41.3,0.25,-3.7,-0.11,117,373,31.4,899,148,31.3,32.0,202,45.5,38.7,404,27,6.7,26,0.79,14.1,Matches
Gregor Kobel,ch SUI,GK,Dortmund,24,1997,27.0,32,1,0,5,1,33.8,0.29,+2.8,+0.10,100,252,39.7,855,122,20.9,28.9,192,38.0,36.5,295,15,5.1,37,1.37,17.1,Matches
Tomáš Koubek,cz CZE,GK,Augsburg,29,1992,11.0,22,0,1,0,2,22.0,0.36,+2.0,+0.19,77,225,34.2,414,48,37.9,36.5,96,70.8,52.5,176,10,5.7,22,2.00,16.8,Matches
Andrey Lunyov,ru RUS,GK,Leverkusen,30,1991,1.0,2,0,0,0,0,1.4,0.35,-0.6,-0.61,4,10,40.0,41,7,24.4,30.3,3,0.0,15.3,6,1,16.7,1,1.00,13.0,Matches
Alexander Meyer,de GER,GK,Dortmund,31,1991,7.0,12,0,0,2,0,7.9,0.25,-4.1,-0.58,24,60,40.0,278,35,16.2,27.3,44,34.1,35.0,91,8,8.8,18,2.57,19.8,Matches
Florian Müller,de GER,GK,Stuttgart,24,1997,19.0,34,1,2,3,0,27.2,0.30,-6.8,-0.36,98,212,46.2,599,98,26.9,29.2,133,38.3,36.6,260,6,2.3,28,1.47,18.9,Matches
Manuel Neuer,de GER,GK,Bayern Munich,36,1986,12.0,11,2,0,0,0,14.7,0.29,+3.7,+0.31,39,79,49.4,435,81,16.6,26.8,69,10.1,23.8,103,4,3.9,23,1.92,19.5,Matches
Ørjan Nyland,no NOR,GK,RB Leipzig,31,1990,2.0,2,0,0,1,1,1.8,0.36,+0.8,+0.39,11,33,33.3,83,9,32.5,33.6,15,40.0,36.7,28,0,0.0,0,0.00,12.5,Matches
Jan Olschowsky,de GER,GK,M'Gladbach,20,2001,4.0,11,1,0,1,0,11.4,0.39,+0.4,+0.09,11,37,29.7,123,25,28.5,30.5,36,5.6,20.9,59,6,10.2,4,1.00,12.9,Matches
Jonas Omlin,ch SUI,GK,M'Gladbach,28,1994,14.3,18,2,0,0,0,18.1,0.29,+0.1,0.00,57,177,32.2,638,74,22.3,28.7,100,35.0,35.3,220,15,6.8,20,1.40,14.8,Matches
Jiří Pavlenka,cz CZE,GK,Werder Bremen,30,1992,32.3,61,2,0,5,2,51.9,0.29,-7.1,-0.22,198,497,39.8,893,152,40.1,36.3,279,49.8,42.9,481,22,4.6,38,1.18,14.9,Matches
Diant Ramaj,de GER,GK,Eint Frankfurt,20,2001,1.0,1,0,0,1,0,1.0,0.20,0.0,+0.01,1,3,33.3,21,7,9.5,29.1,4,25.0,22.0,15,1,6.7,1,1.00,11.5,Matches
Manuel Riemann,de GER,GK,Bochum,33,1988,34.0,72,8,2,9,3,69.0,0.30,0.0,0.00,554,1175,47.1,1489,83,66.8,44.7,261,69.0,50.6,536,31,5.8,121,3.56,22.2,Matches
Frederik Rønnow,dk DEN,GK,Union Berlin,29,1992,29.0,27,5,0,5,0,35.2,0.26,+8.2,+0.28,240,605,39.7,1115,109,44.6,36.5,163,66.3,49.4,434,43,9.9,29,1.00,13.5,Matches
Marvin Schwäbe,de GER,GK,Köln,27,1995,34.0,54,4,4,4,3,42.3,0.30,-8.7,-0.26,154,404,38.1,1203,117,28.8,31.3,185,31.4,33.9,468,19,4.1,22,0.65,13.4,Matches
Alexander Schwolow,de GER,GK,Schalke 04,30,1992,22.6,58,4,1,6,0,45.8,0.31,-12.2,-0.54,180,441,40.8,676,79,46.4,38.4,174,73.0,55.2,321,7,2.2,23,1.02,15.0,Matches
Tobias Sippel,de GER,GK,M'Gladbach,34,1988,5.7,12,1,0,3,0,11.6,0.33,-0.4,-0.08,25,106,23.6,212,23,33.5,32.7,48,72.9,53.1,88,2,2.3,4,0.71,13.1,Matches
Yann Sommer,ch SUI,GK,M'Gladbach,33,1988,10.0,14,2,1,0,1,16.7,0.25,+3.7,+0.37,48,141,34.0,517,52,23.0,28.2,90,24.4,28.6,162,5,3.1,13,1.30,14.6,Matches
Yann Sommer,ch SUI,GK,Bayern Munich,33,1988,19.0,25,7,1,1,0,23.7,0.32,-1.3,-0.07,48,118,40.7,651,83,14.6,25.1,98,23.5,28.7,212,12,5.7,27,1.42,16.7,Matches
Kevin Trapp,de GER,GK,Eint Frankfurt,32,1990,33.0,51,2,1,7,1,42.3,0.32,-7.7,-0.23,80,326,24.5,664,128,39.2,34.8,219,30.1,34.1,401,17,4.2,24,0.73,14.4,Matches
Sven Ulreich,de GER,GK,Bayern Munich,33,1988,3.0,2,0,0,1,0,2.4,0.18,+0.4,+0.13,9,26,34.6,112,21,20.5,26.0,18,16.7,23.4,34,2,5.9,4,1.33,17.5,Matches
Robin Zentner,de GER,GK,Mainz 05,27,1994,26.0,39,3,1,2,0,35.4,0.30,-3.6,-0.14,160,474,33.8,672,146,50.0,40.0,194,71.1,54.1,321,43,13.4,53,2.04,17.4,Matches
Michael Zetterer,de GER,GK,Werder Bremen,27,1995,1.7,3,0,0,1,0,3.2,0.24,+0.2,+0.11,16,33,48.5,49,13,51.0,41.6,12,66.7,50.3,15,3,20.0,4,2.37,16.5,Matches
