player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
Kingsley Coman,fr FRA,FW,Bayern Munich,27-112,1996,3.9,4,2,1,2,1,3,5,60.0,2,7,1,6,0,4,2,0,Matches
Danny da Costa,de GER,DF,Mainz 05,30-082,1993,2.3,0,0,0,0,0,0,1,0.0,1,3,0,3,7,7,4,0,Matches
Nicolas Cozza,fr FRA,DF,Wolfsburg,24-268,1999,0.7,4,3,1,3,0,0,0,,0,1,0,1,4,8,1,0,Matches
Tomáš Čvančara,cz CZE,FW,M'Gladbach,23-051,2000,3.3,1,1,0,1,0,0,0,,0,2,0,2,0,1,4,0,Matches
Finn Dahmen,de GER,GK,Augsburg,25-190,1998,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,0,Matches
Lukas Daschner,de GER,"MF,FW",Bochum,25-002,1998,1.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
David Datro Fofana,ci CIV,"FW,MF",Union Berlin,20-285,2002,3.6,6,5,2,2,2,4,8,50.0,4,1,0,1,0,6,1,0,Matches
Alphonso Davies,ca CAN,DF,Bayern Munich,22-335,2000,5.7,8,4,6,2,0,5,10,50.0,5,6,0,6,8,16,8,0,Matches
Olivier Deman,be BEL,"DF,FW",Werder Bremen,23-180,2000,2.4,6,3,4,1,1,1,3,33.3,2,5,2,3,1,7,4,0,Matches
Ermedin Demirović,ba BIH,MF,Augsburg,25-192,1998,5.8,4,3,2,1,1,1,8,12.5,7,3,0,3,3,7,6,0,Matches
Sepp van den Berg,nl NED,DF,Mainz 05,21-287,2001,4.6,10,5,6,4,0,2,5,40.0,3,9,3,6,7,17,12,1,Matches
Junior Dina Ebimbe,fr FRA,"MF,DF",Eint Frankfurt,22-316,2000,4.5,4,3,0,3,1,2,5,40.0,3,4,1,3,1,5,6,0,Matches
Eren Dinkçi,de GER,"FW,MF",Heidenheim,21-294,2001,5.3,6,4,6,0,0,4,7,57.1,3,4,0,4,2,8,4,0,Matches
Ritsu Doan,jp JPN,"MF,FW",Freiburg,25-109,1998,3.9,9,6,7,1,1,2,4,50.0,2,8,1,7,2,11,1,0,Matches
Danilho Doekhi,nl NED,DF,Union Berlin,25-095,1998,6.0,7,5,5,2,0,3,7,42.9,4,8,2,6,9,16,19,0,Matches
Niklas Dorsch,de GER,MF,Augsburg,25-261,1998,3.5,5,3,4,1,0,2,8,25.0,6,4,4,0,3,8,5,0,Matches
Nikola Dovedan,at AUT,MF,Heidenheim,29-089,1994,1.4,5,3,0,5,0,2,6,33.3,4,4,0,4,0,5,1,0,Matches
Damion Downs,de GER,"FW,MF",Köln,19-089,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Dion Drena Beljo,hr CRO,FW,Augsburg,21-216,2002,2.3,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,1,0,Matches
Marvin Ducksch,de GER,FW,Werder Bremen,29-210,1994,4.6,1,1,1,0,0,1,3,33.3,2,0,0,0,0,1,4,0,Matches
Maximilian Eggestein,de GER,MF,Freiburg,26-299,1996,5.8,10,5,5,4,1,2,5,40.0,3,12,8,4,7,17,9,0,Matches
Lilian Egloff,de GER,MF,Stuttgart,21-044,2002,1.0,4,1,3,1,0,2,3,66.7,1,2,1,1,0,4,0,0,Matches
Nico Elvedi,ch SUI,DF,M'Gladbach,27-003,1996,2.3,1,0,1,0,0,1,1,100.0,0,2,1,1,2,3,12,0,Matches
Arne Engels,be BEL,"DF,MF",Augsburg,20-025,2003,4.0,7,3,0,6,1,3,7,42.9,4,6,0,6,4,11,2,0,Matches
Ohis Felix Uduokhai,de GER,DF,Augsburg,26-024,1997,5.5,9,4,6,3,0,4,5,80.0,1,7,7,0,10,19,25,0,Matches
Edimilson Fernandes,ch SUI,DF,Mainz 05,27-171,1996,5.9,11,7,8,3,0,6,11,54.5,5,0,0,0,12,23,15,0,Matches
Nacho Ferri,es ESP,MF,Eint Frankfurt,18-363,2004,0.1,2,2,0,2,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Max Finkgräfe,de GER,"MF,FW",Köln,19-190,2004,0.6,2,2,1,1,0,2,4,50.0,2,0,0,0,0,2,1,0,Matches
Jonas Föhrenbach,de GER,DF,Heidenheim,27-250,1996,5.0,5,2,3,2,0,2,8,25.0,6,3,2,1,3,8,12,0,Matches
Emil Forsberg,se SWE,"MF,FW",RB Leipzig,31-345,1991,1.8,2,2,0,2,0,2,7,28.6,5,5,0,5,0,2,3,0,Matches
Philipp Förster,de GER,MF,Bochum,28-241,1995,0.7,2,2,1,0,1,2,4,50.0,2,0,0,0,4,6,0,0,Matches
Bartol Franjić,hr CRO,MF,Darmstadt 98,23-262,2000,2.5,1,1,1,0,0,1,5,20.0,4,4,0,4,6,7,8,0,Matches
Marco Friedl,at AUT,DF,Werder Bremen,25-201,1998,3.5,10,5,5,5,0,9,12,75.0,3,9,3,6,6,16,13,0,Matches
Marvin Friedrich,de GER,DF,M'Gladbach,27-294,1995,3.0,6,2,4,1,1,4,4,100.0,0,6,4,2,3,9,16,0,Matches
Jeremie Frimpong,nl NED,DF,Leverkusen,22-297,2000,5.1,6,4,5,0,1,1,5,20.0,4,11,0,11,1,7,2,0,Matches
Chris Führich,de GER,FW,Stuttgart,25-267,1998,5.6,2,1,1,1,0,1,3,33.3,2,8,0,8,2,4,2,0,Matches
Niclas Füllkrug,de GER,FW,Werder Bremen,30-236,1993,2.0,1,1,0,1,0,1,1,100.0,0,2,1,1,0,1,1,0,Matches
Niclas Füllkrug,de GER,FW,Dortmund,30-236,1993,2.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,Matches
Cristian Gamboa,cr CRC,"DF,MF",Bochum,33-344,1989,1.1,1,0,0,1,0,0,3,0.0,3,1,1,0,0,1,0,0,Matches
Yannick Gerhardt,de GER,"MF,FW",Wolfsburg,29-204,1994,3.8,4,3,2,1,1,1,6,16.7,5,4,1,3,1,5,4,0,Matches
Anwar El Ghazi,nl NED,"DF,FW",Mainz 05,28-153,1995,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Matthias Ginter,de GER,DF,Freiburg,29-257,1994,6.0,7,3,5,2,0,3,7,42.9,4,10,7,3,5,12,25,0,Matches
Klaus Gjasula,al ALB,DF,Darmstadt 98,33-293,1989,3.0,12,7,5,7,0,0,3,0.0,3,3,2,1,4,16,11,0,Matches
Serge Gnabry,de GER,"FW,MF",Bayern Munich,28-081,1995,1.8,2,1,0,2,0,2,7,28.6,5,2,0,2,0,2,2,0,Matches
Leon Goretzka,de GER,MF,Bayern Munich,28-239,1995,4.4,7,4,3,1,3,5,9,55.6,4,5,0,5,8,15,5,0,Matches
Robin Gosens,de GER,"DF,MF",Union Berlin,29-090,1994,4.8,11,8,3,6,2,6,8,75.0,2,14,1,13,10,21,7,0,Matches
Mario Götze,de GER,"MF,FW",Eint Frankfurt,31-122,1992,4.7,5,2,2,2,1,3,6,50.0,3,7,0,7,1,6,2,0,Matches
Jeffrey Gouweleeuw,nl NED,DF,Augsburg,32-085,1991,2.5,1,1,1,0,0,1,1,100.0,0,7,4,3,6,7,12,0,Matches
Ryan Gravenberch,nl NED,FW,Bayern Munich,21-140,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Michael Gregoritsch,at AUT,FW,Freiburg,29-168,1994,2.0,1,1,1,0,0,0,3,0.0,3,4,1,3,0,1,1,0,Matches
Vincenzo Grifo,it ITA,"MF,FW",Freiburg,30-179,1993,5.1,7,4,3,3,1,4,6,66.7,2,3,0,3,2,9,4,0,Matches
Florian Grillitsch,at AUT,MF,Hoffenheim,28-057,1995,4.6,9,6,6,2,1,4,12,33.3,8,5,0,5,8,17,5,0,Matches
Álex Grimaldo,es ESP,DF,Leverkusen,28-013,1995,5.9,17,6,10,2,5,13,18,72.2,5,7,2,5,4,21,7,0,Matches
Christian Groß,de GER,"MF,DF",Werder Bremen,34-237,1989,3.9,9,5,5,4,0,3,13,23.1,10,7,2,5,5,14,5,0,Matches
Brajan Gruda,de GER,"MF,FW",Mainz 05,19-125,2004,2.4,1,1,0,1,0,0,2,0.0,2,2,0,2,0,1,0,0,Matches
Ilia Gruev,bg BUL,MF,Werder Bremen,23-150,2000,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Raphaël Guerreiro,pt POR,MF,Bayern Munich,29-285,1993,0.5,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Serhou Guirassy,gn GUI,FW,Stuttgart,27-205,1996,5.8,0,0,0,0,0,0,0,,0,3,1,2,1,1,6,0,Matches
Manuel Gulde,de GER,DF,Freiburg,32-233,1991,1.1,2,2,2,0,0,0,0,,0,0,0,0,2,4,0,0,Matches
Robert Gumny,pl POL,DF,Augsburg,25-121,1998,0.2,2,2,0,1,1,0,0,,0,2,1,1,1,3,0,0,Matches
Christian Günter,de GER,DF,Freiburg,30-217,1993,1.0,1,0,1,0,0,0,0,,0,2,1,1,0,1,2,0,Matches
Janik Haberer,de GER,MF,Union Berlin,29-184,1994,2.0,5,4,0,3,2,4,7,57.1,3,3,1,2,1,6,0,0,Matches
Robin Hack,de GER,MF,M'Gladbach,25-037,1998,0.9,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Sébastien Haller,ci CIV,FW,Dortmund,29-103,1994,3.3,1,0,0,1,0,1,1,100.0,0,3,1,2,0,1,6,0,Matches
Andreas Hanche-Olsen,no NOR,DF,Mainz 05,26-259,1997,0.7,3,0,2,1,0,1,1,100.0,0,0,0,0,0,3,2,0,Matches
Genki Haraguchi,jp JPN,MF,Stuttgart,32-147,1991,0.2,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0,Matches
Makoto Hasebe,jp JPN,DF,Eint Frankfurt,39-258,1984,0.3,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Thorgan Hazard,be BEL,DF,Dortmund,30-188,1993,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Dominique Heintz,de GER,DF,Köln,30-049,1993,0.2,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Benjamin Henrichs,de GER,DF,RB Leipzig,26-222,1997,5.9,15,9,7,6,2,4,17,23.5,13,12,1,11,9,24,3,0,Matches
Piero Hincapié,ec ECU,"DF,MF",Leverkusen,21-267,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Adam Hložek,cz CZE,"FW,MF",Leverkusen,21-070,2002,0.5,1,0,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
Nicolas Höfler,de GER,MF,Freiburg,33-208,1990,2.9,4,3,2,2,0,1,3,33.3,2,4,2,2,5,9,8,0,Matches
Jonas Hofmann,de GER,MF,Leverkusen,31-081,1992,5.8,8,6,1,5,2,4,8,50.0,4,4,0,4,3,11,1,0,Matches
Philipp Hofmann,de GER,FW,Bochum,30-187,1993,4.2,3,1,0,2,1,1,1,100.0,0,0,0,0,1,4,1,0,Matches
Lucas Höler,de GER,"FW,MF",Freiburg,29-085,1994,5.7,14,9,7,4,3,2,4,50.0,2,4,1,3,2,16,6,0,Matches
Fabian Holland,de GER,"MF,DF",Darmstadt 98,33-084,1990,5.6,14,8,8,5,1,9,16,56.3,7,8,3,5,9,23,8,0,Matches
Benedict Hollerbach,de GER,"MF,FW",Union Berlin,22-139,2001,0.8,2,2,1,0,1,2,3,66.7,1,4,0,4,0,2,0,0,Matches
Franck Honorat,fr FRA,"DF,FW",M'Gladbach,27-053,1996,4.7,4,3,1,3,0,2,3,66.7,1,5,0,5,2,6,1,0,Matches
Mathias Honsak,at AUT,"MF,FW",Darmstadt 98,26-287,1996,2.7,1,1,0,0,1,0,2,0.0,2,5,0,5,2,3,2,0,Matches
Fraser Hornby,sct SCO,"FW,MF",Darmstadt 98,24-020,1999,1.5,0,0,0,0,0,0,1,0.0,1,2,1,1,0,0,2,0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,33-313,1989,6.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Timo Hübers,de GER,DF,Köln,27-075,1996,6.0,13,9,10,2,1,11,19,57.9,8,9,3,6,17,30,30,0,Matches
Mats Hummels,de GER,DF,Dortmund,34-291,1988,4.5,11,7,8,2,1,7,12,58.3,5,4,2,2,8,19,17,0,Matches
Denis Huseinbasic,de GER,MF,Köln,22-092,2001,2.5,3,2,2,0,1,2,3,66.7,1,4,0,4,3,6,2,0,Matches
Iago,br BRA,DF,Augsburg,26-194,1997,2.1,4,1,3,1,0,2,5,40.0,3,3,0,3,1,5,5,0,Matches
Thomas Isherwood,se SWE,DF,Darmstadt 98,25-248,1998,0.8,2,0,1,1,0,1,1,100.0,0,2,2,0,2,4,5,0,Matches
Ko Itakura,jp JPN,DF,M'Gladbach,26-249,1997,5.8,8,5,5,3,0,4,7,57.1,3,14,7,7,11,19,21,0,Matches
Hiroki Ito,jp JPN,DF,Stuttgart,24-144,1999,5.8,2,2,1,1,0,1,2,50.0,1,5,0,5,8,10,16,0,Matches
Lee Jae-sung,kr KOR,MF,Mainz 05,31-054,1992,4.9,4,3,0,3,1,4,11,36.4,7,5,0,5,5,9,3,0,Matches
Paul Jaeckel,de GER,"DF,MF",Union Berlin,25-073,1998,0.3,1,0,0,1,0,1,2,50.0,1,0,0,0,3,4,1,0,Matches
Kristijan Jakić,hr CRO,MF,Eint Frankfurt,26-142,1997,1.7,1,1,0,1,0,0,2,0.0,2,1,0,1,0,1,1,0,Matches
Tony Jantschke,de GER,"DF,MF",M'Gladbach,33-179,1990,0.2,1,1,1,0,0,1,1,100.0,0,2,2,0,0,1,2,0,Matches
Fredrik Jensen,fi FIN,MF,Augsburg,26-024,1997,0.6,2,0,0,2,0,1,3,33.3,2,1,1,0,0,2,1,0,Matches
Moritz Jenz,de GER,DF,Wolfsburg,24-156,1999,2.0,5,4,2,2,1,1,1,100.0,0,3,2,1,5,10,13,0,Matches
Anthony Jung,de GER,"FW,DF",Werder Bremen,31-334,1991,3.5,3,1,2,0,1,1,2,50.0,1,4,1,3,1,4,9,0,Matches
Josip Juranović,hr CRO,"DF,MF",Union Berlin,28-048,1995,3.0,3,1,2,1,0,0,2,0.0,2,1,0,1,0,3,5,0,Matches
Julian Justvan,de GER,"MF,FW",Hoffenheim,25-184,1998,0.3,1,0,1,0,0,1,2,50.0,1,0,0,0,0,1,0,0,Matches
Ozan Kabak,tr TUR,DF,Hoffenheim,23-192,2000,4.7,10,8,6,3,1,5,7,71.4,2,9,4,5,6,16,28,0,Matches
Pavel Kadeřábek,cz CZE,"DF,MF",Hoffenheim,31-161,1992,4.0,1,1,1,0,0,0,1,0.0,1,5,2,3,5,6,10,0,Matches
Florian Kainz,at AUT,MF,Köln,30-344,1992,5.1,12,9,4,4,4,8,12,66.7,4,2,0,2,1,13,2,0,Matches
Jakub Kamiński,pl POL,FW,Wolfsburg,21-120,2002,0.7,1,1,1,0,0,0,1,0.0,1,1,0,1,0,1,1,0,Matches
Kevin Kampl,si SVN,MF,RB Leipzig,32-359,1990,5.0,7,3,1,4,2,4,6,66.7,2,7,2,5,6,13,3,0,Matches
Harry Kane,eng ENG,FW,Bayern Munich,30-067,1993,5.8,2,1,1,0,1,1,3,33.3,2,0,0,0,2,4,6,0,Matches
Atakan Karazor,de GER,MF,Stuttgart,26-355,1996,5.5,17,12,7,7,3,11,13,84.6,2,4,3,1,8,25,10,0,Matches
Emir Karic,at AUT,DF,Darmstadt 98,26-116,1997,3.7,11,7,5,3,3,5,7,71.4,2,8,0,8,2,13,8,0,Matches
Silas Katompa,cd COD,FW,Stuttgart,24-362,1998,3.9,2,1,1,1,0,1,3,33.3,2,3,0,3,0,2,1,0,Matches
Mikkel Kaufmann,dk DEN,"FW,DF",Union Berlin,22-273,2001,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Naby Keïta,gn GUI,MF,Werder Bremen,28-235,1995,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Yannik Keitel,de GER,MF,Freiburg,23-230,2000,1.4,7,5,3,3,1,3,4,75.0,1,3,0,3,4,11,4,1,Matches
Thomas Keller,de GER,"MF,FW",Heidenheim,24-059,1999,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Aljoscha Kemlein,de GER,MF,Union Berlin,19-062,2004,0.3,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,0,0,Matches
Tobias Kempe,de GER,MF,Darmstadt 98,34-098,1989,2.3,4,4,2,2,0,2,3,66.7,1,0,0,0,1,5,0,0,Matches
Luca Kilian,de GER,"DF,MF",Köln,24-032,1999,0.1,1,1,1,0,0,0,0,,0,0,0,0,1,2,3,0,Matches
Joshua Kimmich,de GER,MF,Bayern Munich,28-237,1995,5.5,13,9,2,8,3,8,12,66.7,4,6,1,5,4,17,3,0,Matches
Christoph Klarer,at AUT,DF,Darmstadt 98,23-111,2000,5.5,13,9,11,2,0,6,10,60.0,4,8,4,4,4,17,12,0,Matches
Tim Kleindienst,de GER,FW,Heidenheim,28-033,1995,5.9,2,1,1,0,1,2,6,33.3,4,5,3,2,2,4,7,0,Matches
Lukas Klostermann,de GER,DF,RB Leipzig,27-122,1996,0.4,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Ansgar Knauff,de GER,"DF,FW",Eint Frankfurt,21-266,2002,1.3,2,0,1,1,0,0,5,0.0,5,5,1,4,1,3,2,0,Matches
