team_title,xG,xGA,npxG,npxGA,deep,deep_allowed,scored,missed,xpts,wins,draws,loses,pts,npxGD,team_id,ppda_att,ppda_def,ppda_allowed_att,ppda_allowed_def,games_played,season
Borussia M.Gladbach,45.821755,44.438666,42.778103,40.649774,211,218,45,49,47.313900000000004,12,9,13,45,2.128329000000001,130,8886,847,11204,961,34,2016
Darmstadt,33.906823,68.041058,28.602392,61.976002,129,292,28,63,26.4719,7,4,23,25,-33.37361,127,10496,813,5277,791,34,2016
Eintracht Frankfurt,43.590541,38.3329,39.014615,35.301797,171,164,36,43,50.6843,11,9,14,42,3.712818000000001,132,8453,1078,8338,880,34,2016
FC Cologne,45.335524,41.274053,42.304655,38.242945,137,243,51,42,48.7538,12,13,9,49,4.06171,134,9319,828,7374,935,34,2016
Freiburg,39.41105,54.620834,33.219049,50.074434,186,232,42,60,39.1381,14,6,14,48,-16.855385,135,9562,772,7829,915,34,2016
Hamburger SV,31.914013,57.140191,30.311259,51.065757,164,215,33,61,31.510199999999998,10,8,16,38,-20.754498,118,8333,966,5139,876,34,2016
Hertha Berlin,38.150167,49.387267,34.361355,45.598457,166,237,43,47,40.4047,15,4,15,49,-11.237102,122,9740,866,9082,875,34,2016
Hoffenheim,54.503884,41.442142,50.71517,39.039029,186,212,64,37,55.4429,16,14,4,62,11.676141000000001,120,7465,839,11505,1088,34,2016
Ingolstadt,44.510902,49.189039,38.448692,43.097565,224,177,36,57,42.537,8,8,18,32,-4.648873,126,7882,1010,5183,781,34,2016
Mainz 05,42.36353,43.231438,37.059098,40.200331,164,189,44,55,46.4748,10,7,17,37,-3.1412329999999997,125,8231,963,6261,909,34,2016
RasenBallsport Leipzig,55.0917263,40.063822,52.0606163,36.27493,251,171,66,39,59.537,20,7,7,67,15.7856863,136,7563,1083,8295,919,34,2016
Schalke 04,44.857644,43.870803,41.82369,36.205816999999996,182,211,45,40,46.3653,11,10,13,43,5.6178729999999995,124,8269,932,9542,950,34,2016
Werder Bremen,42.99272,60.546285,38.446054,52.96876,213,236,61,64,38.8217,13,6,15,45,-14.522706,123,9479,809,7250,1013,34,2016
