player,nationality,position,team,age,birth_year,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,progressive_passes_received,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90,matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-357,2000,14,14,"1,249",13.9,2,0,2,2,0,0,4,0,2.1,2.1,0.5,2.6,9,48,21,0.14,0.00,0.14,0.14,0.14,0.15,0.04,0.19,0.15,0.19,Matches
Daniel Batz,de GER,GK,Mainz 05,32-348,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-320,2000,8,5,493,5.5,1,0,1,1,0,0,1,0,1.4,1.4,0.0,1.4,0,11,0,0.18,0.00,0.18,0.18,0.18,0.25,0.00,0.25,0.25,0.25,Matches
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-061,2005,2,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-207,1990,16,16,"1,440",16.0,0,1,1,0,0,0,1,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.01,0.01,0.00,0.01,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-147,1999,15,6,621,6.9,3,1,4,3,0,0,2,0,2.2,2.2,1.0,3.2,15,33,52,0.43,0.14,0.58,0.43,0.58,0.32,0.14,0.46,0.32,0.46,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-247,1994,14,7,721,8.0,3,0,3,3,0,0,2,0,1.8,1.8,0.2,2.0,15,17,58,0.37,0.00,0.37,0.37,0.37,0.22,0.03,0.24,0.22,0.24,Matches
Adrian Beck,de GER,MF,Heidenheim,26-200,1997,13,7,566,6.3,0,1,1,0,0,0,1,0,1.6,1.6,0.7,2.3,6,10,20,0.00,0.16,0.16,0.00,0.16,0.26,0.11,0.37,0.26,0.37,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-320,1995,11,7,645,7.2,0,1,1,0,0,0,0,0,0.8,0.8,1.8,2.6,32,20,73,0.00,0.14,0.14,0.00,0.14,0.12,0.25,0.37,0.12,0.37,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-326,1991,15,13,"1,086",12.1,4,0,4,4,0,0,2,0,5.0,5.0,0.8,5.8,9,40,79,0.33,0.00,0.33,0.33,0.33,0.41,0.07,0.48,0.41,0.48,Matches
Maximilian Beier,de GER,FW,Hoffenheim,21-070,2002,15,11,945,10.5,6,0,6,6,0,0,0,0,4.5,4.5,0.2,4.7,21,14,76,0.57,0.00,0.57,0.57,0.57,0.43,0.02,0.45,0.43,0.45,Matches
