player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,1088,1321,82.4,22896,8476,348,391,89.0,547,611,89.5,178,293,60.8,2,0.7,0.7,+1.3,7,77,3,2,103,Matches
Amir Abrashi,al ALB,MF,Freiburg,27,1990,9.4,248,321,77.3,4354,1126,103,132,78.0,116,146,79.5,24,32,75.0,0,0.4,0.6,-0.4,3,22,6,1,38,Matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,283,442,64.0,9161,7415,28,28,100.0,143,148,96.6,112,263,42.6,0,0.3,0.0,-0.3,1,8,0,0,0,Matches
Ailton,br BRA,"DF,MF",Stuttgart,22,1995,1.2,45,65,69.2,858,258,21,24,87.5,16,23,69.6,7,14,50.0,0,0.1,0.2,-0.1,2,2,2,2,4,Matches
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,10.0,527,618,85.3,10053,3443,174,195,89.2,303,332,91.3,43,77,55.8,0,0.1,0.5,-0.1,1,43,4,0,47,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,12.2,237,317,74.8,3471,779,128,149,85.9,80,111,72.1,14,24,58.3,0,1.0,1.2,-1.0,14,23,15,6,35,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,876,1021,85.8,15321,5786,370,401,92.3,434,470,92.3,60,127,47.2,1,1.4,0.8,-0.4,7,69,4,1,85,Matches
David Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,1126,1338,84.2,18331,5513,538,585,92.0,502,588,85.4,62,106,58.5,2,2.3,2.3,-0.3,22,90,23,12,110,Matches
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,17.2,303,410,73.9,3731,632,204,259,78.8,70,88,79.5,8,18,44.4,4,1.8,1.5,+2.2,14,21,6,0,28,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,7.8,325,423,76.8,5097,2390,158,175,90.3,122,155,78.7,27,60,45.0,0,1.4,1.1,-1.4,8,17,10,8,25,Matches
Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,13.9,1187,1310,90.6,22947,6128,455,490,92.9,555,595,93.3,159,193,82.4,2,1.9,2.4,+0.1,29,174,17,0,183,Matches
Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,0.5,32,35,91.4,549,119,10,10,100.0,20,20,100.0,1,3,33.3,0,0.0,0.0,0.0,0,0,0,0,2,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,19.4,658,851,77.3,10737,2859,327,390,83.8,253,301,84.1,53,106,50.0,3,3.4,3.0,-0.4,30,71,21,3,89,Matches
Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,25.3,966,1217,79.4,19137,6198,314,371,84.6,515,598,86.1,126,204,61.8,0,0.0,0.3,0.0,2,66,2,1,101,Matches
Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,21.7,971,1203,80.7,18604,4715,398,440,90.5,421,492,85.6,140,240,58.3,6,2.3,2.7,+3.7,24,64,18,6,85,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,25.6,1492,1759,84.8,27126,8717,670,745,89.9,633,709,89.3,163,240,67.9,3,1.3,1.6,+1.7,23,186,23,1,225,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,27.3,1144,1451,78.8,24138,7319,365,411,88.8,541,611,88.5,219,376,58.2,0,2.9,3.3,-2.9,38,126,21,7,148,Matches
Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,9.4,87,151,57.6,1200,144,47,80,58.8,28,44,63.6,4,8,50.0,0,0.5,0.2,-0.5,3,6,1,0,5,Matches
