player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
Issah Abbas,gh GHA,FW,Mainz 05,19,1998,0.1,1,2,50.0,26,1,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
David Abraham,ar ARG,DF,Eint Frankfurt,32,1986,15.8,514,671,76.6,10872,4118,142,172,82.6,284,332,85.5,83,136,61.0,0,0.4,0.5,-0.4,5,56,6,2,80,Matches
Amir Abrashi,al ALB,MF,Freiburg,28,1990,8.8,319,372,85.8,5012,1108,154,174,88.5,129,137,94.2,18,26,69.2,0,0.1,0.1,-0.1,2,14,0,0,19,Matches
Tyler Adams,us USA,MF,RB Leipzig,19,1999,8.0,424,530,80.0,6109,2131,227,272,83.5,146,173,84.4,22,35,62.9,2,1.0,0.8,+1.0,5,53,5,0,64,Matches
Antonis Aidonis,de GER,DF,Stuttgart,17,2001,0.9,13,35,37.1,252,147,3,5,60.0,8,19,42.1,2,5,40.0,0,0.0,0.0,0.0,0,3,2,1,2,Matches
Manuel Akanji,ch SUI,DF,Dortmund,23,1995,24.5,1722,1855,92.8,35445,11973,509,539,94.4,948,980,96.7,247,303,81.5,0,0.6,0.6,-0.6,6,94,3,2,122,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,23,1995,5.8,119,161,73.9,1529,355,73,82,89.0,36,51,70.6,2,8,25.0,1,0.5,1.0,+0.5,6,7,4,2,14,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,23,1995,5.5,228,269,84.8,4015,1468,101,112,90.2,104,114,91.2,20,35,57.1,0,0.0,0.1,0.0,0,27,0,0,33,Matches
Kevin Akpoguma,ng NGA,DF,Hannover 96,23,1995,3.5,135,171,78.9,2640,903,48,54,88.9,73,83,88.0,14,28,50.0,0,0.0,0.1,0.0,0,13,2,0,20,Matches
David Alaba,at AUT,DF,Bayern Munich,26,1992,28.1,1769,2153,82.2,26475,8480,970,1061,91.4,637,755,84.4,92,184,50.0,3,4.4,5.8,-1.4,28,144,41,20,190,Matches
Lucas Alario,ar ARG,"FW,MF",Leverkusen,25,1992,14.1,307,412,74.5,3588,644,179,218,82.1,62,92,67.4,12,14,85.7,3,1.4,1.3,+1.6,15,6,8,0,22,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,27,1990,18.4,715,966,74.0,11843,4473,355,406,87.4,281,365,77.0,63,135,46.7,3,1.5,2.2,+1.5,18,52,24,13,71,Matches
Paco Alcácer,es ESP,FW,Dortmund,24,1993,13.5,213,290,73.4,2420,456,147,182,80.8,39,60,65.0,5,9,55.6,0,1.6,2.5,-1.6,15,13,7,0,17,Matches
Thiago Alcántara,es ESP,MF,Bayern Munich,27,1991,26.8,2325,2587,89.9,45160,12086,850,907,93.7,1047,1115,93.9,353,451,78.3,6,3.5,5.0,+2.5,38,266,26,1,310,Matches
Allan,br BRA,MF,Eint Frankfurt,21,1997,2.0,42,64,65.6,778,226,16,29,55.2,17,23,73.9,6,7,85.7,0,0.0,0.1,0.0,1,11,1,0,4,Matches
Alfons Amade,de GER,MF,Hoffenheim,18,1999,0.1,1,2,50.0,18,2,0,1,0.0,1,1,100.0,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,21,1996,8.4,320,375,85.3,4935,1394,168,185,90.8,118,129,91.5,18,34,52.9,1,1.4,1.5,-0.4,16,29,12,1,50,Matches
Waldemar Anton,de GER,DF,Hannover 96,22,1996,34.0,1444,1733,83.3,29662,9494,422,485,87.0,801,884,90.6,207,306,67.6,0,0.2,0.4,-0.2,5,67,1,1,96,Matches
Dennis Aogo,de GER,MF,Stuttgart,31,1987,11.4,474,580,81.7,8762,1995,204,218,93.6,188,213,88.3,69,120,57.5,0,1.4,1.7,-1.4,15,27,5,4,38,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,29,1989,21.0,1457,1661,87.7,23354,7729,739,796,92.8,525,576,91.1,120,155,77.4,7,3.4,3.5,+3.6,30,170,24,5,207,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,24,1994,31.9,1111,1473,75.4,23482,6132,389,454,85.7,448,544,82.4,236,393,60.1,6,4.3,3.8,+1.7,46,111,24,6,141,Matches
Takuma Asano,jp JPN,"MF,FW",Hannover 96,23,1994,7.8,110,162,67.9,1446,333,65,82,79.3,28,40,70.0,6,11,54.5,0,0.4,0.4,-0.4,2,9,7,0,14,Matches
