player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-066,2000,3.6,0,2,0,0.0,0.55,0.00,0.00,,22.2,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-123,2003,1.1,0,2,2,100.0,1.78,1.78,0.00,0.00,15.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-204,2001,1.1,0,2,1,50.0,1.89,0.95,0.00,0.00,12.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-218,1993,1.6,0,5,4,80.0,3.17,2.54,0.00,0.00,10.8,0,0,0,0.9,0.9,0.19,-0.9,-0.9,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-343,2002,4.1,0,5,2,40.0,1.22,0.49,0.00,0.00,14.4,0,0,0,0.8,0.8,0.16,-0.8,-0.8,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-231,2000,2.9,1,7,3,42.9,2.38,1.02,0.14,0.33,15.5,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-091,1999,2.2,0,1,0,0.0,0.46,0.00,0.00,,12.7,0,0,0,0.1,0.1,0.12,-0.1,-0.1,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-305,1994,9.8,1,19,4,21.1,1.95,0.41,0.05,0.25,12.6,0,0,2,4.5,2.9,0.15,-3.5,-1.9,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-252,1995,6.4,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-162,2001,3.0,0,4,2,50.0,1.33,0.66,0.00,0.00,17.4,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-061,1996,0.2,0,1,0,0.0,4.74,0.00,0.00,,13.1,0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-235,2005,0.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-096,1994,3.7,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-160,1996,15.6,0,13,3,23.1,0.83,0.19,0.00,0.00,16.5,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-323,1994,7.1,1,18,5,27.8,2.54,0.71,0.06,0.20,19.3,0,0,0,1.4,1.4,0.08,-0.4,-0.4,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-214,1994,10.9,1,10,6,60.0,0.92,0.55,0.10,0.17,29.4,4,0,0,0.4,0.4,0.04,+0.6,+0.6,Matches
Arthur,br BRA,DF,Leverkusen,20-285,2003,0.4,0,1,1,100.0,2.65,2.65,0.00,0.00,28.3,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-047,1994,13.1,5,37,15,40.5,2.83,1.15,0.14,0.33,13.4,0,0,0,4.8,4.8,0.13,+0.2,+0.2,Matches
Noah Atubolu,de GER,GK,Freiburg,21-216,2002,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matthias Bader,de GER,"DF,MF",Darmstadt 98,26-193,1997,9.8,1,8,1,12.5,0.81,0.10,0.13,1.00,21.0,0,0,0,0.4,0.4,0.05,+0.6,+0.6,Matches
Ridle Baku,de GER,"DF,MF",Wolfsburg,25-263,1998,10.0,0,10,3,30.0,1.00,0.30,0.00,0.00,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Samuel Bamba,de GER,FW,Dortmund,19-317,2004,0.5,0,2,0,0.0,3.83,0.00,0.00,,12.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
Aymen Barkok,ma MAR,"MF,FW",Mainz 05,25-220,1998,3.6,1,11,6,54.5,3.08,1.68,0.09,0.17,17.2,0,0,1,1.7,0.9,0.08,-0.7,+0.1,Matches
Leandro Barreiro Martins,lu LUX,MF,Mainz 05,23-358,2000,13.9,2,17,5,29.4,1.22,0.36,0.12,0.40,14.4,0,0,0,2.1,2.1,0.13,-0.1,-0.1,Matches
Daniel Batz,de GER,GK,Mainz 05,32-349,1991,4.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Maximilian Bauer,de GER,DF,Augsburg,23-321,2000,5.5,1,4,1,25.0,0.73,0.18,0.25,1.00,5.2,0,0,0,1.4,1.4,0.34,-0.4,-0.4,Matches
Elias Baum,de GER,"MF,DF",Eint Frankfurt,18-062,2005,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Oliver Baumann,de GER,GK,Hoffenheim,33-208,1990,16.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Christoph Baumgartner,at AUT,MF,RB Leipzig,24-148,1999,6.9,3,19,6,31.6,2.75,0.87,0.16,0.50,15.2,0,0,0,2.2,2.2,0.12,+0.8,+0.8,Matches
Ihlas Bebou,tg TOG,"FW,DF",Hoffenheim,29-248,1994,8.0,3,12,3,25.0,1.50,0.37,0.25,1.00,19.1,0,0,0,1.8,1.8,0.15,+1.2,+1.2,Matches
Adrian Beck,de GER,MF,Heidenheim,26-201,1997,6.3,0,9,2,22.2,1.43,0.32,0.00,0.00,11.2,0,0,0,1.6,1.6,0.18,-1.6,-1.6,Matches
Sheraldo Becker,sr SUR,"FW,MF",Union Berlin,28-321,1995,7.2,0,16,4,25.0,2.23,0.56,0.00,0.00,20.5,1,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
Kevin Behrens,de GER,FW,Union Berlin,32-327,1991,12.1,4,35,11,31.4,2.90,0.91,0.11,0.36,11.2,0,0,0,5.0,5.0,0.14,-1.0,-1.0,Matches
Maximilian Beier,de GER,FW,Hoffenheim,21-071,2002,10.5,6,32,17,53.1,3.05,1.62,0.19,0.35,15.1,0,0,0,4.5,4.5,0.14,+1.5,+1.5,Matches
Stefan Bell,de GER,DF,Mainz 05,32-125,1991,7.4,0,4,2,50.0,0.54,0.27,0.00,0.00,16.2,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Ramy Bensebaini,dz ALG,DF,Dortmund,28-255,1995,11.1,0,15,0,0.0,1.35,0.00,0.00,,17.3,0,0,0,1.6,1.6,0.10,-1.6,-1.6,Matches
Mergim Berisha,de GER,FW,Hoffenheim,25-230,1998,1.6,0,6,1,16.7,3.75,0.62,0.00,0.00,16.2,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
Mergim Berisha,de GER,FW,Augsburg,25-230,1998,1.4,0,5,0,0.0,3.69,0.00,0.00,,30.7,1,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Bernardo,br BRA,DF,Bochum,28-227,1995,16.0,1,14,5,35.7,0.88,0.31,0.07,0.20,12.2,0,0,0,1.1,1.1,0.08,-0.1,-0.1,Matches
Matúš Bero,sk SVK,"MF,FW",Bochum,28-112,1995,6.4,0,7,2,28.6,1.09,0.31,0.00,0.00,16.4,0,0,0,0.7,0.7,0.10,-0.7,-0.7,Matches
