player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Dickson Abiama,ng NGA,FW,Greuther Fürth,22,1998,8.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,Matches
Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,23,1998,2.9,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0,Matches
Tyler Adams,us USA,MF,RB Leipzig,22,1999,15.0,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,28,1993,3.7,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,21,2000,14.0,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0,Matches
Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,19,2002,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Manuel Akanji,ch SUI,DF,Dortmund,26,1995,25.1,16,0.64,12,2,1,1,0,0,1,0.04,1,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,"DF,FW",Hoffenheim,26,1995,17.0,32,1.89,23,1,3,3,2,0,2,0.12,1,0,0,1,0,0,Matches
Lucas Alario,ar ARG,FW,Leverkusen,28,1992,7.3,27,3.69,17,0,6,2,2,0,4,0.55,3,0,1,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,24,1996,4.1,7,1.71,5,1,0,0,1,0,1,0.24,0,0,0,0,1,0,Matches
Sebastian Andersson,se SWE,FW,Köln,30,1991,14.0,20,1.43,16,0,0,1,2,1,4,0.29,3,0,0,0,1,0,Matches
Andrés Andrade Cedeño,pa PAN,DF,Arminia,22,1998,11.6,7,0.60,6,0,0,1,0,0,1,0.09,1,0,0,0,0,0,Matches
Fredrik André Bjørkan,no NOR,DF,Hertha BSC,22,1998,3.9,10,2.55,8,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Robert Andrich,de GER,MF,Leverkusen,26,1994,20.2,38,1.88,27,0,2,5,3,1,6,0.30,3,0,0,3,0,0,Matches
Angeliño,es ESP,DF,RB Leipzig,24,1997,25.5,83,3.25,53,22,3,4,1,0,8,0.31,5,3,0,0,0,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,25,1996,28.8,37,1.28,31,0,1,2,2,1,2,0.07,2,0,0,0,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,27,1994,12.6,26,2.25,15,1,1,3,6,0,2,0.17,1,0,0,0,1,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,32,1989,17.5,41,2.34,35,3,1,1,1,0,6,0.34,5,0,1,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,27,1994,33.3,106,3.19,56,45,2,0,3,0,4,0.12,2,1,0,0,1,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,26,1994,17.9,49,2.74,35,0,4,6,3,1,7,0.39,6,0,0,0,1,0,Matches
Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24,1997,26.4,39,1.48,32,1,1,1,2,2,1,0.04,1,0,0,0,0,0,Matches
Fisnik Asllani,xk KVX,"MF,FW",Hoffenheim,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Simon Asta,de GER,DF,Greuther Fürth,20,2001,8.7,11,1.26,8,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
Taiwo Awoniyi,ng NGA,FW,Union Berlin,23,1997,24.2,68,2.82,46,0,8,11,3,0,6,0.25,2,0,2,1,1,0,Matches
