player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,18,2003,1.9,8,4.16,4,1,0,2,1,0,2,1.04,1,0,0,1,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,29,1993,7.2,22,3.07,16,0,0,6,0,0,3,0.42,1,0,0,2,0,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,20,2002,15.4,59,3.83,40,0,8,5,4,2,12,0.78,9,0,2,1,0,0,Matches
Amine Adli,ma MAR,"FW,MF",Leverkusen,22,2000,15.9,56,3.50,36,3,4,4,8,1,11,0.69,6,0,3,0,2,0,Matches
Felix Agu,de GER,"DF,FW",Werder Bremen,22,1999,0.5,4,7.20,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Naouirou Ahamada,fr FRA,MF,Stuttgart,20,2002,15.5,38,2.45,31,0,3,2,1,1,7,0.45,7,0,0,0,0,0,Matches
Ludovic Ajorque,fr FRA,"FW,MF",Mainz 05,28,1994,13.5,34,2.53,26,0,0,5,3,0,3,0.22,2,0,0,1,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,27,1995,21.7,17,0.79,14,0,3,0,0,0,1,0.05,1,0,0,0,0,0,Matches
Lucas Alario,ar ARG,"FW,MF",Eint Frankfurt,29,1992,3.7,8,2.17,6,0,1,1,0,0,2,0.54,1,0,0,1,0,0,Matches
Faride Alidou,de GER,"DF,MF",Eint Frankfurt,21,2001,2.0,8,3.87,7,0,1,0,0,0,1,0.48,1,0,0,0,0,0,Matches
Éder Álvarez Balanta,co COL,"MF,FW",Schalke 04,29,1993,2.6,8,3.03,6,1,0,0,0,1,1,0.38,1,0,0,0,0,0,Matches
Lukáš Ambros,cz CZE,MF,Wolfsburg,18,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,25,1996,10.9,36,3.32,23,4,4,1,4,0,5,0.46,3,0,1,0,1,0,Matches
Robert Andrich,de GER,MF,Leverkusen,27,1994,26.7,45,1.68,37,0,0,4,1,3,4,0.15,3,0,0,0,0,1,Matches
Angeliño,es ESP,DF,Hoffenheim,25,1997,29.1,88,3.03,61,20,1,2,3,1,10,0.34,8,1,0,1,0,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,26,1996,32.6,39,1.20,28,4,2,5,0,0,5,0.15,3,0,0,2,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,28,1994,22.0,79,3.59,46,16,5,3,9,0,12,0.54,7,1,2,0,2,0,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,33,1989,5.5,10,1.83,10,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,28,1994,30.7,82,2.67,41,35,1,3,2,0,10,0.33,5,3,0,1,1,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,27,1994,19.0,56,2.94,39,1,2,7,6,1,8,0.42,6,0,1,1,0,0,Matches
Fisnik Asllani,xk KVX,FW,Hoffenheim,19,2002,1.9,8,4.29,6,0,0,0,1,1,1,0.54,1,0,0,0,0,0,Matches
Mehmet Aydin,de GER,"DF,FW",Schalke 04,20,2002,6.3,13,2.07,10,1,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches
Ayman Azhil,ma MAR,MF,Leverkusen,21,2001,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Sardar Azmoun,ir IRN,"FW,MF",Leverkusen,27,1995,10.3,33,3.21,27,0,1,2,1,2,4,0.39,1,0,1,1,0,1,Matches
Sanoussy Ba,de GER,DF,RB Leipzig,18,2004,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
