player,nationality,position,team,age,birth_year,minutes_90s,gk_goals_against,gk_pens_allowed,gk_free_kick_goals_against,gk_corner_kick_goals_against,gk_own_goals_against,gk_psxg,gk_psnpxg_per_shot_on_target_against,gk_psxg_net,gk_psxg_net_per90,gk_passes_completed_launched,gk_passes_launched,gk_passes_pct_launched,gk_passes,gk_passes_throws,gk_pct_passes_launched,gk_passes_length_avg,gk_goal_kicks,gk_pct_goal_kicks_launched,gk_goal_kick_length_avg,gk_crosses,gk_crosses_stopped,gk_crosses_stopped_pct,gk_def_actions_outside_pen_area,gk_def_actions_outside_pen_area_per90,gk_avg_distance_def_actions,matches
Oliver Baumann,de GER,GK,Hoffenheim,28,1990,33.0,51,6,1,4,1,47.5,0.26,-2.5,-0.08,164,397,41.3,1036,191,28.8,29.3,248,39.9,39.4,441,14,3.2,58,1.76,18.0,Matches
Fabian Bredlow,de GER,GK,Nürnberg,23,1995,12.5,28,0,0,1,0,22.0,0.36,-6.0,-0.48,61,188,32.4,352,46,37.5,32.9,119,47.1,43.0,171,1,0.6,10,0.80,12.7,Matches
Roman Bürki,ch SUI,GK,Dortmund,27,1990,32.0,40,4,1,6,0,39.0,0.28,-1.0,-0.03,140,428,32.7,852,171,33.3,32.9,222,64.9,48.7,425,18,4.2,36,1.13,15.1,Matches
Koen Casteels,be BEL,GK,Wolfsburg,26,1992,25.5,39,4,3,1,0,40.0,0.31,+1.0,+0.04,194,420,46.2,981,148,31.9,33.8,200,53.5,45.8,398,21,5.3,26,1.02,14.4,Matches
Jaroslav Drobný,cz CZE,GK,Düsseldorf,38,1979,2.0,3,0,0,0,0,2.6,0.32,-0.4,-0.19,10,19,52.6,27,5,51.9,39.4,10,50.0,39.5,16,3,18.8,3,1.50,16.3,Matches
Michael Esser,de GER,GK,Hannover 96,30,1987,32.0,66,5,1,10,1,60.8,0.26,-4.2,-0.13,299,609,49.1,943,144,46.2,36.9,295,58.6,43.3,551,24,4.4,38,1.19,14.6,Matches
Ralf Fährmann,de GER,GK,Schalke 04,29,1988,16.3,26,2,1,4,1,22.8,0.27,-2.2,-0.14,103,233,44.2,394,71,40.6,36.4,120,60.8,45.8,198,10,5.1,21,1.29,14.7,Matches
Mark Flekken,nl NED,GK,Freiburg,25,1993,1.0,1,0,0,0,0,0.9,0.18,-0.1,-0.11,5,11,45.5,24,1,37.5,38.1,5,40.0,44.6,7,0,0.0,0,0.00,15.5,Matches
Fabian Giefer,de GER,GK,Augsburg,28,1990,4.0,7,0,0,1,0,5.5,0.29,-1.5,-0.38,28,61,45.9,88,16,48.9,39.3,29,62.1,47.7,54,3,5.6,1,0.25,10.1,Matches
Péter Gulácsi,hu HUN,GK,RB Leipzig,28,1990,32.5,27,4,1,4,1,37.9,0.30,+11.9,+0.37,236,588,40.1,797,124,50.6,39.6,223,83.0,56.2,379,16,4.2,57,1.75,19.5,Matches
Marwin Hitz,ch SUI,GK,Dortmund,30,1987,2.0,4,0,0,1,0,2.4,0.40,-1.6,-0.79,6,19,31.6,51,6,25.5,31.0,13,46.2,43.1,33,1,3.0,2,1.00,12.0,Matches
Lukáš Hrádecký,fi FIN,GK,Leverkusen,28,1989,32.0,47,3,2,9,2,38.2,0.27,-6.8,-0.21,199,438,45.4,1160,162,29.1,31.8,193,52.3,41.6,401,10,2.5,51,1.59,18.5,Matches
Rune Jarstein,no NOR,GK,Hertha BSC,33,1984,30.5,48,2,1,6,2,45.3,0.30,-0.7,-0.02,329,755,43.6,874,97,58.1,40.8,279,88.5,57.7,496,31,6.3,29,0.95,14.2,Matches
Stefanos Kapino,gr GRE,GK,Werder Bremen,24,1994,0.5,1,0,0,0,0,0.5,0.18,-0.5,-0.98,0,4,0.0,13,7,23.1,28.5,3,33.3,39.7,8,0,0.0,0,0.00,12.0,Matches
Gregor Kobel,ch SUI,GK,Hoffenheim,20,1997,1.0,1,1,0,0,0,1.6,0.10,+0.6,+0.62,14,27,51.9,37,3,59.5,44.6,5,100.0,64.4,21,1,4.8,2,2.00,15.5,Matches
Gregor Kobel,ch SUI,GK,Augsburg,20,1997,15.4,42,1,1,5,1,34.6,0.36,-6.4,-0.42,74,221,33.5,407,71,38.1,33.4,119,55.5,45.7,216,10,4.6,16,1.04,14.6,Matches
