,ID,Name,Team,Position,Marktwert,Trend,Bild,Status,Punkteschnitt,Punktetotal,UserID,TeamID,TeamCover
30,7303,Japhet Tanganga,Augsburg,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/7303.png,0,0,0,2626903,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
31,2783,Edmond Tapsoba,Bayer 04,2,21725109.0,2,https://kickbase.b-cdn.net/pool/playersbig/2783.png,256,114,1595,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
32,7269,Nathan Tella,Bayer 04,3,4150582.0,1,https://kickbase.b-cdn.net/pool/playersbig/7269.png,0,39,314,None,7,https://kickbase.b-cdn.net/team/2013/07/30/1429106832154f969e039ca54cf2662c.jpg
33,2765,Jan Thielmann,Köln,4,3071963.0,2,https://kickbase.b-cdn.net/pool/playersbig/2765.png,0,39,274,None,28,None
34,4314,Mathys Tel,Bayern,4,11010869.0,2,https://kickbase.b-cdn.net/pool/playersbig/4314.png,0,72,791,None,2,https://kickbase.b-cdn.net/team/2013/07/30/3ebe44c53c3f4c87bd605da69e743fb8.jpg
35,2273,Niclas Thiede,Bochum,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2273.png,2,0,0,None,24,None
36,699,Norman Theuerkauf,Heidenheim,2,1763553.0,1,https://kickbase.b-cdn.net/pool/playersbig/699.png,0,43,514,2073012,50,None
37,2749,Steffen Tigges,Köln,4,1974488.0,1,https://kickbase.b-cdn.net/pool/playersbig/2749.png,0,16,178,2221997,28,None
38,3193,Tiago Barreiros de Melo Tomás,Wolfsburg,4,1493875.0,1,https://kickbase.b-cdn.net/pool/playersbig/3193.png,0,24,333,2073012,11,https://kickbase.b-cdn.net/team/2013/07/30/aaea46b304994c1694bda4880791b280.jpg
39,2030,Phillip Tietz,Augsburg,4,3620909.0,2,https://kickbase.b-cdn.net/pool/playersbig/2030.png,0,57,908,2626903,13,https://kickbase.b-cdn.net/team/2013/07/30/c7c9b0bd44694939a43e5bd3fb3c6364.jpg
40,2630,Denis Thomalla,Heidenheim,3,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/2630.png,2,14,201,None,50,None
41,3230,Umut Tohumcu,Hoffenheim,3,2352103.0,2,https://kickbase.b-cdn.net/pool/playersbig/3230.png,0,56,222,None,14,https://kickbase.b-cdn.net/team/2013/07/30/e2f816c2f6de4273945bcf96c70fcff7.jpg
42,2814,Lucas Tousart,Union,3,4565958.0,1,https://kickbase.b-cdn.net/pool/playersbig/2814.png,0,18,106,2631100,40,None
43,4303,Fabio Torsiello,Darmstadt,4,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4303.png,0,-6,-17,None,42,None
44,6134,Omar Traoré,Heidenheim,2,991577.0,2,https://kickbase.b-cdn.net/pool/playersbig/6134.png,0,46,685,None,50,None
45,3245,Paul Tschernuth,Heidenheim,1,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/3245.png,0,0,0,None,50,None
46,2400,Christopher Trimmel,Union,2,894437.0,2,https://kickbase.b-cdn.net/pool/playersbig/2400.png,0,47,513,2633134,40,None
47,429,Kevin Trapp,Frankfurt,1,10732918.0,1,https://kickbase.b-cdn.net/pool/playersbig/429.png,0,85,1273,None,4,https://kickbase.b-cdn.net/team/2013/07/30/80fe7ac3b0f643e2af669f6f77f4a5a6.jpg
48,4333,Lukas Ullrich,M-Gladbach,2,500000.0,0,https://kickbase.b-cdn.net/pool/playersbig/4333.png,4,-24,-48,None,15,https://kickbase.b-cdn.net/team/2013/07/30/d91892b110704f76a6d787c5078f3030.jpg
