player,nationality,position,team,age,birth_year,minutes_90s,sca,sca_per90,sca_passes_live,sca_passes_dead,sca_take_ons,sca_shots,sca_fouled,sca_defense,gca,gca_per90,gca_passes_live,gca_passes_dead,gca_take_ons,gca_shots,gca_fouled,gca_defense,matches
Brenden Aaronson,us USA,MF,Union Berlin,23-066,2000,3.6,8,2.20,7,1,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
Paxten Aaronson,us USA,MF,Eint Frankfurt,20-123,2003,1.1,2,1.78,1,0,0,1,0,0,1,0.89,1,0,0,0,0,0,Matches
Junior Adamu,at AUT,"FW,MF",Freiburg,22-204,2001,1.1,2,1.89,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches
Sargis Adamyan,am ARM,"FW,MF",Köln,30-218,1993,1.6,7,4.41,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Karim Adeyemi,de GER,"FW,MF",Dortmund,21-343,2002,4.1,7,1.70,4,0,1,0,2,0,1,0.24,1,0,0,0,0,0,Matches
Amine Adli,ma MAR,"MF,DF",Leverkusen,23-231,2000,2.9,17,5.80,15,0,1,1,0,0,3,1.02,3,0,0,0,0,0,Matches
Felix Agu,de GER,"MF,DF",Werder Bremen,24-091,1999,2.2,4,1.83,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Ludovic Ajorque,fr FRA,FW,Mainz 05,29-305,1994,9.8,21,2.15,17,1,0,1,2,0,0,0.00,0,0,0,0,0,0,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,28-252,1995,6.4,6,0.93,4,0,1,0,1,0,1,0.16,1,0,0,0,0,0,Matches
Faride Alidou,de GER,"FW,MF",Köln,22-162,2001,3.0,7,2.32,6,0,0,0,1,0,1,0.33,1,0,0,0,0,0,Matches
Nadiem Amiri,de GER,"MF,FW",Leverkusen,27-061,1996,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Kofi Amoako,de GER,MF,Wolfsburg,18-235,2005,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Robert Andrich,de GER,"MF,DF",Leverkusen,29-096,1994,3.7,2,0.54,2,0,0,0,0,0,1,0.27,1,0,0,0,0,0,Matches
Waldemar Anton,de GER,DF,Stuttgart,27-160,1996,15.6,16,1.02,12,0,0,2,1,1,3,0.19,2,0,0,1,0,0,Matches
Christopher Antwi-Adjei,gh GHA,"FW,MF",Bochum,29-323,1994,7.1,22,3.10,15,5,0,2,0,0,2,0.28,2,0,0,0,0,0,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,29-214,1994,10.9,23,2.12,14,8,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Arthur,br BRA,DF,Leverkusen,20-285,2003,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Takuma Asano,jp JPN,"FW,MF",Bochum,29-047,1994,13.1,38,2.91,25,0,3,4,5,1,2,0.15,1,0,0,1,0,0,Matches
