player,nationality,position,team,age,birth_year,minutes_90s,touches,touches_def_pen_area,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,touches_live_ball,take_ons,take_ons_won,take_ons_won_pct,take_ons_tackled,take_ons_tackled_pct,carries,carries_distance,carries_progressive_distance,progressive_carries,carries_into_final_third,carries_into_penalty_area,miscontrols,dispossessed,passes_received,progressive_passes_received,matches
David Abraham,ar ARG,DF,Eint Frankfurt,31,1986,25.6,1580,139,734,829,33,11,1580,10,8,80.0,2,20.0,824,4547,2817,17,5,0,8,5,906,7,Matches
Amir Abrashi,al ALB,MF,Freiburg,27,1990,9.4,435,23,98,263,77,3,435,5,4,80.0,1,20.0,169,947,335,8,7,1,14,19,224,18,Matches
René Adler,de GER,GK,Mainz 05,32,1985,14.0,476,363,471,4,1,1,476,0,0,,0,,225,1232,757,0,0,0,4,0,176,0,Matches
Ailton,br BRA,"DF,MF",Stuttgart,22,1995,1.2,86,3,23,55,11,3,86,6,3,50.0,3,50.0,36,234,128,2,3,0,2,0,46,3,Matches
Manuel Akanji,ch SUI,DF,Dortmund,22,1995,10.0,714,43,277,385,55,9,714,4,4,100.0,0,0.0,389,2666,1639,15,13,2,6,4,474,7,Matches
Chadrac Akolo,cd COD,"MF,FW",Stuttgart,22,1995,12.2,460,3,27,219,224,38,459,44,16,36.4,28,63.6,267,1617,823,27,26,2,18,25,332,75,Matches
Kevin Akpoguma,ng NGA,DF,Hoffenheim,22,1995,18.8,1190,77,536,609,52,7,1190,14,10,71.4,4,28.6,647,3258,2078,23,8,1,11,5,802,8,Matches
David Alaba,at AUT,DF,Bayern Munich,25,1992,17.2,1479,45,294,651,540,30,1479,34,12,35.3,22,64.7,886,4048,2328,53,45,6,7,5,1030,178,Matches
Lucas Alario,ar ARG,FW,Leverkusen,24,1992,17.2,610,18,49,288,284,86,608,40,22,55.0,18,45.0,395,1751,546,16,24,6,40,36,498,111,Matches
Miiko Albornoz,cl CHI,"DF,MF",Hannover 96,26,1990,7.8,509,34,160,207,144,10,509,13,9,69.2,4,30.8,207,1129,614,10,7,0,3,4,271,19,Matches
Thiago Alcántara,es ESP,"MF,FW",Bayern Munich,26,1991,13.9,1460,16,169,895,414,26,1460,42,24,57.1,18,42.9,815,3791,1935,30,39,4,11,15,1192,80,Matches
Stephan Ambrosius,gh GHA,DF,Hamburger SV,18,1998,0.5,41,6,23,18,0,0,41,0,0,,0,,26,80,67,1,0,0,0,0,27,0,Matches
Nadiem Amiri,de GER,MF,Hoffenheim,20,1996,19.4,1077,15,127,574,388,55,1077,57,22,38.6,35,61.4,666,3742,1869,51,36,20,31,26,778,116,Matches
Waldemar Anton,de GER,"DF,MF",Hannover 96,21,1996,25.3,1533,144,738,714,96,21,1533,30,19,63.3,11,36.7,782,4306,2424,23,16,1,18,24,816,14,Matches
Dennis Aogo,de GER,"MF,DF",Stuttgart,30,1987,21.7,1344,29,279,750,322,19,1344,2,1,50.0,1,50.0,580,2449,1177,20,17,2,9,8,815,75,Matches
Charles Aránguiz,cl CHI,MF,Leverkusen,28,1989,25.6,2039,45,354,1372,333,36,2039,44,17,38.6,27,61.4,1266,5194,2436,26,27,4,20,34,1416,45,Matches
Maximilian Arnold,de GER,MF,Wolfsburg,23,1994,27.3,1662,54,326,1050,307,10,1661,22,12,54.5,10,45.5,690,3661,1720,29,16,2,23,32,1085,44,Matches
Jann-Fiete Arp,de GER,"FW,MF",Hamburger SV,17,2000,9.4,248,8,10,114,126,36,248,22,10,45.5,12,54.5,171,747,249,9,9,5,31,16,198,58,Matches
Takuma Asano,jp JPN,"FW,MF",Stuttgart,22,1994,8.0,267,2,14,93,166,41,267,27,8,29.6,19,70.4,180,1247,539,24,20,13,16,14,207,56,Matches
Santiago Ascacíbar,ar ARG,MF,Stuttgart,20,1997,26.5,1403,55,327,928,161,8,1403,26,10,38.5,16,61.5,564,2453,1193,17,16,0,14,18,770,29,Matches
Simon Asta,de GER,MF,Augsburg,16,2001,0.1,8,0,4,1,3,0,8,0,0,,0,,4,9,6,0,0,0,0,0,4,2,Matches
Pierre-Emerick Aubameyang,ga GAB,FW,Dortmund,28,1989,15.7,478,2,9,203,271,95,474,26,5,19.2,21,80.8,240,1284,482,30,14,25,26,13,363,112,Matches
Jean-Kévin Augustin,fr FRA,FW,RB Leipzig,20,1997,14.1,488,8,28,208,256,79,486,68,22,32.4,46,67.6,332,2130,720,31,18,24,34,50,408,137,Matches
Ludwig Augustinsson,se SWE,"DF,FW",Werder Bremen,23,1994,28.1,1672,60,438,781,464,42,1672,12,2,16.7,10,83.3,632,3362,1787,48,29,5,17,23,973,151,Matches
Yann Aurel Bisseck,de GER,"DF,MF",Köln,16,2000,1.7,97,9,25,74,1,0,97,0,0,,0,,66,369,196,3,0,0,1,0,67,1,Matches
Holger Badstuber,de GER,"DF,MF",Stuttgart,28,1989,24.1,1343,155,737,583,35,17,1343,7,7,100.0,0,0.0,606,2949,1717,12,4,0,11,3,719,1,Matches
Daniel Baier,de GER,MF,Augsburg,33,1984,28.2,1937,38,448,1214,293,12,1937,20,12,60.0,8,40.0,872,4836,2505,33,21,3,29,28,1084,29,Matches
Leon Bailey,jm JAM,"FW,DF",Leverkusen,19,1997,24.6,1368,8,150,542,712,107,1368,118,58,49.2,60,50.8,898,6399,3185,111,77,40,43,42,956,261,Matches
Marvin Bakalorz,de GER,MF,Hannover 96,27,1989,22.8,890,47,185,521,199,25,890,37,15,40.5,22,59.5,452,2475,1022,21,24,4,32,36,527,62,Matches
Ridle Baku,de GER,MF,Mainz 05,19,1998,2.6,113,3,24,55,34,5,113,5,3,60.0,2,40.0,51,194,122,7,1,2,7,5,69,7,Matches
Leon Balogun,ng NGA,DF,Mainz 05,29,1988,13.0,653,67,374,268,16,3,653,11,10,90.9,1,9.1,297,1609,779,4,2,0,9,8,303,1,Matches
Philipp Bargfrede,de GER,MF,Werder Bremen,28,1989,20.7,1180,67,332,773,94,3,1180,10,5,50.0,5,50.0,492,3082,1373,17,12,1,13,12,660,9,Matches
Aymen Barkok,ma MAR,"FW,MF",Eint Frankfurt,19,1998,3.5,171,3,28,92,54,6,171,10,4,40.0,6,60.0,88,444,137,3,4,1,9,7,101,19,Matches
Fin Bartels,de GER,FW,Werder Bremen,30,1987,12.5,521,3,41,232,257,40,521,59,20,33.9,39,66.1,320,2178,824,33,30,11,24,28,426,121,Matches
Marc Bartra,es ESP,DF,Dortmund,26,1991,9.0,832,40,278,497,63,11,832,10,5,50.0,5,50.0,392,2332,1522,14,13,2,7,5,506,7,Matches
Michy Batshuayi,be BEL,FW,Dortmund,23,1993,9.3,273,5,13,127,134,44,273,23,7,30.4,16,69.6,132,642,221,5,1,6,17,17,204,50,Matches
Robert Bauer,de GER,"DF,FW",Werder Bremen,22,1995,10.6,593,35,241,301,54,1,593,1,1,100.0,0,0.0,220,1161,654,13,7,0,10,3,304,12,Matches
Oliver Baumann,de GER,GK,Hoffenheim,27,1990,34.0,1519,1223,1509,10,0,0,1519,0,0,,0,,712,3444,2118,0,0,0,2,0,742,0,Matches
Timo Baumgartl,de GER,DF,Stuttgart,21,1996,29.0,1865,145,930,842,101,18,1865,1,0,0.0,1,100.0,839,3480,1689,7,9,0,11,6,1070,12,Matches
Julian Baumgartlinger,at AUT,"MF,DF",Leverkusen,29,1988,15.5,1090,29,275,697,126,15,1090,6,6,100.0,0,0.0,673,3024,1379,15,12,0,4,18,724,25,Matches
Noah Joel Sarenren Bazee,ng NGA,"FW,MF",Hannover 96,20,1996,1.3,44,2,5,16,23,3,44,4,3,75.0,1,25.0,34,262,99,4,2,1,5,5,34,15,Matches
Riechedly Bazoer,nl NED,MF,Wolfsburg,20,1996,6.6,296,10,64,178,58,2,296,5,3,60.0,2,40.0,121,691,300,6,9,1,6,5,212,14,Matches
Ihlas Bebou,tg TOG,"MF,FW",Hannover 96,23,1994,23.8,988,30,142,436,439,72,988,124,61,49.2,63,50.8,619,4454,2222,75,51,18,52,60,688,180,Matches
Andreas Beck,de GER,DF,Stuttgart,30,1987,21.4,1362,34,319,682,368,18,1362,13,2,15.4,11,84.6,615,2361,964,27,21,7,25,14,813,76,Matches
Ishak Belfodil,dz ALG,FW,Werder Bremen,25,1992,15.0,594,13,33,259,308,97,594,56,32,57.1,24,42.9,335,2388,1213,64,26,32,31,24,503,155,Matches
Stefan Bell,de GER,DF,Mainz 05,25,1991,24.2,1206,167,651,522,46,27,1206,6,4,66.7,2,33.3,573,2917,1849,13,6,0,11,7,569,13,Matches
Karim Bellarabi,de GER,"MF,FW",Leverkusen,27,1990,12.7,720,5,72,322,340,47,720,50,23,46.0,27,54.0,483,3386,1661,62,34,20,21,26,532,155,Matches
Lars Bender,de GER,"DF,MF",Leverkusen,28,1989,17.7,1171,48,293,618,265,33,1171,16,9,56.3,7,43.8,593,2912,1520,30,24,3,12,9,678,84,Matches
Sven Bender,de GER,DF,Leverkusen,28,1989,26.1,1907,162,901,961,55,31,1907,8,6,75.0,2,25.0,1137,6269,3157,18,2,0,9,5,1188,4,Matches
László Bénes,sk SVK,MF,M'Gladbach,19,1997,0.4,36,2,12,19,5,0,36,1,0,0.0,1,100.0,17,72,35,1,1,0,0,0,23,1,Matches
Marcel Benger,de GER,MF,M'Gladbach,19,1998,0.0,2,0,1,1,0,0,2,0,0,,0,,0,0,0,0,0,0,1,0,0,0,Matches
Charlison Benschop,cw CUW,"MF,DF",Hannover 96,27,1989,2.0,73,1,9,38,28,6,73,3,1,33.3,2,66.7,49,198,55,4,0,0,5,7,53,11,Matches
Nabil Bentaleb,dz ALG,MF,Schalke 04,22,1994,11.2,654,26,120,491,51,6,650,12,5,41.7,7,58.3,295,1258,495,9,5,1,7,8,394,9,Matches
Emil Berggreen,dk DEN,FW,Mainz 05,24,1993,7.4,241,10,14,115,112,31,241,6,1,16.7,5,83.3,141,349,88,0,2,1,23,12,204,41,Matches
Bernardo,br BRA,DF,RB Leipzig,22,1995,15.0,1110,66,306,643,168,13,1110,21,5,23.8,16,76.2,455,2449,1293,31,23,1,15,10,560,57,Matches
Juan Bernat,es ESP,"DF,FW",Bayern Munich,24,1993,9.9,647,11,109,280,262,34,647,43,13,30.2,30,69.8,415,2294,1078,24,17,12,9,8,477,102,Matches
Ermin Bičakčić,ba BIH,DF,Hoffenheim,27,1990,6.1,362,32,190,162,12,1,362,3,1,33.3,2,66.7,187,829,459,5,1,0,4,1,227,1,Matches
Leonardo Bittencourt,de GER,"MF,FW",Köln,23,1993,17.9,963,12,96,418,467,69,963,83,25,30.1,58,69.9,556,4106,1936,64,53,21,53,17,700,170,Matches
Pablo de Blasis,ar ARG,"FW,MF",Mainz 05,29,1988,18.4,957,30,134,481,359,53,954,36,14,38.9,22,61.1,573,2576,1069,24,21,8,45,37,706,132,Matches
Danny Blum,de GER,"MF,DF",Eint Frankfurt,26,1991,0.3,20,0,1,9,10,2,20,1,0,0.0,1,100.0,13,42,19,0,1,0,4,0,15,1,Matches
Jérôme Boateng,de GER,DF,Bayern Munich,28,1988,18.2,1585,100,687,807,99,15,1585,2,1,50.0,1,50.0,1051,4513,2841,12,29,1,4,1,1168,4,Matches
Kevin-Prince Boateng,gh GHA,"MF,FW",Eint Frankfurt,30,1987,26.2,1393,39,166,927,315,64,1393,42,24,57.1,18,42.9,845,3319,1397,29,28,3,50,45,1006,107,Matches
Raúl Bobadilla,py PAR,"FW,MF",M'Gladbach,30,1987,5.0,185,1,6,81,99,28,185,18,6,33.3,12,66.7,113,528,162,8,5,7,12,15,151,54,Matches
Julian Brandt,de GER,"FW,MF",Leverkusen,21,1996,25.8,1564,8,158,685,738,97,1564,95,43,45.3,52,54.7,1002,6296,2795,91,61,28,42,40,1164,260,Matches
Josip Brekalo,hr CRO,FW,Wolfsburg,19,1998,9.7,429,5,48,179,206,19,429,32,18,56.3,14,43.8,244,1656,798,31,15,8,11,17,321,72,Matches
Josip Brekalo,hr CRO,"MF,FW",Stuttgart,19,1998,8.1,426,4,38,200,194,18,426,53,18,34.0,35,66.0,279,1940,883,29,23,6,12,20,314,62,Matches
John Brooks,us USA,DF,Wolfsburg,24,1993,8.1,456,69,258,197,6,3,456,3,2,66.7,1,33.3,213,834,388,0,0,0,1,3,266,0,Matches
Daniel Brosinski,de GER,"DF,FW",Mainz 05,29,1988,27.8,1782,75,494,751,555,22,1781,40,12,30.0,28,70.0,752,4403,2550,63,48,13,17,19,903,143,Matches
Bruma,pt POR,"MF,FW",RB Leipzig,22,1994,17.9,1107,11,112,518,507,84,1107,136,68,50.0,68,50.0,735,6127,3613,120,62,46,44,28,806,145,Matches
Jeffrey Bruma,nl NED,DF,Wolfsburg,25,1991,11.0,711,63,406,300,8,4,711,3,2,66.7,1,33.3,358,1791,917,3,0,0,2,3,479,1,Matches
Jacob Bruun Larsen,dk DEN,"MF,DF",Stuttgart,18,1998,1.2,52,0,8,26,18,1,52,6,2,33.3,4,66.7,26,187,89,2,1,1,0,2,29,5,Matches
Jacob Bruun Larsen,dk DEN,DF,Dortmund,18,1998,0.1,2,0,1,1,0,0,2,0,0,,0,,2,6,1,0,0,0,0,0,1,0,Matches
Onur Bulut,tr TUR,FW,Freiburg,23,1994,0.4,9,0,0,5,4,0,9,1,0,0.0,1,100.0,6,24,2,0,0,0,2,0,8,2,Matches
Guido Burgstaller,at AUT,FW,Schalke 04,28,1989,25.8,883,7,30,430,432,132,883,97,24,24.7,72,74.2,559,3306,1149,53,37,29,67,59,667,208,Matches
Roman Bürki,ch SUI,GK,Dortmund,26,1990,33.0,1368,925,1313,56,0,0,1368,2,2,100.0,0,0.0,665,3775,2375,0,0,0,0,0,662,0,Matches
Dženis Burnić,de GER,MF,Stuttgart,19,1998,3.4,299,5,38,180,83,0,299,5,0,0.0,5,100.0,182,687,388,8,11,0,1,2,237,12,Matches
Jakub Błaszczykowski,pl POL,"FW,MF",Wolfsburg,31,1985,5.8,246,5,48,99,102,12,246,14,6,42.9,8,57.1,143,646,314,10,7,4,5,13,181,55,Matches
Caiuby,br BRA,FW,Augsburg,29,1988,31.7,1449,38,195,763,528,86,1449,86,39,45.3,47,54.7,796,5020,2312,66,57,12,63,50,1004,141,Matches
Luca Caldirola,it ITA,DF,Werder Bremen,26,1991,1.0,37,4,22,13,2,0,37,0,0,,0,,11,67,23,0,0,0,0,0,19,0,Matches
